id_proposicao,obj_votacao,data,cod_sessao,hora,id_votacao
2190237,REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA,2019-05-28,16818,18:50,168181850
2190237,PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...,2019-05-28,16819,21:47,168192147
2190237,PROJETO DE LEI DE CONVERSÃO Nº 9/2019,2019-05-29,16820,16:30,168201630
2190237,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-05-28,16819,21:02,168192102
2190237,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,2019-05-28,16819,21:19,168192119
2190237,"DTQ. 1 - PT - INC. III DO §3º DO ART. 34 DA LEI 12651/12, CONST. DO ...",2019-05-29,16821,17:55,168211755
2190237,"DTQ. 2 - PT - ART. 42 DA LEI 12651/12, CONST. DO ART. 1º DO PLV",2019-05-29,16821,18:08,168211808
2190237,"DTQ. 3 - PT - ART. 59 DA LEI 12651/12, CONST. DO ART. 1º DO PLV",2019-05-29,16821,18:25,168211825
2190237,DTQ. 4 - CIDADANIA - PREFERÊNCIA PARA VOTAÇÃO DA MPV,2019-05-29,16820,14:58,168201458
2190237,"DTQ. 7 - PSB - §3º DO ART. 68 DA LEI 12651/2012, CONST. DO ART. 1º DO PLV",2019-05-29,16820,17:09,168201709
2190237,"DTQ. 8 - PSB - §13º DO ART. 59 DA LEI 12651/2012, CONST. DO ART. 1º DO PLV",2019-05-29,16821,19:00,168211900
2190237,REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,2019-05-29,16820,15:34,168201534
2190237,VOTAÇÃO DA ADMISSIBILIDADE EM GLOBO DOS DESTAQUES SIMPLES,2019-05-29,16820,15:59,168201559
2190237,DTQ. 9 - PCdoB - ART. 60-A DO PLV,2019-05-29,16821,19:12,168211912
2190237,"DTQ. 10 - BLOCO PP/MDB/PTB - EXP: ""PORÉM, EM CASO DE ...""",2019-05-29,16821,19:21,168211921
2190237,DTQ. 11 - PSOL - §9º DO ART. 59,2019-05-29,16821,18:47,168211847
2190237,DTQ. 12 - BLOCO PP - PREFERÊNCIA PARA O DTQ. Nº 7...,2019-05-29,16820,16:45,168201645
2190237,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E DO ENCAMINHAMENTO,2019-05-28,16819,20:44,168192044
2190237,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-28,16819,20:26,168192026
2190237,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-29,16820,12:51,168201251
2190237,PARECER DA C.M P/ NÃO ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...,2019-05-29,16820,14:12,168201412
2190237,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-29,16821,17:36,168211736
2190288,"DTQ. 9 - PODEMOS - ART. 38, VII, DA MPV",2019-05-22,16813,20:14,168132014
2190288,REQ. PARA QUE TODAS AS VOTAÇÕES SEJA PELO PROCESSO NOMINAL,2019-05-22,16812,16:34,168121634
2190355,REQUERIMENTO DE RETIRADA DE PAUTA,2019-05-29,16821,19:57,168211957
2190355,DTQ. 3 - PT - EMENDA Nº 185,2019-05-29,16822,22:25,168222225
2190355,DTQ. 12 - PSB - EMENDA Nº 92,2019-05-29,16822,22:44,168222244
2190355,"DTQ. 27 - PT - INC. V DO ART. 8º, CONST. DO PLV",2019-05-29,16821,21:44,168212144
2190355,"DTQ. 34 - BLOCO PP/MDB/PTB - EMENDA Nº 254, EXP. ""SENDO VEDADO...""",2019-05-29,16822,23:00,168222300
2190880,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-19,16734,16:52,167341652
2192300,URGÊNCIA PARA APRECIAÇÃO DO PDL Nº 3/2019,2019-02-19,16734,16:09,167341609
2192459,REQUERIMENTO DE RETIRADA DE PAUTA,2019-08-06,16887,21:57,168872157
2192459,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,2019-08-06,16887,00:12,168870012
2192459,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-09,16860,22:19,168602219
2192459,DTQ 2 - CIDADANIA - § ÚNICO DO ART. 203 DA CONSTITUIÇÃO FEDERAL,2019-07-11,16863,21:44,168632144
2192459,DTQ 9 - PL - EMENDA Nº 176,2019-07-10,16862,20:40,168622040
2192459,DTQ 11 - PT - ART. 26 DO SUBSTITUTIVO,2019-07-12,16866,18:31,168661831
2192459,DTQ 12 - PT - ART. 23 DO SUBSTITUTIVO,2019-07-12,16866,17:25,168661725
2192459,DTQ 13 - PT - §2º DO ART. 26 DO SUBSTITUTIVO,2019-07-12,16866,19:05,168661905
2192459,"DTQ 14 - PSOL - §3º DO ART. 239, CONST. DO ART. 1º DO SUBSTITUTIVO",2019-07-11,16864,23:27,168642327
2192459,CONSULTA AO PLENÁRIO SOBRE VOTAÇÃO PARCELADA,2019-07-10,16861,13:49,168611349
2192459,"DTQ 43 - PDT - EXP. "" EM DOIS ANOS"" CONST. DO §1º, DO ART. 20...",2019-07-12,16865,15:36,168651536
2192459,DTQ 44 - PDT - INC. IV DO ART. 20 DO SUBSTITUTIVO,2019-07-12,16865,13:59,168651359
2192459,REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,2019-07-10,16861,14:57,168611457
2192459,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO,2019-07-09,16860,00:29,168600029
2192459,VOTAÇÃO DA ADMISSIBILIDADE EM GLOBO DOS DESTAQUES SIMPLES,2019-07-10,16861,15:51,168611551
2192459,EMENDA DE REDAÇÃO Nº 1,2019-07-12,16866,19:43,168661943
2192459,RECURSO CONTRA O INDEFERIMENTO AO REQ.  DE DISCUSSÃO POR PARTES,2019-07-09,16860,22:48,168602248
2192459,EMA 5 - DEM - EMENDA AGLUTINATIVA Nº 5,2019-07-11,16863,19:56,168631956
2192459,DTQ 76 - PSB - §2º DO ART. 18 DO SUBSTITUTIVO DA COMISSÃO ESPECIAL,2019-07-11,16864,01:35,168640135
2192459,EMA 4 - PDT - EMENDA AGLUTINATIVA Nº 4,2019-07-12,16865,13:11,168651311
