id_parlamentar,casa,nome_eleitoral,uf,partido_atual,partido_eleicao,total_receita_partido,total_receita_candidato,indice_investimento_partido
141421,camara,EDUARDO DA FONTE,PE,PP,PP,2028933.15,2033433.15,0.0166257414328718
141422,camara,EFRAIM FILHO,PB,DEM,DEM,1090476.36,1301353.16,0.0177982452550724
74075,camara,ELCIONE BARBALHO,PA,MDB,MDB,2000000,2074730,0.0111093519768293
160532,camara,ELI CORRÊA FILHO,SP,DEM,DEM,664400,927877.84,0.0165092207443815
178854,camara,ELMAR NASCIMENTO,BA,DEM,DEM,1100250,1344750,0.0205893870201703
132504,camara,ENIO VERRI,PR,PT,PT,894418,967474.39,0.0104947044100405
160575,camara,ERIKA KOKAY,DF,PT,PT,1009000,1094402.13,0.00994859500612782
160640,camara,EROS BIONDINI,MG,PROS,PROS,1067405.48,1135562.6,0.0436898195829622
178871,camara,EVAIR VIEIRA DE MELO,ES,PP,PP,1044203,1145012.38,0.00668402917339941
178930,camara,ROMAN,PR,PSD,PSD,1087715,1748172.46,0.0191696275250445
178953,camara,EXPEDITO NETTO,RO,PSD,PSD,618973.05,791089.05,0.00714908164958888
141428,camara,FÁBIO FARIA,RN,PSD,PSD,1035000,1392476,0.0153107635120696
178969,camara,FÁBIO MITIDIERI,SE,PSD,PSD,670000,764546.96,0.012233190561270601
141427,camara,FÁBIO RAMALHO,MG,MDB,MDB,1500956.69,2106256.69,0.0133837063135439
171623,camara,FABIO REIS,SE,MDB,MDB,1500000,1505965.96,0.0140638094054547
160587,camara,FÁBIO TRAD,MS,PSD,PSD,550000,688674,0.00963715438682865
66828,camara,FAUSTO PINATO,SP,PP,PP,1890692,1929824.92,0.0205713578687551
72442,camara,FELIPE CARRERAS,PE,PSB,PSB,1317279.12,1734819.32,0.0205807066195842
160666,camara,FÉLIX MENDONÇA JÚNIOR,BA,PDT,PDT,800000,1250355.13,0.044397838234299
141431,camara,FERNANDO COELHO FILHO,PE,DEM,DEM,940000,2023103,0.0175912181955809
92699,camara,FERNANDO MONTEIRO,PE,PP,PP,2108488,2367589.15,0.0172776398780379
160598,camara,FLÁVIA MORAIS,GO,PDT,PDT,753000,1647841.19,0.0382327183393803
141434,camara,FLAVIANO MELO,AC,MDB,MDB,1603200,1694200,0.00734253833495045
191923,camara,FLÁVIO NOGUEIRA,PI,PDT,PDT,416500,731120.2,0.01726180813144
