sg_partido,uf,esfera,valor,numero_candidatos
MDB,MA,camara,4872500,8
MDB,MG,camara,11365693.78,19
MDB,MS,camara,1811960,11
MDB,MT,camara,5010100,7
MDB,PA,camara,5568400,4
MDB,PB,camara,2239800,9
MDB,PE,camara,841444.32,1
MDB,PI,camara,647500,3
MDB,PR,camara,3961000,15
MDB,RJ,camara,11703160.95,18
MDB,RN,camara,2258062.5,4
MDB,RO,camara,4020000,4
MDB,RR,camara,2912160,3
MDB,RS,camara,12794450,25
MDB,SC,camara,7129000,11
MDB,SE,camara,1710000,3
MDB,SP,camara,9587485.44,63
MDB,TO,camara,2360000,1
NOVO,AL,camara,5797.48,3
NOVO,BA,camara,32623.28,8
NOVO,CE,camara,8596.34,5
NOVO,DF,camara,9404.96,6
NOVO,ES,camara,10880.64,6
NOVO,GO,camara,10094.96,6
NOVO,MG,camara,113038.52,36
NOVO,MS,camara,8311.8,5
NOVO,MT,camara,25689.079999999998,13
NOVO,PB,camara,4848.0599999999995,2
NOVO,PE,camara,38304.85,9
NOVO,PR,camara,178486.56,16
NOVO,RJ,camara,73065.71,18
NOVO,RN,camara,20495.8,5
NOVO,RO,camara,3297.48,3
NOVO,RS,camara,120818.97,18
NOVO,SC,camara,68318.4,16
NOVO,SE,camara,2198.3199999999997,2
NOVO,SP,camara,25940.08,17
PATRI,AM,camara,280.1,4
PATRI,BA,camara,232206.33,34
PATRI,CE,camara,124704.35,18
PATRI,DF,camara,40000,1
PATRI,MG,camara,1678947.4,15
PATRI,MT,camara,4800,3
PATRI,PB,camara,50000,1
PATRI,PE,camara,378785.9,20
PATRI,PI,camara,5998.2,1
PATRI,PR,camara,109100,1
PATRI,RJ,camara,751278,8
PATRI,RR,camara,216398,8
PATRI,RS,camara,86530.84,5
PATRI,SC,camara,27421.95,16
PATRI,SE,camara,300000,1
PATRI,SP,camara,3338917.4,75
PATRI,TO,camara,8312,1
PCB,DF,camara,10101.11,1
PCB,GO,camara,3835.98,1
PCB,MA,camara,8119.1,2
PCB,MG,camara,164770,12
PCB,PA,camara,10101.11,1
PCB,PE,camara,112611.11,4
PCB,PI,camara,30543.02,1
PCB,RJ,camara,112035.75,1
PCB,RR,camara,97296.76,1
PCB,RS,camara,9036.88,1
PCB,SC,camara,10543.02,2
PCB,SP,camara,44198.65,2
PC do B,AC,camara,899232.95,1
PC do B,AL,camara,64639.399999999994,4
PC do B,AM,camara,189848.58,8
PC do B,AP,camara,896500,1
PC do B,BA,camara,2810335.87,2
PC do B,CE,camara,2110480.51,3
PC do B,DF,camara,74760,2
PC do B,ES,camara,1063606.81,1
PC do B,GO,camara,175168.65,3
PC do B,MA,camara,1604300,4
PC do B,MG,camara,1476948.46,1
PC do B,MS,camara,22000,1
PC do B,MT,camara,18334,1
PC do B,PA,camara,1237594.58,1
PC do B,PB,camara,109590,4
PC do B,PE,camara,1348940.57,1
PC do B,PI,camara,33267.5,1
PC do B,PR,camara,5000,1
PC do B,RJ,camara,1384935,9
PC do B,RN,camara,29460,6
PC do B,RO,camara,15000,1
PC do B,RR,camara,25000,1
PC do B,RS,camara,908926.75,24
PC do B,SC,camara,1181207.38,1
PC do B,SE,camara,554000,2
PC do B,SP,camara,1049744.11,2
PC do B,TO,camara,700,1
PCO,BA,camara,3700,2
PCO,GO,camara,2350,1
PCO,PR,camara,1600,1
PCO,RN,camara,600,1
PDT,AC,camara,250471.77,14
PDT,AL,camara,650000,2
PDT,AM,camara,35000,2
PDT,AP,camara,176028,7
PDT,BA,camara,1256295.52,26
PDT,CE,camara,1790000,6
PDT,DF,camara,25700,3
PDT,ES,camara,759896.7,5
PDT,GO,camara,1518566.19,1
PDT,MA,camara,1237200,7
PDT,MG,camara,1396833.18,24
PDT,MS,camara,730000,4
PDT,MT,camara,1200666.45,4
PDT,PA,camara,447000,3
PDT,PB,camara,570000,1
PDT,PE,camara,794097.96,3
PDT,PI,camara,601500,1
PDT,PR,camara,1158000,9
PDT,RJ,camara,1169954.31,27
PDT,RN,camara,270000,2
PDT,RO,camara,124000,3
PDT,RR,camara,20000,2
PDT,RS,camara,1551220,12
PDT,SC,camara,890000,1
PDT,SE,camara,186850,3
PDT,SP,camara,631500,19
PDT,TO,camara,7500,1
PHS,AC,camara,26974.27,2
PHS,AL,camara,38490.87,4
PHS,AM,camara,96485,2
PHS,AP,camara,520000,6
PHS,BA,camara,388735.86,14
PHS,CE,camara,47379.5,4
PHS,DF,camara,297721.36,3
PHS,ES,camara,100000,2
PHS,GO,camara,827335.67,20
PHS,MA,camara,427300,7
PHS,MG,camara,2771801.16,60
PHS,MS,camara,36000,3
PHS,MT,camara,51200,3
PHS,PA,camara,26250,1
PHS,PB,camara,42750,5
PHS,PE,camara,445929.67,10
PHS,PI,camara,139000,4
PHS,PR,camara,223208,8
PHS,RJ,camara,228500,58
PHS,RN,camara,48350,4
PHS,RO,camara,14311,4
PHS,RR,camara,339592.07,7
PHS,RS,camara,11031.42,3
PHS,SE,camara,32298.33,3
PHS,SP,camara,243642.5,7
PHS,TO,camara,21564,2
PMB,AC,camara,30000,1
PMB,AM,camara,3100,2
PMB,BA,camara,385000,1
PMB,DF,camara,27000,1
PMB,ES,camara,37486,5
PMB,MA,camara,55000,2
PMB,PA,camara,80000,1
PMB,RJ,camara,453601.21,17
PMB,RR,camara,21120,2
PMB,RS,camara,19800,2
PMN,AC,camara,150000,1
PMN,AL,camara,900000,1
PMN,AM,camara,120000,3
PMN,AP,camara,8150,3
PMN,BA,camara,209000,7
PMN,CE,camara,620000,2
PMN,DF,camara,150000,1
PMN,ES,camara,300,1
PMN,GO,camara,81886.19,2
PMN,MA,camara,703000,9
PMN,MG,camara,185030,4
PMN,MS,camara,50000,1
PMN,MT,camara,40630,1
PMN,PA,camara,100000,1
PMN,PB,camara,250000,1
PMN,PE,camara,170000,1
PMN,PI,camara,80000,1
PMN,PR,camara,500000,1
PMN,RJ,camara,679609.8,12
PMN,RN,camara,250000,1
PMN,RO,camara,210000,3
PMN,RS,camara,210509.42,2
PMN,SC,camara,66766.5,5
PMN,SE,camara,100000,1
PMN,SP,camara,391000,8
PMN,TO,camara,150000,1
PODE,AC,camara,100000,1
PODE,AM,camara,19600,4
PODE,AP,camara,1050000,1
PODE,BA,camara,865000,2
PODE,CE,camara,700000,1
PODE,DF,camara,750553.6,1
PODE,ES,camara,1200,6
PODE,GO,camara,447846.19,3
PODE,MA,camara,885000,4
PODE,MG,camara,2735229.42,16
PODE,MS,camara,800,4
PODE,MT,camara,1001720,2
PODE,PA,camara,777400,1
PODE,PB,camara,1000000,1
PODE,PE,camara,1000000,1
PODE,PR,camara,631174.42,4
PODE,RJ,camara,1338276.9,30
PODE,RN,camara,300000,2
PODE,RO,camara,623000,1
PODE,RR,camara,26487.86,6
PODE,RS,camara,600000,1
PODE,SC,camara,303500,1
PODE,SP,camara,6351061.94,32
PP,AC,camara,1322040,3
PP,AL,camara,2777758,4
PP,AM,camara,1897386,1
PP,AP,camara,1634541,1
PP,BA,camara,8470822,7
PP,CE,camara,3416037.5,3
PP,DF,camara,3318490,2
PP,ES,camara,2742747.81,7
PP,GO,camara,7050887.2,5
PP,MA,camara,3570528,4
PP,MG,camara,10335651.27,6
PP,MT,camara,3828379.83,2
PP,PA,camara,1593372,1
PP,PB,camara,3815103.01,7
PP,PE,camara,7431501.15,4
PP,PI,camara,7597280.5,5
PP,PR,camara,8382925.83,10
PP,RJ,camara,6880119.03,12
PP,RN,camara,1867000,3
PP,RO,camara,2410000,2
PP,RR,camara,1737097.2,3
PP,RS,camara,10071129.69,17
PP,SC,camara,6076203,9
PP,SE,camara,1731095.16,1
PP,SP,camara,8098442,6
PP,TO,camara,1756302.35,1
PPL,AC,camara,4637.5,1
PPL,AL,camara,1340,2
PPL,AP,camara,5870,3
PPL,BA,camara,114000,2
PPL,DF,camara,86312,9
PPL,ES,camara,16000,1
PPL,MG,camara,400,1
PPL,MT,camara,1800,2
PPL,PA,camara,4800,5
PPL,PE,camara,12590,11
PPL,PR,camara,37300,24
PPL,RJ,camara,32778.02,22
PPL,RR,camara,1198.5,1
PPL,RS,camara,42562.59,22
PPL,SC,camara,3000,1
PPL,SE,camara,50165.17,3
PPL,SP,camara,125538.33,43
PPS,AC,camara,498048.04,1
PPS,AL,camara,654173.85,1
PPS,AM,camara,116816.01000000001,1
PPS,BA,camara,436587.88,1
PPS,CE,camara,654064.05,5
PPS,DF,camara,133040,4
PPS,ES,camara,1475646.2200000002,4
PPS,GO,camara,1168128.11,1
PPS,MG,camara,1469251,7
PPS,MS,camara,103008.01,2
PPS,MT,camara,497377.88,5
PPS,PA,camara,1168128.11,1
PPS,PB,camara,174000,1
PPS,PE,camara,1407997.57,4
PPS,PI,camara,200926.43,4
PPS,PR,camara,1388808.4400000002,4
PPS,RJ,camara,1049841.16,14
PPS,RN,camara,100751.05,1
PPS,RO,camara,121016.01,2
PPS,RR,camara,147916.72,4
PPS,RS,camara,580313.52,30
PPS,SC,camara,1218128.1099999999,2
PPS,SE,camara,98402.1,1
PPS,SP,camara,5212047.5600000005,10
PPS,TO,camara,292032.03,1
PR,AC,camara,1500000,1
PR,AL,camara,1255557.26,1
PR,AM,camara,1989000,3
PR,AP,camara,3065000,7
PR,BA,camara,4780000,3
PR,CE,camara,4126666.67,4
PR,DF,camara,4885150,5
PR,ES,camara,3857975.71,3
PR,GO,camara,2000000,1
PR,MA,camara,4930000,4
PR,MG,camara,10773013.13,6
PR,MS,camara,100000,1
PR,MT,camara,1977556,2
PR,PA,camara,888515.03,1
PR,PB,camara,1760000,2
PR,PE,camara,3324000,9
PR,PI,camara,1350000,1
PR,PR,camara,6479092.19,3
PR,RJ,camara,11937126.9,25
PR,RN,camara,2240000,1
PR,RO,camara,2400000,2
PR,RR,camara,3670000,6
PR,RS,camara,2500000,7
PR,SC,camara,300000,1
PR,SE,camara,3500000,2
PR,SP,camara,19763198.91,44
PR,TO,camara,870000,2
PRB,AC,camara,850000,1
PRB,AL,camara,842225.39,1
PRB,AM,camara,2308380,2
PRB,AP,camara,1952976.22,1
PRB,BA,camara,4602549.81,4
PRB,CE,camara,1119020,1
PRB,DF,camara,930951.72,3
PRB,ES,camara,3283391.37,10
PRB,GO,camara,1315830,1
PRB,MA,camara,975000,2
PRB,MG,camara,6507577.28,8
PRB,MS,camara,1673250.71,3
PRB,MT,camara,1325875.64,1
PRB,PA,camara,789031,1
PRB,PB,camara,1465611.06,3
PRB,PE,camara,1673075.27,2
PRB,PI,camara,1721043.78,3
PRB,PR,camara,2049620.05,22
PRB,RJ,camara,6351792.77,48
PRB,RN,camara,1185615.6400000001,2
PRB,RO,camara,965994.69,1
PRB,RR,camara,1470040,3
PRB,RS,camara,1146816.72,7
PRB,SC,camara,1344643.76,5
PRB,SE,camara,695500,2
PRB,SP,camara,22224153.6,95
PRB,TO,camara,868792.49,2
PROS,AC,camara,316985,1
PROS,AM,camara,717250,2
PROS,AP,camara,776466.3,2
PROS,BA,camara,256140,1
PROS,CE,camara,2295818.72,30
PROS,DF,camara,3405222.33,7
PROS,ES,camara,412656.04,2
PROS,GO,camara,1793697.52,1
PROS,MA,camara,1093940,3
PROS,MG,camara,4088750.26,14
PROS,MS,camara,858950,4
PROS,MT,camara,754776.08,4
PROS,PA,camara,513885,1
PROS,PB,camara,350000,1
PROS,PE,camara,1160800,1
PROS,PI,camara,123500,1
PROS,PR,camara,881600,3
PROS,RJ,camara,3113022.5,3
PROS,RN,camara,1405000,1
PROS,RO,camara,833580,1
PROS,RS,camara,239650,1
PROS,SC,camara,341500,1
PROS,SE,camara,43331.5,1
PROS,SP,camara,1888855.49,15
PROS,TO,camara,901726.85,1
PRP,AC,camara,61883.04,3
PRP,AM,camara,2000,1
PRP,AP,camara,270803.44,2
PRP,BA,camara,215000,7
PRP,CE,camara,215,1
PRP,DF,camara,126536.88,5
PRP,ES,camara,191365.05,3
PRP,GO,camara,527987.32,4
PRP,MG,camara,196135.75,5
PRP,MS,camara,35000,1
PRP,MT,camara,120000,1
PRP,PB,camara,25000,2
PRP,PE,camara,117200,3
PRP,PI,camara,68470,7
PRP,PR,camara,25000,2
PRP,RJ,camara,493747.5,31
PRP,RO,camara,36700,3
PRP,RR,camara,19309.98,4
PRP,RS,camara,65788.57,8
PRP,SC,camara,62323,9
PRP,SP,camara,1700515.37,28
PRTB,AC,camara,4000,1
PRTB,AL,camara,200000,2
PRTB,BA,camara,84712,3
PRTB,CE,camara,49976.25,5
PRTB,DF,camara,29750,5
PRTB,ES,camara,2000,2
PRTB,GO,camara,9910.98,10
PRTB,MA,camara,29982.15,1
PRTB,MG,camara,224267.96,22
PRTB,PA,camara,4890,3
PRTB,PB,camara,12845,5
PRTB,PE,camara,24500,2
PRTB,PR,camara,11660,13
PRTB,RJ,camara,166546.97,39
PRTB,RN,camara,9613.55,4
PRTB,RR,camara,7620,4
PRTB,SC,camara,17142.86,5
PRTB,SE,camara,16600,3
PRTB,SP,camara,320945.87,39
PRTB,TO,camara,2900,7
PSB,AC,camara,1300000,1
PSB,AL,camara,1313000,2
PSB,AM,camara,775000,2
PSB,AP,camara,752500,6
PSB,BA,camara,2116439.11,5
PSB,CE,camara,1810000,3
PSB,DF,camara,1330868.87,2
PSB,ES,camara,2351055,10
PSB,GO,camara,572117.5,1
PSB,MA,camara,600000,3
PSB,MG,camara,4904350,14
PSB,MS,camara,1300000,1
PSB,MT,camara,778616.28,4
PSB,PA,camara,545600,1
PSB,PB,camara,1270000,2
PSB,PE,camara,9573197.24,13
PSB,PI,camara,1850000,4
PSB,PR,camara,4400000,6
PSB,RJ,camara,2059456.08,7
PSB,RN,camara,1510000,1
PSB,RO,camara,500000,1
PSB,RR,camara,91468.57,5
PSB,RS,camara,5934790,29
PSB,SC,camara,1814968,11
PSB,SE,camara,589166.99,6
PSB,SP,camara,8134982.5,24
PSB,TO,camara,740000,3
PSC,AC,camara,70000,1
PSC,AL,camara,500000,2
PSC,AM,camara,100000,1
PSC,AP,camara,320000,2
PSC,BA,camara,579941.96,9
PSC,CE,camara,1272500,1
PSC,DF,camara,466042.23000000004,4
PSC,ES,camara,1040000,1
PSC,GO,camara,182456.66,3
PSC,MA,camara,1400000,1
PSC,MG,camara,3398561.2,13
PSC,MT,camara,830013.2,6
PSC,PA,camara,2300013.2,1
PSC,PB,camara,1300026.4,2
PSC,PE,camara,480000,1
PSC,PI,camara,280000,1
PSC,PR,camara,2502652.1,7
PSC,RJ,camara,962945.42,49
PSC,RN,camara,750000,2
PSC,RO,camara,467000,1
PSC,RR,camara,700960,2
PSC,RS,camara,301782.97,8
PSC,SC,camara,200000,1
PSC,SE,camara,100000,1
PSC,SP,camara,1490000,2
PSC,TO,camara,281824.73,1
PSD,AC,camara,824450,1
PSD,AL,camara,1499800,2
PSD,AM,camara,2520000,3
PSD,AP,camara,739000,2
PSD,BA,camara,6709773.05,10
PSD,CE,camara,1464939.8,4
PSD,DF,camara,436278.52,1
PSD,ES,camara,1016500,2
PSD,GO,camara,1620000,5
PSD,MA,camara,1399800,2
PSD,MG,camara,5063166.06,11
PSD,MS,camara,630000,2
PSD,MT,camara,762299.68,2
PSD,PA,camara,1406005.15,4
PSD,PE,camara,1076019.51,1
PSD,PI,camara,792013.2,1
PSD,PR,camara,6783374.31,16
PSD,RJ,camara,6822756.2,17
PSD,RN,camara,1275000,2
PSD,RO,camara,718973.05,2
PSD,RR,camara,140870,3
PSD,RS,camara,1694492.45,16
PSD,SC,camara,1291484,7
PSD,SE,camara,670000,1
PSD,SP,camara,9125000,22
PSDB,AC,camara,1629365.55,1
PSDB,AL,camara,2055252.42,3
PSDB,AM,camara,2129609.6,1
PSDB,AP,camara,832050,2
PSDB,BA,camara,3375182.21,7
PSDB,CE,camara,3380620.35,11
PSDB,DF,camara,571920.35,8
PSDB,ES,camara,1110350,3
PSDB,GO,camara,3204500,5
PSDB,MA,camara,2296250,10
PSDB,MG,camara,9862594.74,20
PSDB,MS,camara,2745427.75,5
PSDB,MT,camara,1095683.68,4
PSDB,PA,camara,1895869.21,6
PSDB,PB,camara,3035700,7
PSDB,PE,camara,1521750,4
PSDB,PI,camara,373009.77,4
PSDB,PR,camara,1757100,7
PSDB,RJ,camara,1778544.14,20
PSDB,RN,camara,200100,1
PSDB,RO,camara,2300000,1
PSDB,RR,camara,2550000,4
PSDB,RS,camara,3548761.07,7
PSDB,SC,camara,4517512.98,17
PSDB,SE,camara,450891.44,3
PSDB,SP,camara,16237596.94,49
PSDB,TO,camara,427641.44,6
PSL,AC,camara,261.04,5
PSL,AM,camara,5294,1
PSL,AP,camara,35000,1
PSL,BA,camara,484200,2
PSL,CE,camara,50000,1
PSL,DF,camara,14649.5,3
PSL,ES,camara,310884.65,5
PSL,GO,camara,457294.33,4
PSL,MA,camara,180,2
PSL,MG,camara,376845.76,44
PSL,MT,camara,69416.28,4
PSL,PA,camara,1928,1
PSL,PB,camara,572987.91,14
PSL,PE,camara,2342000,11
PSL,PR,camara,169600,9
PSL,RJ,camara,397512.83,43
PSL,RN,camara,4000,1
PSL,RR,camara,110000,5
PSL,RS,camara,10000,5
PSL,SC,camara,5424.2699999999995,14
PSL,SP,camara,584672.19,39
PSL,TO,camara,10000,8
PSOL,AC,camara,300066.64,4
PSOL,AL,camara,16263.22,2
PSOL,AM,camara,21316.38,12
PSOL,AP,camara,201719.65,6
PSOL,BA,camara,214614.28,30
PSOL,CE,camara,241072.21,23
PSOL,DF,camara,279507.34,15
PSOL,ES,camara,24604.12,7
PSOL,GO,camara,43886.33,15
PSOL,MA,camara,53723.899999999994,15
PSOL,MG,camara,184621.39,32
PSOL,MS,camara,21761.07,5
PSOL,MT,camara,111040.3,9
PSOL,PA,camara,977934.68,18
PSOL,PB,camara,27878.65,5
PSOL,PE,camara,168580,29
PSOL,PI,camara,22896.68,7
PSOL,PR,camara,78755.91,29
PSOL,RJ,camara,1608054.22,37
PSOL,RN,camara,44835.399999999994,11
PSOL,RO,camara,21775.16,3
PSOL,RR,camara,36419.81,4
PSOL,RS,camara,456025.31,38
PSOL,SC,camara,268942.74,15
PSOL,SE,camara,36068.92,8
PSOL,SP,camara,1072913.3900000001,74
PSOL,TO,camara,38856.98,4
PSTU,DF,camara,2487.9300000000003,1
PSTU,RR,camara,888.8899999999999,1
PSTU,SP,camara,28103,3
PT,AC,camara,2778000,5
PT,AL,camara,1000000,1
PT,AM,camara,910825.18,4
PT,BA,camara,6952204,12
PT,CE,camara,3944432.6,12
PT,DF,camara,2116882.35,16
PT,ES,camara,1594500,15
PT,GO,camara,1220715.15,14
PT,MA,camara,1346346,20
PT,MG,camara,10030076.62,25
PT,MS,camara,1915656.13,16
PT,MT,camara,1056666.97,2
PT,PA,camara,2411743.59,7
PT,PB,camara,909826.41,4
PT,PE,camara,2440205,15
PT,PI,camara,2966500,7
PT,PR,camara,4036742.83,30
PT,RJ,camara,5951712,23
PT,RN,camara,947886.2,6
PT,RO,camara,98000,3
PT,RR,camara,389900.41,2
PT,RS,camara,6739261.2299999995,20
PT,SC,camara,2975500,11
PT,SE,camara,1915000,3
PT,SP,camara,16114585.46,68
PT,TO,camara,569282.78,8
PTB,AC,camara,449599.75,1
PTB,AL,camara,1709057.38,2
PTB,AM,camara,1479306.6,1
PTB,AP,camara,445018.8,7
PTB,BA,camara,2768728.64,3
PTB,CE,camara,295000,2
PTB,DF,camara,185000,1
PTB,ES,camara,190815,9
PTB,GO,camara,1602845,3
PTB,MA,camara,1330000,3
PTB,MG,camara,2740719.36,12
PTB,MS,camara,39496.7,1
PTB,MT,camara,1872353.68,2
PTB,PA,camara,1383538.05,2
PTB,PB,camara,1620539.69,2
PTB,PE,camara,1423161.93,3
PTB,PI,camara,1877821.74,1
PTB,PR,camara,2208553.67,1
PTB,RJ,camara,5803485.48,14
PTB,RO,camara,494951,1
PTB,RR,camara,107200,4
PTB,RS,camara,3899241.93,9
PTB,SC,camara,90600,1
PTB,SE,camara,59763,2
PTB,SP,camara,4342000,19
PTC,AC,camara,570000,1
PTC,AL,camara,300000,1
PTC,AM,camara,3529.3500000000004,3
PTC,AP,camara,80000,1
PTC,BA,camara,295833.28,11
PTC,DF,camara,240000,5
PTC,ES,camara,60000,1
PTC,GO,camara,253331.42,6
PTC,MA,camara,30000,3
PTC,MG,camara,524401.3,22
PTC,MS,camara,150000,1
PTC,MT,camara,80000,1
PTC,PA,camara,2380,2
PTC,PB,camara,65000,2
PTC,PE,camara,5000,5
PTC,PI,camara,560000,1
PTC,PR,camara,11500,2
PTC,RJ,camara,169750,9
PTC,RN,camara,855000,2
PTC,RO,camara,270000,1
PTC,RR,camara,303840,2
PTC,RS,camara,1528.26,6
PTC,SC,camara,10000,1
PTC,SP,camara,35000,7
PV,AC,camara,334343.2,2
PV,AL,camara,232742.2,2
PV,AM,camara,403955.54000000004,1
PV,AP,camara,72335.17,6
PV,BA,camara,1226253.88,11
PV,CE,camara,679688.01,2
PV,DF,camara,584300,2
PV,ES,camara,189457.68,5
PV,GO,camara,367285.79,5
PV,MA,camara,353000,4
PV,MG,camara,1245770.91,14
PV,MS,camara,81026.94,8
PV,MT,camara,177022,9
PV,PA,camara,258283.39,2
PV,PB,camara,42700,2
PV,PE,camara,506418.31,8
PV,PI,camara,164341.48,9
PV,PR,camara,1925231.32,25
PV,RJ,camara,408813.65,13
PV,RN,camara,336831.73,1
PV,RO,camara,206010.12,5
PV,RR,camara,108309.5,6
PV,RS,camara,600000,1
PV,SC,camara,548247.01,4
PV,SE,camara,108476.44,7
PV,SP,camara,4566616.63,67
PV,TO,camara,105000,2
REDE,AC,camara,190800,2
REDE,AL,camara,725000,1
REDE,AM,camara,2092,2
REDE,AP,camara,103530,7
REDE,BA,camara,138636.45,19
REDE,CE,camara,23440,14
REDE,DF,camara,91600,3
REDE,ES,camara,190800,2
REDE,GO,camara,3576.48,5
REDE,MA,camara,1890.9,2
REDE,MG,camara,148058.56,19
REDE,MS,camara,5280,3
REDE,MT,camara,76.36,4
REDE,PB,camara,140800,2
REDE,PE,camara,92200,14
REDE,PI,camara,190000,1
REDE,PR,camara,9449.99,11
REDE,RJ,camara,192400,5
REDE,RN,camara,800,1
REDE,RR,camara,171100,3
REDE,RS,camara,733041.94,3
REDE,SC,camara,800,1
REDE,SE,camara,11210,12
REDE,SP,camara,328500,22
SOLIDARIEDADE,AC,camara,1450000,1
SOLIDARIEDADE,AM,camara,280000,1
SOLIDARIEDADE,AP,camara,450000,1
SOLIDARIEDADE,BA,camara,1628000,4
SOLIDARIEDADE,CE,camara,890000,2
SOLIDARIEDADE,DF,camara,641737.32,1
SOLIDARIEDADE,ES,camara,1278000,2
SOLIDARIEDADE,GO,camara,650000,1
SOLIDARIEDADE,MA,camara,1250500,2
SOLIDARIEDADE,MG,camara,1105105.93,4
SOLIDARIEDADE,MS,camara,600000,2
SOLIDARIEDADE,MT,camara,934048.91,2
SOLIDARIEDADE,PA,camara,270000,3
SOLIDARIEDADE,PE,camara,1836400,6
SOLIDARIEDADE,PI,camara,630000,1
SOLIDARIEDADE,PR,camara,865000,1
SOLIDARIEDADE,RJ,camara,1732767.24,17
SOLIDARIEDADE,RN,camara,119892.04000000001,11
SOLIDARIEDADE,RO,camara,660000,1
SOLIDARIEDADE,RR,camara,473476.56,6
SOLIDARIEDADE,RS,camara,1150400,2
SOLIDARIEDADE,SC,camara,907500,1
SOLIDARIEDADE,SE,camara,815000,2
SOLIDARIEDADE,SP,camara,3674738.62,45
SOLIDARIEDADE,TO,camara,1604100,2
AVANTE,AC,senado,25700.050000000003,6
AVANTE,AL,senado,319000,1
AVANTE,AM,senado,34503.2,3
AVANTE,AP,senado,418539.23,2
AVANTE,BA,senado,1028440,11
AVANTE,CE,senado,1162500,2
AVANTE,DF,senado,126989.17,8
AVANTE,ES,senado,35913.1,2
AVANTE,MG,senado,6618774.1,73
AVANTE,PA,senado,155140,2
AVANTE,PB,senado,261750,6
AVANTE,PE,senado,1285000,4
AVANTE,PI,senado,180020,2
AVANTE,PR,senado,132704.86,5
AVANTE,RJ,senado,519042.09,21
AVANTE,RN,senado,350000,1
AVANTE,RR,senado,20000,1
AVANTE,RS,senado,273150.5,4
AVANTE,SC,senado,58141.8,4
AVANTE,SE,senado,15850,5
AVANTE,SP,senado,706224.59,90
AVANTE,TO,senado,9972,1
DC,AC,senado,41600,3
DC,AL,senado,77320,2
DC,AM,senado,75644,6
DC,AP,senado,30022.82,1
DC,BA,senado,377500,14
DC,CE,senado,34392.85,7
DC,DF,senado,27961.5,10
DC,ES,senado,36826.97,9
DC,GO,senado,71819.11,8
DC,MG,senado,19434.53,8
DC,MS,senado,17000,1
DC,PA,senado,20888.78,1
DC,PB,senado,11944.56,1
DC,PE,senado,57000,15
DC,PI,senado,32100,4
DC,PR,senado,104122.32,8
DC,RJ,senado,115500,23
DC,RN,senado,7000,2
DC,RR,senado,110228.56,3
DC,RS,senado,26074,3
DC,SC,senado,59380,1
DC,SE,senado,30022.82,1
DC,SP,senado,73060.56,22
DC,TO,senado,10000,1
DEM,AC,senado,825300,1
DEM,AM,senado,1078000,2
