id,casa,discurso_normalizado
160674,camara,0.3333333333333333
67138,camara,-0.3333333333333333
73531,camara,0
74848,camara,0
74273,camara,0
160570,camara,0
178839,camara,0
178842,camara,0
160531,camara,0
74366,camara,0
141458,camara,0
178970,camara,0
112437,camara,0
178910,camara,0
178857,camara,0
141464,camara,0
141470,camara,0
160619,camara,0
74079,camara,0
74554,camara,0
74317,camara,0
73586,camara,0
178886,camara,0
151208,camara,0
178832,camara,0
74156,camara,0
74299,camara,0
74585,camara,0
196358,camara,0
178879,camara,0
74478,camara,0
178931,camara,0
178954,camara,0
160510,camara,0
162332,camara,0
74784,camara,0
178866,camara,0
166402,camara,0
146788,camara,0
178983,camara,0
179001,camara,0
150418,camara,0
160535,camara,0
171619,camara,0
74398,camara,0
178956,camara,-0.3333333333333333
74158,camara,0
178858,camara,0
178843,camara,-0.6666666666666666
74749,camara,0
178985,camara,0
178895,camara,0
178997,camara,0
74571,camara,0
178896,camara,0
74352,camara,0
178986,camara,0
194260,camara,0
66179,camara,0.6666666666666666
74159,camara,0
178987,camara,0
160556,camara,0
74319,camara,0
160642,camara,0
74160,camara,0
171617,camara,0
141516,camara,0
178860,camara,0
160558,camara,0
74574,camara,0
193726,camara,0
141518,camara,0
74400,camara,0
141488,camara,0
178912,camara,0.3333333333333333
122158,camara,0
160604,camara,0
73486,camara,1
160601,camara,0
160639,camara,0.3333333333333333
160641,camara,0
178951,camara,0
74161,camara,0
178925,camara,0
178989,camara,0
73788,camara,0
160655,camara,0.6666666666666666
178920,camara,0
152610,camara,0
160653,camara,1
141531,camara,0.6666666666666666
74693,camara,0
160651,camara,0
178861,camara,0
178945,camara,0
73466,camara,0
74371,camara,0
178990,camara,0
178921,camara,0
178933,camara,0
178874,camara,0
178961,camara,0
74356,camara,0
178946,camara,0.3333333333333333
178947,camara,0
92776,camara,0
177282,camara,0
178922,camara,0
178901,camara,0
160976,camara,0
178934,camara,0
178863,camara,0
195866,camara,0
160610,camara,0
74376,camara,0
141553,camara,0.6666666666666666
74283,camara,0
137070,camara,0
141555,camara,1
160591,camara,0
178992,camara,-1
160569,camara,0
178952,camara,0
160518,camara,1
74043,camara,0
74439,camara,0
178889,camara,0
160632,camara,0
160592,camara,0
204554,camara,0
204521,camara,0
204379,camara,0
204560,camara,-0.3333333333333333
204528,camara,0
121948,camara,0
74646,camara,0
204495,camara,0
204549,camara,0
204413,camara,0
204545,camara,0
204501,camara,0
204571,camara,0.6666666666666666
204544,camara,0
204503,camara,0
204516,camara,0
204353,camara,0
204400,camara,0
204356,camara,0
204423,camara,0
204515,camara,0.6666666666666666
73696,camara,-0.3333333333333333
204414,camara,0
204509,camara,0
109429,camara,-0.3333333333333333
204358,camara,-0.3333333333333333
204374,camara,0
204388,camara,0
204561,camara,0
204397,camara,0
204551,camara,0
204520,camara,0
204352,camara,0
204572,camara,0
204487,camara,0
204507,camara,0
204361,camara,-0.3333333333333333
204460,camara,0
204426,camara,0
204369,camara,0
204499,camara,0
204380,camara,0
204370,camara,0
204488,camara,0
204496,camara,0
204504,camara,0
205476,camara,0
204490,camara,0
204476,camara,0
204462,camara,0
204440,camara,0
204376,camara,0
204378,camara,0
204514,camara,0
135054,camara,0
204355,camara,0
204367,camara,0
204454,camara,0
204409,camara,0
204459,camara,0
116379,camara,0
205548,camara,0
204511,camara,0
204451,camara,0
204512,camara,0
204569,camara,0
204542,camara,0
204518,camara,0
204481,camara,0
204439,camara,0
204450,camara,0
204351,camara,0
204412,camara,0
81297,camara,0
204434,camara,-0.3333333333333333
204562,camara,0
204421,camara,0
204541,camara,0
204552,camara,0.3333333333333333
204500,camara,1
204364,camara,0
204389,camara,0
198783,camara,0
161550,camara,0
207309,camara,0
204537,camara,-0.3333333333333333
204482,camara,0
68720,camara,0
204368,camara,0
204477,camara,0
204398,camara,0
204371,camara,0
204407,camara,0
204427,camara,0
204411,camara,0
204354,camara,0
204447,camara,0
204392,camara,0.3333333333333333
204510,camara,0
204494,camara,1
204393,camara,0
74200,camara,0.3333333333333333
115746,camara,0
204473,camara,0
204484,camara,0
204527,camara,0
204394,camara,0
204575,camara,0
204491,camara,0
204365,camara,0
204419,camara,0
107283,camara,0
198197,camara,0
204513,camara,0
204531,camara,0
204442,camara,0
73460,camara,0
204408,camara,0
204456,camara,0
204465,camara,0
204548,camara,0
204373,camara,0
204444,camara,0
204539,camara,0
204533,camara,0
204564,camara,0
204508,camara,0
204436,camara,-0.3333333333333333
108338,camara,0
204435,camara,-0.6666666666666666
204429,camara,0
141459,camara,0
204576,camara,0
204468,camara,0
204546,camara,0
205550,camara,0
204386,camara,0
204472,camara,0
204391,camara,0.3333333333333333
204555,camara,0
209189,camara,0
204563,camara,0
204474,camara,0
204420,camara,0
204372,camara,0
204457,camara,0
204502,camara,0
204497,camara,0
204574,camara,0
204550,camara,0
204536,camara,0
98057,camara,0
160534,camara,0
204375,camara,0
204359,camara,0
204547,camara,0
92102,camara,0
139285,camara,0
204405,camara,0
204382,camara,0
204523,camara,0
204404,camara,0
204381,camara,0
204410,camara,-0.6666666666666666
204448,camara,0
160645,camara,0
204485,camara,0
204543,camara,0
204455,camara,0
204526,camara,0
204418,camara,0
179587,camara,0
204469,camara,0
204471,camara,0
156190,camara,0
205863,camara,0
204433,camara,1
76874,camara,0
133810,camara,0
204558,camara,0
204556,camara,1
81055,camara,0
204452,camara,0
204522,camara,0
204431,camara,0
204506,camara,0
204430,camara,-0.3333333333333333
204540,camara,0
204428,camara,0
204432,camara,0
204403,camara,0
204566,camara,0
75431,camara,0
141508,camara,0
154178,camara,-0.3333333333333333
204453,camara,0
204449,camara,0
204415,camara,0
146307,camara,0
204479,camara,0
204498,camara,0
204363,camara,0
204422,camara,0
204475,camara,0
204441,camara,0
204573,camara,0
204570,camara,0
204553,camara,0
204377,camara,0.3333333333333333
204538,camara,0
204461,camara,0
204492,camara,0
133968,camara,0
90201,camara,0
122974,camara,0
204395,camara,0
204406,camara,0
73943,camara,0
204524,camara,0
204529,camara,0
204390,camara,0
204383,camara,0
204446,camara,0
204565,camara,0
204467,camara,0
204567,camara,0
141523,camara,0
205865,camara,0
73801,camara,0
204362,camara,0
211649,camara,0
204489,camara,0
74305,camara,0
204530,camara,0
204366,camara,0
204480,camara,0
204525,camara,0
204357,camara,0
73604,camara,0
160635,camara,0
204535,camara,0
204416,camara,0
90842,camara,0
204387,camara,0
204399,camara,0
204438,camara,0
204437,camara,0
204557,camara,0
204360,camara,0
204425,camara,0
204534,camara,0
204464,camara,0
206231,camara,0
204466,camara,0
143084,camara,0
204519,camara,0
197438,camara,0
157130,camara,0
204385,camara,0
204505,camara,1
204396,camara,0
204483,camara,0
204478,camara,0.3333333333333333
204532,camara,0
74044,camara,0
204463,camara,0
204559,camara,0
204517,camara,0
4981,senado,0
5982,senado,0
945,senado,0
5967,senado,0
5529,senado,0
751,senado,0
5990,senado,0
470,senado,0
5973,senado,0
739,senado,0
475,senado,0
5998,senado,0
3830,senado,0
5537,senado,0
4994,senado,0
5976,senado,0
5718,senado,0
5531,senado,0
22,senado,0
5953,senado,0
5540,senado,0
4525,senado,0
345,senado,0
5894,senado,0
5008,senado,0
5385,senado,0
4770,senado,0
35,senado,0
581,senado,0
4545,senado,0
4531,senado,0
5627,senado,0
5895,senado,0
5350,senado,0
3361,senado,0
90,senado,0
5929,senado,0
1249,senado,0
5533,senado,0
5979,senado,0
5926,senado,0
1186,senado,0
5585,senado,0
5557,senado,0
5666,senado,0
5376,senado,0
742,senado,0
285,senado,0
5422,senado,0
5942,senado,0
1023,senado,0
6027,senado,0
5985,senado,0
5525,senado,0
5924,senado,0
5523,senado,0
825,senado,0
374,senado,0
5502,senado,0
5012,senado,0
5236,senado,0
70,senado,0
677,senado,0
5905,senado,0
5732,senado,0
5352,senado,0
5322,senado,0
2331,senado,0
5527,senado,0
6005,senado,0
5988,senado,0
5959,senado,0
4560,senado,0
3396,senado,0
5535,senado,0
5899,senado,0
5748,senado,0
1173,senado,0
5411,senado,0
5783,senado,0
3806,senado,0
