id,casa,nome_eleitoral,sg_partido,uf,genero,idade,tem_propriedade_rural,total_declarado_propriedade_rural,tem_empresa_agricola,proporcao_doacoes_agro,tem_empresa_agroexportadora,proporcao_doacoes_agroexportadoras,indice_vinculo_economico_agro,frente_agropecuaria,frente_mineracao,frente_livre_mercado,combo_agro_mineracao_lm,combo_5_frentes_progressistas,discurso_normalizado,aderencia,proposicoes_meio_ambiente_indice,requerimentos_informacao_agro_mma_indice,indice_ativismo_ambiental,participou_movimento_renovacao,investimento_partidario,numero_de_mandatos,indice_comissoes,indice_liderancas,indice_cargo_mesa,indice_influencia_parlamentar
178882,camara,ANDRÉ FUFUCA,PP,MA,M,30,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,0,0,0,0,0,-0.02898550724637681,0,0.0155030906053734,3,0,0,0.6,0.22310061812107468
160553,camara,ANTONIO BRITO,PSD,BA,M,50,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,0.4,0,0,0,0,0.005797101449275366,0,0.0127580728969784,3,0.4090909090909091,0,0,0.1843697963975775
73433,camara,ARLINDO CHINAGLIA,PT,SP,M,69,0,0,0,0.0791457271733916,0,0.0573519762126026,0.026381909057797203,0,0,0,0,0.6,0,0.75,1,0,0.5956521739130435,0,0.0127280204195462,6,0.045454545454545456,0,0,0.2116365131748183
141391,camara,ARNALDO JARDIM,CIDADANIA,SP,M,64,0,0,1,0.348194369699435,0,0.216819152287376,0.5605092343442561,1,1,0,0.6666666666666666,0.4,0,0.050000000000000044,1,0,0.33768115942028987,1,0.0750298470787608,6,0.022727272727272728,0,0,0.21955142396120672
160541,camara,ARTHUR LIRA,PP,AL,M,50,1,149156,1,0.00597085821602377,0,0,0.6686569527386745,1,0,0,0.3333333333333333,0.6,-0.6666666666666666,0,0.25,0,0.023188405797101443,0,0.00819367885655784,6,0,0.625,0,0.3266387357713116
160600,camara,ARTHUR OLIVEIRA MAIA,DEM,BA,M,55,1,106661.45,1,0.210163652024117,0,0.0551248923341947,0.7367212173413723,1,1,1,1,0.2,0,0.07692307692307698,0.25,0,0.03745819397993312,0,0.0175952475762009,6,0.022727272727272728,0,0,0.2080645040606947
159237,camara,ASSIS CARVALHO,PT,PI,M,58,0,0,1,0.0051561275419708804,0,0,0.4461631536251014,0,1,0,0.3333333333333333,0.8,0,0,0,0.5,0.127536231884058,0,0.00717586462028929,4,0.022727272727272728,0,0.2,0.17931396080284573
74090,camara,ÁTILA LINS,PP,AM,M,68,1,1522677.8,0,0,0,0,0.2222222222222222,1,0,1,0.6666666666666666,0.6,0,0,0,0,-0.005797101449275361,0,0.0139826378734999,6,0.38636363636363635,0,0,0.28006925484742723
74459,camara,ÁTILA LIRA,PSB,PI,M,72,1,74197.27,0,0,0,0,0.2222222222222222,1,1,1,1,1,0,0,0.25,0,0.08695652173913043,0,0.015167333842705,6,0.022727272727272728,0,0,0.20757892131399552
160665,camara,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,M,57,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,1,0,0,0,0,0.05797101449275363,0,0.0346266945605121,6,0.022727272727272728,0.375,0,0.28647079345755694
160512,camara,AUREO RIBEIRO,SOLIDARIEDADE,RJ,M,40,0,0,0,0,0,0,0,1,1,1,1,0.8,0.3333333333333333,0,0,0,0.026086956521739136,0,0.0893352056441627,3,0.022727272727272728,0,0,0.1224124956742871
