id,nome_eleitoral,sg_partido
178865,CABO SABINO - AVANTE/CE,AVANTE
105112,CABUÇU BORGES - MDB/AP,MDB
93083,CACÁ LEÃO - PP/BA,PP
178853,CAETANO - PT/BA,PT
178891,CAIO NARCIO - PSDB/MG,PSDB
194261,CAJAR NARDES - PODE/RS,PODE
178829,CAPITÃO AUGUSTO - PR/SP,PR
178924,CAPITÃO FÁBIO ABREU - PR/PI,PR
205303,CARLA STEPHANINI - MDB/MS,MDB
178958,CARLOS ANDRADE - PHS/RR,PHS
141401,CARLOS BEZERRA - MDB/MT,MDB
74474,CARLOS EDUARDO CADOCA - PDT/PE,PDT
178962,CARLOS GOMES - PRB/RS,PRB
178993,CARLOS HENRIQUE GAGUIM - DEM/TO,DEM
74163,CARLOS MANATO - PSL/ES,PSL
178900,CARLOS MARUN - MDB/MS,MDB
74651,CARLOS MELLES - DEM/MG,DEM
74262,CARLOS SAMPAIO - PSDB/SP,PSDB
73934,CARLOS SOUZA - PSDB/AM,PSDB
141398,CARLOS ZARATTINI - PT/SP,PT
164360,CARMEN ZANOTTO - CIDADANIA/SC,CIDADANIA
178876,CÉLIO SILVEIRA - PSDB/GO,PSDB
73568,CELSO JACOB - MDB/RJ,MDB
141405,CELSO MALDANER - MDB/SC,MDB
72912,CELSO PANSERA - PT/RJ,PT
73441,CELSO RUSSOMANNO - PRB/SP,PRB
160576,CÉSAR HALUM - PRB/TO,PRB
178838,CÉSAR MESSIAS - PSB/AC,PSB
73720,CESAR SOUZA - PSD/SC,PSD
74171,CHICO ALENCAR - PSOL/RJ,PSOL
141439,CHICO D'ANGELO - PDT/RJ,PDT
141440,CHICO LOPES - PCdoB/CE,PCdoB
178928,CHRISTIANE DE SOUZA YARED - PR/PR,PR
178841,CÍCERO ALMEIDA - PHS/AL,PHS
178939,CLARISSA GAROTINHO - PROS/RJ,PROS
74537,CLAUDIO CAJADO - PP/BA,PP
141408,CLEBER VERDE - PRB/MA,PRB
74230,COLBERT MARTINS - MDB/BA,MDB
178848,CONCEIÇÃO SAMPAIO - PSDB/AM,PSDB
205302,CORONEL BITTENCOURT - PRB/MS,PRB
178963,COVATTI FILHO - PP/RS,PP
194258,CREUZA PEREIRA - PSB/PE,PSB
93472,CRISTIANE BRASIL - PTB/RJ,PTB
141411,DAGOBERTO NOGUEIRA - PDT/MS,PDT
74467,DAMIÃO FELICIANO - PDT/PB,PDT
178892,DÂMINA PEREIRA - PODE/MG,PODE
74060,DANIEL ALMEIDA - PCdoB/BA,PCdoB
178916,DANIEL COELHO - CIDADANIA/PE,CIDADANIA
144523,DANIEL VILELA - MDB/GO,MDB
160528,DANILO CABRAL - PSB/PE,PSB
62881,DANILO FORTE - PSDB/CE,PSDB
160552,DANRLEI DE DEUS HINTERHOLZ - PSD/RS,PSD
73891,DARCÍSIO PERONDI - MDB/RS,MDB
141412,DAVI ALVES SILVA JÚNIOR - PR/MA,PR
101309,DAVIDSON MAGALHÃES - PCdoB/BA,PCdoB
141413,DÉCIO LIMA - PT/SC,PT
196357,DEJORGE PATRÍCIO - PRB/RJ,PRB
178908,DELEGADO ÉDER MAURO - PSD/PA,PSD
178893,DELEGADO EDSON MOREIRA - PR/MG,PR
160646,DELEGADO FRANCISCHINI - PSL/PR,PSL
164359,DELEGADO WALDIR - PSL/GO,PSL
74172,DELEY - PTB/RJ,PTB
185500,DEOCLIDES MACEDO - PDT/MA,PDT
160588,DIEGO ANDRADE - PSD/MG,PSD
178929,DIEGO GARCIA - PODE/PR,PODE
73768,DILCEU SPERAFICO - PP/PR,PP
160599,DIMAS FABIANO - PP/MG,PP
143632,DOMINGOS NETO - PSD/CE,PSD
160758,DOMINGOS SÁVIO - PSDB/MG,PSDB
178940,DR. JOÃO - PR/RJ,PR
160643,DR. JORGE SILVA - SOLIDARIEDADE/ES,SOLIDARIEDADE
178830,DR. SINVAL MALHEIROS - PODE/SP,PODE
141385,DUARTE NOGUEIRA - PSDB/SP,PSDB
178994,DULCE MIRANDA - MDB/TO,MDB
73447,EDINHO ARAÚJO - MDB/SP,MDB
73793,EDINHO BEZ - MDB/SC,MDB
141417,EDIO LOPES - PR/RR,PR
160578,EDMAR ARRUDA - PSD/PR,PSD
134812,EDMILSON RODRIGUES - PSOL/PA,PSOL
74655,EDUARDO BARBOSA - PSDB/MG,PSDB
92346,EDUARDO BOLSONARO - PSL/SP,PSL
74173,EDUARDO CUNHA - MDB/RJ,MDB
178977,EDUARDO CURY - PSDB/SP,PSDB
141421,EDUARDO DA FONTE - PP/PE,PP
141422,EFRAIM FILHO - DEM/PB,DEM
74075,ELCIONE BARBALHO - MDB/PA,MDB
160532,ELI CORRÊA FILHO - DEM/SP,DEM
181316,ELIZEU DIONIZIO - PSB/MS,PSB
178883,ELIZIANE GAMA - PPS/MA,PPS
178854,ELMAR NASCIMENTO - DEM/BA,DEM
132504,ENIO VERRI - PT/PR,PT
160575,ERIKA KOKAY - PT/DF,PT
99654,ERIVELTON SANTANA - PATRI/BA,PATRI
171782,ERON BEZERRA - PCdoB/AM,PCdoB
160640,EROS BIONDINI - PROS/MG,PROS
160649,ESPERIDIÃO AMIN - PP/SC,PP
202915,EURICELIA CARDOSO - PP/AP,PP
178871,EVAIR VIEIRA DE MELO - PP/ES,PP
178828,EVANDRO GUSSI - PV/SP,PV
178930,EVANDRO ROMAN - PSD/PR,PSD
178953,EXPEDITO NETTO - PSD/RO,PSD
178904,EZEQUIEL FONSECA - PP/MT,PP
178941,EZEQUIEL TEIXEIRA - PODE/RJ,PODE
146829,FABIANO HORTA - PT/RJ,PT
141428,FÁBIO FARIA - PSD/RN,PSD
178905,FABIO GARCIA - DEM/MT,DEM
178969,FÁBIO MITIDIERI - PSD/SE,PSD
141427,FÁBIO RAMALHO - MDB/MG,MDB
171623,FABIO REIS - MDB/SE,MDB
178877,FÁBIO SOUSA - PSDB/GO,PSDB
160587,FÁBIO TRAD - PSD/MS,PSD
190149,FABRICIO OLIVEIRA - PSB/SC,PSB
74065,FÁTIMA PELAES - MDB/AP,MDB
66828,FAUSTO PINATO - PP/SP,PP
141430,FELIPE BORNIER - PROS/RJ,PROS
72442,FELIPE CARRERAS - PSB/PE,PSB
141429,FELIPE MAIA - DEM/RN,DEM
205234,FELIPE SOUZA - PHS/AM,PHS
160666,FÉLIX MENDONÇA JÚNIOR - PDT/BA,PDT
141431,FERNANDO COELHO FILHO - DEM/PE,DEM
163831,FERNANDO JORDÃO - MDB/RJ,MDB
73481,FERNANDO MARRONI - PT/RS,PT
92699,FERNANDO MONTEIRO - PP/PE,PP
160676,FERNANDO TORRES - PSD/BA,PSD
160598,FLÁVIA MORAIS - PDT/GO,PDT
141434,FLAVIANO MELO - MDB/AC,MDB
178978,FLAVINHO - PSC/SP,PSC
191923,FLAVIO NOGUEIRA - PDT/PI,PDT
178979,FLORIANO PESARO - PSDB/SP,PSDB
178907,FRANCISCO CHAPADINHA - PODE/PA,PODE
160677,FRANCISCO FLORIANO - DEM/RJ,DEM
186775,FRANKLIN - PP/MG,PP
74189,FREIRE JÚNIOR - MDB/TO,MDB
204651,FREITAS DO PT - PT/TO,PT
129037,GABRIEL GUIMARÃES - PT/MG,PT
160669,GENECIAS NORONHA - SOLIDARIEDADE/CE,SOLIDARIEDADE
141441,GEORGE HILTON - PSC/MG,PSC
178966,GEOVANIA DE SÁ - PSDB/SC,PSDB
74374,GERALDO RESENDE - PSDB/MS,PSDB
74383,GIACOBO - PR/PR,PR
74270,GILBERTO NASCIMENTO - PSC/SP,PSC
160673,GIOVANI CHERINI - PR/RS,PR
178996,GIOVANI FELTES - MDB/RS,MDB
74077,GIOVANNI QUEIROZ - PDT/PA,PDT
178878,GIUSEPPE VECCI - PSDB/GO,PSDB
74558,GIVALDO CARIMBÃO - AVANTE/AL,AVANTE
178872,GIVALDO VIEIRA - PCdoB/ES,PCdoB
152605,GLAUBER BRAGA - PSOL/RJ,PSOL
74419,GONZAGA PATRIOTA - PSB/PE,PSB
129618,GORETE PEREIRA - PR/CE,PR
178980,GOULART - PSD/SP,PSD
194259,GUILHERME COELHO - PSDB/PE,PSDB
160667,GUILHERME MUSSI - PP/SP,PP
205298,GUSTAVO MITRE - PHS/MG,PHS
178964,HEITOR SCHUCH - PSB/RS,PSB
178873,HELDER SALOMÃO - PT/ES,PT
178909,HÉLIO LEITE - DEM/PA,DEM
73482,HENRIQUE FONTANA - PT/RS,PT
97707,HERÁCLITO FORTES - DEM/PI,DEM
178981,HERCULANO PASSOS - MDB/SP,MDB
73772,HERMES PARCIANELLO - MDB/PR,MDB
160596,HEULER CRUVINEL - PP/GO,PP
178884,HILDO ROCHA - MDB/MA,MDB
178959,HIRAN GONÇALVES - PP/RR,PP
178849,HISSA ABRAHÃO - PDT/AM,PDT
141450,HUGO LEAL - PSD/RJ,PSD
160674,HUGO MOTTA - PRB/PB,PRB
74662,HUMBERTO SOUTO - PPS/MG,PPS
194592,ILDON MARQUES - PSB/MA,PSB
141389,INDIO DA COSTA - PSD/RJ,PSD
67138,IRACEMA PORTELLA - PP/PI,PP
81232,IRAJÁ ABREU - PSD/TO,PSD
178855,IRMÃO LAZARO - PSC/BA,PSC
73531,IVAN VALENTE - PSOL/SP,PSOL
4931,IZALCI LUCAS - PSDB/DF,PSDB
196378,IZAQUE SILVA - PSDB/SP,PSDB
74665,JAIME MARTINS - PROS/MG,PROS
74847,JAIR BOLSONARO - PSL/RJ,PSL
74848,JANDIRA FEGHALI - PCdoB/RJ,PCdoB
73926,JANETE CAPIBERIBE - PSB/AP,PSB
131943,JARBAS VASCONCELOS - MDB/PE,MDB
160672,JEAN WYLLYS - PSOL/RJ,PSOL
74273,JEFFERSON CAMPOS - PSB/SP,PSB
160570,JERÔNIMO GOERGEN - PP/RS,PP
178839,JÉSSICA SALES - MDB/AC,MDB
178842,JHC - PSB/AL,PSB
160531,JHONATAN DE JESUS - PRB/RR,PRB
141503,JÔ MORAES - PCdoB/MG,PCdoB
160573,JOÃO ARRUDA - MDB/PR,MDB
74366,JOÃO CAMPOS - PRB/GO,PRB
141458,JOÃO CARLOS BACELAR - PR/BA,PR
74445,JOÃO CASTELO - PSDB/MA,PSDB
178970,JOÃO DANIEL - PT/SE,PT
178965,JOÃO DERLY - REDE/RS,REDE
178917,JOÃO FERNANDO COUTINHO - PROS/PE,PROS
178856,JOÃO GUALBERTO - PSDB/BA,PSDB
112437,JOÃO MARCELO SOUZA - MDB/MA,MDB
178967,JOÃO PAULO KLEINÜBING - DEM/SC,DEM
178988,JOÃO PAULO PAPA - PSDB/SP,PSDB
160571,JOÃO RODRIGUES - PSD/SC,PSD
178910,JOAQUIM PASSARINHO - PSD/PA,PSD
194262,JONES MARTINS - MDB/RS,MDB
178971,JONY MARCOS - PRB/SE,PRB
74388,JORGE BOEIRA - PP/SC,PP
160572,JORGE CÔRTE REAL - PTB/PE,PTB
178857,JORGE SOLLA - PT/BA,PT
73535,JORGE TADEU MUDALEN - DEM/SP,DEM
160509,JORGINHO MELLO - PR/SC,PR
141464,JOSÉ AIRTON FÉLIX CIRILO - PT/CE,PT
74553,JOSÉ CARLOS ALELUIA - DEM/BA,DEM
74140,JOSÉ CARLOS ARAÚJO - PR/BA,PR
131966,JOSÉ FOGAÇA - MDB/RS,MDB
141470,JOSÉ GUIMARÃES - PT/CE,PT
74275,JOSÉ MENTOR - PT/SP,PT
160619,JOSÉ NUNES - PSD/BA,PSD
74395,JOSÉ OTÁVIO GERMANO - PP/RS,PP
74079,JOSÉ PRIANTE - MDB/PA,MDB
73714,JOSÉ REINALDO - PSDB/MA,PSDB
74554,JOSÉ ROCHA - PR/BA,PR
160607,JOSE STÉDILE - PSB/RS,PSB
114941,JOSI NUNES - PROS/TO,PROS
74141,JOSIAS GOMES - PT/BA,PT
74351,JOSUÉ BENGTSON - PTB/PA,PTB
73666,JOVAIR ARANTES - PTB/GO,PTB
178851,JOZI ARAÚJO - PODE/AP,PODE
67312,JÚLIA MARINHO - PSC/PA,PSC
141474,JULIÃO AMIN - PDT/MA,PDT
74317,JÚLIO CESAR - PSD/PI,PSD
73586,JÚLIO DELGADO - PSB/MG,PSB
74253,JULIO LOPES - PP/RJ,PP
160648,JÚNIOR COIMBRA - MDB/TO,MDB
201357,JUNIOR CORINGA - PSD/MS,PSD
178885,JUNIOR MARRECA - PATRI/MA,PATRI
160544,JUNJI ABE - MDB/SP,MDB
178886,JUSCELINO FILHO - DEM/MA,DEM
74570,JUTAHY JUNIOR - PSDB/BA,PSDB
178918,KAIO MANIÇOBA - SOLIDARIEDADE/PE,SOLIDARIEDADE
160659,KEIKO OTA - PSB/SP,PSB
151208,LAERCIO OLIVEIRA - PP/SE,PP
141478,LAERTE BESSA - PR/DF,PR
178894,LAUDIVIO CARVALHO - PODE/MG,PODE
74856,LAURA CARNEIRO - DEM/RJ,DEM
141480,LÁZARO BOTELHO - PP/TO,PP
178832,LEANDRE - PV/PR,PV
141562,LELO COIMBRA - MDB/ES,MDB
178825,LEO DE BRITO - PT/AC,PT
74156,LEONARDO MONTEIRO - PT/MG,PT
74254,LEONARDO PICCIANI - MDB/RJ,MDB
141482,LEONARDO QUINTÃO - MDB/MG,MDB
74299,LEÔNIDAS CRISTINO - PDT/CE,PDT
160663,LEOPOLDO MEYER - PSB/PR,PSB
74585,LINCOLN PORTELA - PR/MG,PR
141483,LINDOMAR GARÇON - PRB/RO,PRB
74277,LOBBE NETO - PSDB/SP,PSDB
196358,LOURIVAL GOMES - PSL/RJ,PSL
81366,LUANA COSTA - PSC/MA,PSC
178879,LUCAS VERGILIO - SOLIDARIEDADE/GO,SOLIDARIEDADE
160628,LUCIANA SANTOS - PCdoB/PE,PCdoB
74478,LUCIANO BIVAR - PSL/PE,PSL
178931,LUCIANO DUCCI - PSB/PR,PSB
178954,LUCIO MOSQUINI - MDB/RO,MDB
141484,LÚCIO VALE - PR/PA,PR
94931,LUCIO VIEIRA LIMA - MDB/BA,MDB
73483,LUIS CARLOS HEINZE - PP/RS,PP
160510,LUIS TIBÉ - AVANTE/MG,AVANTE
160547,LUIZ ARGÔLO - SOLIDARIEDADE/BA,SOLIDARIEDADE
141485,LUIZ CARLOS BUSATO - PTB/RS,PTB
73778,LUIZ CARLOS HAULY - PSDB/PR,PSDB
178802,LUIZ CARLOS RAMOS - PR/RJ,PR
178955,LUIZ CLÁUDIO - PR/RO,PR
74041,LUIZ COUTO - PT/PB,PT
141487,LUIZ FERNANDO FARIA - PP/MG,PP
178982,LUIZ LAURO FILHO - PSB/SP,PSB
162332,LUIZ NISHIMORI - PR/PR,PR
74688,LUIZ SÉRGIO - PT/RJ,PT
74784,LUIZA ERUNDINA - PSOL/SP,PSOL
178866,LUIZIANNE LINS - PT/CE,PT
198198,LUZIA FERREIRA - PPS/MG,PPS
178867,MACEDO - PP/CE,PP
166402,MAGDA MOFATTO - PR/GO,PR
151965,MAIA FILHO - PP/PI,PP
178826,MAJOR OLIMPIO - PSL/SP,PSL
160633,MANDETTA - DEM/MS,DEM
141490,MANOEL JUNIOR - MDB/PB,MDB
160565,MARA GABRILLI - PSDB/SP,PSDB
74124,MARÇAL FILHO - MDB/MS,MDB
160660,MARCELO AGUIAR - DEM/SP,DEM
179000,MARCELO ÁLVARO ANTÔNIO - PSL/MG,PSL
146788,MARCELO ARO - PP/MG,PP
178932,MARCELO BELINATI - PP/PR,PP
74460,MARCELO CASTRO - MDB/PI,MDB
195826,MARCELO DELAROLI - PR/RJ,PR
76287,MARCELO MATOS - PSD/RJ,PSD
74278,MARCELO ORTIZ - PODE/SP,PODE
118594,MARCELO SQUASSONI - PRB/SP,PRB
178983,MARCIO ALVINO - PR/SP,PR
179001,MÁRCIO BIOLCHI - MDB/RS,MDB
150418,MÁRCIO MARINHO - PRB/BA,PRB
178899,MARCIO MONTEIRO - S.PART./MS,S.PART.
178942,MARCO ANTÔNIO CABRAL - MDB/RJ,MDB
133373,MARCO MAIA - PT/RS,PT
160536,MARCO TEBALDI - PSDB/SC,PSDB
160535,MARCON - PT/RS,PT
74470,MARCONDES GADELHA - PSC/PB,PSC
178880,MARCOS ABRÃO - PPS/GO,PPS
74634,MARCOS MEDRADO - PODE/BA,PODE
141500,MARCOS MONTES - PSD/MG,PSD
178852,MARCOS REATEGUI - PSD/AP,PSD
167722,MARCOS ROGÉRIO - DEM/RO,DEM
178850,MARCOS ROTTA - MDB/AM,MDB
178943,MARCOS SOARES - DEM/RJ,DEM
159238,MARCUS PESTANA - PSDB/MG,PSDB
74235,MARCUS VICENTE - PP/ES,PP
205297,MARFIZA GALVÃO - PSD/AC,PSD
171619,MARGARIDA SALOMÃO - PT/MG,PT
74398,MARIA DO ROSÁRIO - PT/RS,PT
64960,MARIA HELENA - MDB/RR,MDB
178956,MARIANA CARVALHO - PSDB/RO,PSDB
178919,MARINALDO ROSENDO - PP/PE,PP
74177,MARINHA RAUPP - MDB/RO,MDB
74158,MÁRIO HERINGER - PDT/MG,PDT
178858,MÁRIO NEGROMONTE JR. - PP/BA,PP
181315,MARQUINHO MENDES - MDB/RJ,MDB
178843,MARX BELTRÃO - PSD/AL,PSD
74050,MAURÍCIO QUINTELLA LESSA - PR/AL,PR
73588,MAURO BENEVIDES - MDB/CE,MDB
74749,MAURO LOPES - MDB/MG,MDB
141507,MAURO MARIANI - MDB/SC,MDB
124411,MAURO PEREIRA - MDB/RS,MDB
178827,MAX FILHO - PSDB/ES,PSDB
74428,MENDONÇA FILHO - DEM/PE,DEM
74056,MENDONÇA PRADO - DEM/SE,DEM
188097,MERLONG SOLANO - PT/PI,PT
141509,MIGUEL CORRÊA - PT/MG,PT
178984,MIGUEL HADDAD - PSDB/SP,PSDB
178985,MIGUEL LOMBARDI - PR/SP,PR
74787,MILTON MONTI - PR/SP,PR
74862,MIRO TEIXEIRA - REDE/RJ,REDE
178895,MISAEL VARELLA - PSD/MG,PSD
160561,MISSIONÁRIO JOSÉ OLIMPIO - DEM/SP,DEM
178859,MOEMA GRAMACHO - PT/BA,PT
195278,MOISÉS DINIZ - PCdoB/AC,PCdoB
74457,MORONI TORGAN - DEM/CE,DEM
178997,MOSES RODRIGUES - MDB/CE,MDB
160567,NELSON MARCHEZAN JUNIOR - PSDB/RS,PSDB
73553,NELSON MARQUEZELLI - PTB/SP,PTB
73781,NELSON MEURER - PP/PR,PP
193069,NELSON NAHIM - PSD/RJ,PSD
160566,NELSON PADOVANI - PSDB/PR,PSDB
74571,NELSON PELLEGRINO - PT/BA,PT
178896,NEWTON CARDOSO JR - MDB/MG,MDB
74751,NILMÁRIO MIRANDA - PT/MG,PT
166401,NILSON LEITÃO - PSDB/MT,PSDB
74352,NILSON PINTO - PSDB/PA,PSDB
178986,NILTO TATTO - PT/SP,PT
74359,NILTON CAPIXABA - PTB/RO,PTB
194260,NIVALDO ALBUQUERQUE - PTB/AL,PTB
66179,NORMA AYUB - DEM/ES,DEM
74159,ODAIR CUNHA - PT/MG,PT
74752,ODELMO LEÃO - PP/MG,PP
178868,ODORICO MONTEIRO - PSB/CE,PSB
74399,ONYX LORENZONI - DEM/RS,DEM
178987,ORLANDO SILVA - PCdoB/SP,PCdoB
180545,OSMAR BERTOLDI - DEM/PR,DEM
73463,OSMAR SERRAGLIO - PP/PR,PP
73692,OSMAR TERRA - MDB/RS,MDB
202063,OSVALDO MAFRA - SOLIDARIEDADE/SC,SOLIDARIEDADE
141515,OTAVIO LEITE - PSDB/RJ,PSDB
160556,PADRE JOÃO - PT/MG,PT
74319,PAES LANDIM - PTB/PI,PTB
160642,PASTOR EURICO - PATRI/PE,PATRI
193982,PASTOR LUCIANO BRAGA - PRB/BA,PRB
74160,PATRUS ANANIAS - PT/MG,PT
74095,PAUDERNEY AVELINO - DEM/AM,DEM
171617,PAULÃO - PT/AL,PT
141516,PAULO ABI-ACKEL - PSDB/MG,PSDB
178860,PAULO AZI - DEM/BA,DEM
74017,PAULO FEIJÓ - PR/RJ,PR
160517,PAULO FOLETTO - PSB/ES,PSB
160558,PAULO FREIRE COSTA - PR/SP,PR
141517,PAULO HENRIQUE LUSTOSA - PP/CE,PP
74574,PAULO MAGALHÃES - PSD/BA,PSD
132056,PAULO MALUF - PP/SP,PP
193726,PAULO EDUARDO MARTINS - PSC/PR,PSC
141518,PAULO PEREIRA DA SILVA - SOLIDARIEDADE/SP,SOLIDARIEDADE
74400,PAULO PIMENTA - PT/RS,PT
141488,PAULO TEIXEIRA - PT/SP,PT
74812,PEDRO CHAVES - MDB/GO,MDB
178912,PEDRO CUNHA LIMA - PSDB/PB,PSDB
74449,PEDRO FERNANDES - PTB/MA,PTB
122158,PEDRO PAULO - DEM/RJ,DEM
160604,PEDRO UCZAI - PT/SC,PT
178844,PEDRO VILELA - PSDB/AL,PSDB
80920,PENNA - PV/SP,PV
141445,PEPE VARGAS - PT/RS,PT
162174,POLICARPO - PT/DF,PT
195997,POLLYANA GAMA - PPS/SP,PPS
73486,POMPEO DE MATTOS - PDT/RS,PDT
160601,PR. MARCO FELICIANO - PODE/SP,PODE
200153,PROF. GEDEÃO AMORIM - MDB/AM,MDB
204011,PROFESSOR PACCO - PODE/DF,PODE
170673,PROFESSOR SÉRGIO DE OLIVEIRA - PSD/PR,PSD
148134,PROFESSOR VICTÓRIO GALLI - PSL/MT,PSL
160639,PROFESSORA DORINHA SEABRA REZENDE - DEM/TO,DEM
160641,PROFESSORA MARCIVANIA - PCdoB/AP,PCdoB
178951,RAFAEL MOTTA - PSB/RN,PSB
74216,RAIMUNDO GOMES DE MATOS - PSDB/CE,PSDB
178998,RAQUEL MUNIZ - PSD/MG,PSD
74048,RAUL JUNGMANN - PPS/PE,PPS
74161,REGINALDO LOPES - PT/MG,PT
73786,REINHOLD STEPHANES - PSD/PR,PSD
178925,REJANE DIAS - PT/PI,PT
178960,REMÍDIO MONAI - PR/RR,PR
178989,RENATA ABREU - PODE/SP,PODE
171620,RENATO ANDRADE - PP/MG,PP
141527,RENATO MOLLING - PP/RS,PP
160654,RENZO BRAZ - PP/MG,PP
73788,RICARDO BARROS - PP/PR,PP
195581,RICARDO BENTINHO - PRB/SP,PRB
160655,RICARDO IZAR - PP/SP,PP
178920,RICARDO TEOBALDO - PODE/PE,PODE
141472,RICARDO TRIPOLI - PSDB/SP,PSDB
152610,ROBERTO ALVES - PRB/SP,PRB
73674,ROBERTO BALESTRA - PP/GO,PP
141529,ROBERTO BRITTO - PP/BA,PP
160653,ROBERTO DE LUCENA - PODE/SP,PODE
73805,ROBERTO FREIRE - PPS/SP,PPS
178995,ROBERTO GÓES - PDT/AP,PDT
178944,ROBERTO SALES - DEM/RJ,DEM
160652,ROBERTO TEIXEIRA - PP/PE,PP
91208,ROBINSON ALMEIDA - PT/BA,PT
178840,ROCHA - PSDB/AC,PSDB
141532,ROCHA LOURES - MDB/PR,MDB
141531,RODRIGO DE CASTRO - PSDB/MG,PSDB
88950,RODRIGO GARCIA - DEM/SP,DEM
74693,RODRIGO MAIA - DEM/RJ,DEM
178926,RODRIGO MARTINS - PSB/PI,PSB
