id_req,id,peso_arestas
15841,73466,1
15842,73466,1
15853,74841,1
15858,73579,1
15879,74356,1
15935,73558,1
15964,74656,1
15979,74688,1
16001,74847,1
16008,73466,1
16012,73885,1
16022,74790,1
16024,74087,1
16027,73555,1
16034,73466,1
16072,74681,1
16102,73910,1
16113,74016,1
16154,74771,1
16164,74065,1
16183,73466,1
16184,74186,1
16212,73466,1
16217,74101,1
16239,74702,1
16257,73758,1
16277,73466,1
16303,74684,1
16305,73466,1
16349,74585,1
16354,74186,1
16361,73893,1
16380,73466,1
16382,73466,1
16383,73466,1
16393,73466,1
16396,73889,1
16414,73466,1
16415,73466,1
16431,74189,1
16467,73466,1
16476,74237,1
16534,74326,1
16549,73643,1
16550,73643,1
16600,74790,1
16609,73466,1
16622,73486,1
16636,73466,1
16638,73466,1
16692,74785,1
16706,74835,1
16737,73466,1
16759,74810,1
16836,74800,1
16847,74787,1
16853,73492,1
16860,74810,1
16867,74779,1
16886,73466,1
16918,74016,1
16998,73486,1
17037,74660,1
17077,73434,1
17078,73434,1
17125,74690,1
17128,73466,1
17166,73904,1
17189,73492,1
17200,73466,1
17202,73466,1
17204,74085,1
17205,74667,1
17252,74216,1
17254,73466,1
17260,73579,1
17264,73645,1
17265,73645,1
17297,74679,1
17299,74454,1
17324,74339,1
17340,73466,1
17346,73466,1
17367,74810,1
17424,73893,1
17425,74136,1
17474,73534,1
17476,74694,1
17480,74305,1
17493,74582,1
17495,73896,1
17496,74419,1
17526,73574,1
17534,74585,1
17536,74585,1
17551,73989,1
17561,73788,1
17563,73788,1
17593,74665,1
17641,74419,1
17646,74593,1
17653,74655,1
17686,74101,1
17691,73466,1
17747,73434,1
17757,74810,1
17812,73769,1
17817,74847,1
17846,73466,1
17889,74319,1
17928,73910,1
17938,73580,1
17962,74305,1
18007,74333,1
18029,74095,1
18034,73486,1
18052,74851,1
18224,73579,1
18265,74776,1
18297,74676,1
18299,73466,1
18301,73466,1
18328,73486,1
18335,73909,1
18358,74582,1
18369,73666,1
18390,73893,1
18395,73893,1
18402,73645,1
18422,74186,1
18428,73666,1
18498,73486,1
18499,73486,1
18525,74847,1
18530,74580,1
18534,73459,1
18551,73888,1
18567,74016,1
18579,73579,1
18589,73588,1
18602,74419,1
18662,74848,1
18667,73466,1
18671,73579,1
18677,73801,1
18684,73492,1
18711,74436,1
18724,73586,1
18725,74298,1
18755,73555,1
18758,73910,1
18770,74190,1
18809,73466,1
18816,74702,1
18831,74847,1
18833,74794,1
18857,73448,1
18874,73587,1
18905,73428,1
18907,73540,1
18909,73540,1
18956,74673,1
18963,73909,1
18983,74655,1
19018,74851,1
19038,74702,1
19082,74592,1
19101,73486,1
19146,73910,1
19147,74779,1
19167,74841,1
19175,74810,1
19204,73990,1
19223,74417,1
19249,74828,1
19287,74676,1
19315,73457,1
19330,73588,1
19332,73588,1
19359,74753,1
19360,74703,1
19379,73654,1
19413,73554,1
19450,74807,1
19459,73466,1
19463,73486,1
19464,74752,1
19480,74298,1
19482,74333,1
19490,74124,1
19498,74421,1
19499,73591,1
19514,74571,1
19520,74676,1
19527,74785,1
19529,74753,1
19530,74359,1
19554,74703,1
19556,74177,1
19559,73595,1
19590,74771,1
19598,74592,1
19607,73595,1
19621,73534,1
19635,74795,1
19638,73772,1
19642,74785,1
19654,73655,1
19665,73480,1
19667,73480,1
19669,73480,1
19673,74010,1
19675,74454,1
19696,74810,1
19726,73910,1
19736,74585,1
19740,74585,1
19762,74765,1
19771,73466,1
19779,74705,1
19822,73466,1
19852,74216,1
19857,73587,1
19862,74216,1
19865,74790,1
19874,74804,1
19887,74702,1
19906,74754,1
19912,73464,1
19916,74592,1
19917,74215,1
19987,73885,1
20012,73557,1
20027,74416,1
20050,74671,1
20062,73443,1
20069,74769,1
20084,74421,1
20170,74321,1
20171,74321,1
20198,73486,1
20218,73451,1
20227,74851,1
20255,74674,1
20289,73433,1
20296,73893,1
20364,73885,1
20365,74771,1
20367,74676,1
20391,74585,1
20411,73486,1
20438,73579,1
20441,73567,1
20460,73433,1
20508,73557,1
20527,73434,1
20529,73885,1
20530,73559,1
20539,73435,1
20575,73893,1
20576,74784,1
20590,74091,1
20645,73660,1
20669,73910,1
20685,73885,1
20694,73772,1
20699,73443,1
20709,73882,1
20718,73434,1
20756,74243,1
20757,74656,1
20772,74245,1
20807,73910,1
20824,74218,1
20830,74538,1
20832,73780,1
20837,73772,1
20838,73772,1
20863,74215,1
20888,74771,1
20918,73434,1
20935,74295,1
20954,74520,1
20993,74210,1
21005,73910,1
21071,74845,1
21081,73567,1
21101,73443,1
21129,74771,1
21195,73889,1
21225,73910,1
21271,74545,1
21311,74777,1
21326,74667,1
21332,74449,1
21356,73910,1
21402,73910,1
21413,73990,1
21422,73482,0.5
21422,73486,0.5
21423,74450,1
21434,74772,1
21444,74449,1
21451,73466,1
21471,73463,1
21482,73780,1
21490,74829,1
21535,74674,1
21543,73982,1
21558,73460,1
21563,72553,1
21584,74080,1
21600,73897,1
21629,74784,1
21630,74672,1
21632,74582,1
21634,73982,1
21636,73654,1
21638,74640,1
21640,73884,1
21645,74100,1
21648,74861,1
21649,74559,1
21650,74771,1
21654,74771,1
21657,74771,1
21659,74534,1
21660,74771,1
21663,73482,1
21665,74754,1
21668,74451,1
21669,74076,1
21674,74800,1
21679,73479,1
21681,74186,1
21684,73889,1
21685,74427,1
21687,74189,1
21695,74295,1
21697,74469,1
21701,73466,1
21714,74765,1
21716,74785,1
21723,73874,1
21729,74771,1
21737,73902,1
21740,74530,1
21764,74216,1
21765,73455,1
21767,74186,1
21768,73462,1
21783,74862,1
21792,73910,1
21795,74010,1
21801,73910,1
21807,74771,1
21811,73981,1
21813,73558,1
21820,74540,1
21985,74784,1
25067,73433,1
25078,73466,1
25094,73466,1
25096,73466,1
25556,73466,1
25557,73466,1
25564,73466,1
25960,74571,1
25983,73471,1
26144,73466,1
26146,73466,1
26153,74585,1
26160,73482,1
26173,73482,1
26180,73466,1
26197,73466,1
26211,73910,1
26256,74085,1
26264,74558,1
26346,74848,1
26430,74592,1
26461,74810,1
26466,74810,1
26480,74351,1
26481,74351,1
26489,74856,1
26509,73579,1
26588,74779,1
26592,73603,1
26613,74419,1
26624,74810,1
26636,73684,1
26643,73794,1
26718,74684,1
26727,74810,1
26730,73466,1
26731,73532,1
26739,73893,1
26756,74585,1
26766,74329,1
26843,74699,1
26845,74810,1
26859,74417,1
26905,73466,1
26912,74771,1
26913,74771,1
26927,74787,1
26932,74848,1
26944,73579,1
26990,74592,1
26998,74592,1
27026,74794,1
27029,74419,1
27043,73531,1
27049,73884,1
27050,74000,1
27092,74702,1
27094,74810,1
27098,74802,1
27109,73480,1
27118,73540,1
27333,74680,1
27360,74365,0.5
27360,74782,0.5
27369,73454,0.5
27369,73545,0.5
27373,74585,1
27376,74795,1
27392,74787,1
27420,73764,1
27504,73460,1
27528,74014,1
27530,74810,1
27536,74120,0.5
27536,74565,0.5
27540,73482,1
27587,73463,1
27593,74851,1
