CNPJ,EMPRESA,ENDEREÇO,NÚMERO,BAIRRO,CEP,MUNICÍPIO,UF,CNAE PRIMÁRIA,NATUREZA JURÍDICA
01871990000104,LUMBERBRAS LTDA - EPP,QUADRA 6 LOTE 1,S/N,DISTRITO INDUSTRIAL,67033310,ANANINDEUA,PA,"1622 - Fabricação de estruturas de madeira e de artigos de carpintaria para 
construção",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
65865057000107,LUMEN QUIMICA LTDA,RODOVIA SP/62,196,DIST IND II,12580000,ROSEIRA,SP,2099 - Fabricação de produtos químicos não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
75023143000118,LUMIBOX - INDUSTRIA E COMERCIO LTDA - ME,RUA UIRAPURU,440,PQ. DAS INDUSTRIAS L,86030470,LONDRINA,PR,2229 - Fabricação de artefatos de material plástico não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
87847711000184,LUMIBRAS INDUSTRIA METALURGICA LTDA,RODOVIA RSC 470 - KM 223,S/N,INTEGRACAO,95720000,GARIBALDI,RS,2740 - Fabricação de lâmpadas e outros equipamentos de iluminação,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
87547212000171,LUMIFLUOR S/A-INDUSTRIA E COMERCIO,RUA CARLOS DREHER NETO,378,VILA NOVA,95700000,BENTO GONCALVES,RS,2740 - Fabricação de lâmpadas e outros equipamentos de iluminação,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
10918175000136,LUMILEDS ILUMINACAO BRASIL LTDA,RUA RIACHAO,807,PRAZERES,54335025,JABOATAO DOS GUARARAPES,PE,4673 - Comércio atacadista de material elétrico,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
10918175000217,LUMILEDS ILUMINACAO BRASIL LTDA,AVENIDA COMENDADOR WOLTHERS,500,CAPUAVA,09380200,MAUA,SP,4673 - Comércio atacadista de material elétrico,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
61360053000108,LUMINAR TINTAS E VERNIZES LTDA,RUA IRINEU JOSE BORDON,408,VILA JAGUARA,05120060,SAO PAULO,SP,2072 - Fabricação de tintas de impressão,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
00142903000107,LUMINEX DO BRASIL INDUSTRIA ELETRICA LTDA,RUA BISPO LACERDA,126,DEL CASTILHO,21051120,RIO DE JANEIRO,RJ,2732 - Fabricação de material elétrico para instalações em circuito de consumo,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
67102145000174,LUMO ADMINISTRACAO DE BENS LTDA  - ME,RUA CERRO CORA,585,VILA ROMANA,05061150,SAO PAULO,SP,6810 - Atividades imobiliárias de imóveis próprios,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
