id,casa,nome,data_apresentacao,ementa,autor,indexacao,tema,uri_tramitacao
2243044,camara,RIC 345/2020,03/04/2020,"Requer o envio de informações a respeito dos critérios utilizados para distribuição de bolsas de pesquisa do CNPq e da FINEP, nos termos da Portaria nº 1.122, de 19 de março de 2020 e da Portaria nº 1.329, de 27 de março de 2020.","Tabata Amaral - PDT/SP, Felipe Rigoni - PSB/ES",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243044
2243046,camara,PL 1537/2020,03/04/2020,"Dispõe sobre a proibição da suspensão de serviços de conexão à Internet no Serviço Móvel Pessoal (SMP) e Serviço de Conexão Multimídia (SCM) ou cobrança de excedente caso seja ultrapassado limites da franquia, durante a vigência de Estado de Calamidade Pública Nacional.",Margarida Salomão - PT/MG,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243046
2243047,camara,INC 340/2020,03/04/2020,"Sugere ao Ministro DlAS TOFFOLl, presidente do Conselho Nacional de Justiça
(CNJ) a suspensão de parte da Reeomendação de nº 62 dos artigos 2°, 3°,
4°, 5° e 8°.",Dr. Jaziel - PL/CE,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243047
2243048,camara,AA 1/0,06/04/2020,," Rodrigo Maia - DEM/RJ, Rodrigo Maia - DEM/RJ",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243048
2243049,camara,AA 1/0,06/04/2020,," Rodrigo Maia - DEM/RJ, Rodrigo Maia - DEM/RJ",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243049
2243050,camara,RDF 1/0,03/04/2020,Redacao Final," Hugo Motta - REPUBLIC/PB, Hugo Motta - REPUBLIC/PB",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243050
2243051,camara,PLN 52/2020,06/04/2020,"Abre ao Orçamento Fiscal da União, em favor do Ministério da Justiça e Segurança Pública, crédito suplementar no valor de R$ 806.765.236,00, para reforço de dotações constantes da Lei Orçamentária vigente."," Presidência da República, Presidência da República",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243051
2243052,camara,PLN 7/2020,06/04/2020,"Abre ao Orçamento Fiscal da União, em favor do Ministério da Justiça e Segurança Pública, crédito suplementar no valor de R$ 806.765.236,00, para reforço de dotações constantes da Lei Orçamentária vigente."," Presidente da República, Presidente da República",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243052
2243053,camara,REQ 583/2020,04/04/2020,"Requerimento de Apensação para Tramitação Conjunta - Matéria correlata - identidade de objetos, art. 142, caput, RICD.",Júnior Mano - PL/CE,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243053
2243054,camara,REQ 584/2020,06/04/2020,Requer a retirada do PL 1178/2020.,Mário Heringer - PDT/MG,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243054
2243055,camara,REQ 585/2020,06/04/2020,Requer a retirada do PL 819/2020.,Mário Heringer - PDT/MG,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243055
