id,nome_eleitoral,sg_partido,uf,faltou,partido_liberou,nao_seguiu,seguiu,total_votacoes,aderencia
74554,JOSÉ ROCHA,PL,BA,4,1,0,6,6,100
74317,JÚLIO CESAR,PSD,PI,1,2,0,8,8,100
73586,JÚLIO DELGADO,PSB,MG,3,1,4,3,7,42.857142857142854
178886,JUSCELINO FILHO,DEM,MA,2,1,2,6,8,75
151208,LAERCIO OLIVEIRA,PP,SE,5,1,2,3,5,60
178832,LEANDRE,PV,PR,4,0,0,7,7,100
74156,LEONARDO MONTEIRO,PT,MG,0,2,8,1,9,11.11111111111111
74299,LEÔNIDAS CRISTINO,PDT,CE,2,1,2,6,8,75
74585,LINCOLN PORTELA,PL,MG,1,2,2,6,8,75
196358,LOURIVAL GOMES,PSL,RJ,0,2,1,8,9,88.88888888888889
178879,LUCAS VERGILIO,SOLIDARIEDADE,GO,5,1,0,5,5,100
74478,LUCIANO BIVAR,PSL,PE,10,0,0,1,1,NA
178931,LUCIANO DUCCI,PSB,PR,2,1,1,7,8,87.5
178954,LUCIO MOSQUINI,MDB,RO,1,1,2,7,9,77.77777777777779
160510,LUIS TIBÉ,AVANTE,MG,6,1,1,3,4,75
162332,LUIZ NISHIMORI,PL,PR,6,0,1,4,5,80
74784,LUIZA ERUNDINA,PSOL,SP,3,1,5,2,7,28.57142857142857
178866,LUIZIANNE LINS,PT,CE,8,0,2,1,3,33.33333333333333
166402,MAGDA MOFATTO,PL,GO,1,1,1,8,9,88.88888888888889
146788,MARCELO ARO,PP,MG,8,1,2,0,2,NA
178983,MARCIO ALVINO,PL,SP,2,2,1,6,7,85.71428571428571
179001,MÁRCIO BIOLCHI,MDB,RS,1,2,2,6,8,75
150418,MÁRCIO MARINHO,PRB,BA,2,2,2,5,7,71.42857142857143
160535,MARCON,PT,RS,3,1,6,1,7,14.285714285714285
171619,MARGARIDA SALOMÃO,PT,MG,5,2,3,1,4,25
74398,MARIA DO ROSÁRIO,PT,RS,7,1,2,1,3,33.33333333333333
178956,MARIANA CARVALHO,PSDB,RO,3,0,2,6,8,75
74158,MÁRIO HERINGER,PDT,MG,10,0,0,1,1,NA
178858,MÁRIO NEGROMONTE JR.,PP,BA,0,2,2,7,9,77.77777777777779
