congressperson_name,congressperson_id,twitter_profile,secondary_twitter_profile,facebook_page
FÁBIO SOUSA,178877,,,https://www.facebook.com/FabioSousaOficial
FÁBIO SOUTO,74062,Fabio_Souto,,https://www.facebook.com/FabioSoutoOficial
FÉLIX MENDONÇA JÚNIOR,160666,felixMendoncaJr,,https://www.facebook.com/felixjunior1234
GABRIEL CHALITA,160537,gabriel_chalita,,https://www.facebook.com/facechalita
GABRIEL GUIMARÃES,129037,,,https://www.facebook.com/mandatogabrielguimaraes
GEAN LOUREIRO,165429,geanloureiro,,https://www.facebook.com/geanloureiro
GENECIAS NORONHA,160669,depgenecias,,https://www.facebook.com/Deputado-Federal-Genecias-Noronha-213910975288105
GEORGE HILTON,141441,georgehilton40,,https://www.facebook.com/GeorgeHilton.MG
GEOVANIA DE SÁ,178966,geovaniadesa,,https://www.facebook.com/geovaniasarodrigues
GERALDO RESENDE,74374,dep_geraldo,,https://www.facebook.com/GeraldoResendeMS
GERALDO SIMÕES,74566,geraldo1330,,https://www.facebook.com/geraldosimoespt
GERALDO THADEU,74151,GeraldoThadeu23,,https://www.facebook.com/geraldothadeu
GIACOBO,74383,fernandogiacobo,,https://www.facebook.com/fernandogiacobo
GILBERTO NASCIMENTO,74270,gilbertopsc20,,https://www.facebook.com/gilbertonascimento.psc20
GILMAR MACHADO,74581,DeputadoGilmar,,https://www.facebook.com/PrefeitoGilmarMachado
GIOVANI CHERINI,160673,giovanicherini,,https://www.facebook.com/deputadogiovanicherini
GIOVANNI QUEIROZ,74077,deputgiovanni,,https://www.facebook.com/DeputadoGiovanniQueiroz
GIROTO,160562,girotofederal,,https://www.facebook.com/girotoedson
GIUSEPPE VECCI,178878,,,https://www.facebook.com/profile.php?id=100012342495041
GIVALDO CARIMBÃO,74558,givaldocarimbao,,https://www.facebook.com/carimbao
GIVALDO VIEIRA,178872,,,https://www.facebook.com/GivaldoVieiraES
GLAUBER BRAGA,152605,Glauber_Braga,,https://www.facebook.com/glauber.braga1
GONZAGA PATRIOTA,74419,,,https://www.facebook.com/DepGonzagaPatriota
GORETE PEREIRA,129618,d_goretepereira,,https://www.facebook.com/deputadagoretepereira
GOULART,178980,oficial_goulart,,https://www.facebook.com/goulartoficial
GUILHERME CAMPOS,141447,depguilherme,,https://www.facebook.com/deputadoguilhermecampos
GUILHERME COELHO,194259,,,https://www.facebook.com/guilhermecoelhope
GUILHERME MUSSI,160667,guilhermemussi,,https://www.facebook.com/deputadoguilhermemussi
HEITOR SCHUCH,178964,HeitorSchuch,,https://www.facebook.com/heitorschuchoficial
HELDER SALOMÃO,178873,,,https://www.facebook.com/helder.salomao.313
HELENO SILVA,74053,PrHeleno,,https://www.facebook.com/HelenoSilva2018
HENRIQUE AFONSO,73940,henrique_afonso,,https://www.facebook.com/Deputado-Federal-Henrique-Afonso-496929907011085
HENRIQUE EDUARDO ALVES,74324,HenriqueEAlves,,https://www.facebook.com/deputadohenriquefontana
HENRIQUE FONTANA,73482,henriquefontana,,https://www.facebook.com/deputadohenriquefontana
HERCULANO PASSOS,178981,herculanopassos,,https://www.facebook.com/HerculanoPassos
HERÁCLITO FORTES,97707,,,https://www.facebook.com/hfortespi
HEULER CRUVINEL,160596,heulercruvinel,,https://www.facebook.com/heulercruvineloficial
HILDO ROCHA,178884,,,https://www.facebook.com/hildorocha1
HIRAN GONÇALVES,178959,deputadohiran,,https://www.facebook.com/DeputadoHiran
HISSA ABRAHÃO,178849,Hissa_Abrahao‏,,https://www.facebook.com/hissa.abrahao
HUGO LEAL,141450,dephugoleal,,https://www.facebook.com/hugo.leal.758
HUGO MOTTA,160674,hugomottapb,,https://www.facebook.com/hugomottapb
HUGO NAPOLEÃO,160974,dephugonapoleao,,https://www.facebook.com/hugonapoleaopiaui
HÉLIO LEITE,178909,,,https://www.facebook.com/HelioLeite2525
HÉLIO SANTOS,160590,heliosantos4545,,
INOCÊNCIO OLIVEIRA,74421,Dep_Inocencio,,https://www.facebook.com/Deputado-Inocêncio-Oliveira-168998663293195
IRACEMA PORTELLA,67138,iracemaportela,,https://www.facebook.com/iracemaportella
IRAJÁ ABREU,81232,irajaabreu,,https://www.facebook.com/irajaabreu
IRMÃO LAZARO,178855,irmaolazaro,,https://www.facebook.com/deputadofederalirmaolazaro
IVAN VALENTE,73531,ivanvalente,,https://www.facebook.com/IvanValentePSOL
IZALCI LUCAS,4931,IzalciLucas,,https://www.facebook.com/izalci
IZAQUE SILVA,196378,,,https://www.facebook.com/izaquesilvaoficial
JAIME MARTINS,74665,JaiminhoMartins,jaiminhonarede,https://www.facebook.com/jaiminho.martins
JAIR BOLSONARO,74847,jairbolsonaro,,https://www.facebook.com/jairmessias.bolsonaro
JANDIRA FEGHALI,74848,jandira_feghali,,https://www.facebook.com/sigajandira2
JANETE CAPIBERIBE,73926,Janete4040,,https://www.facebook.com/JaneteCapiberibeOficial
JAQUELINE RORIZ,97822,roriz_jaqueline,,https://www.facebook.com/deputadajaquelineroriz
JARBAS VASCONCELOS,131943,,,https://www.facebook.com/JarbasVasconcelos
JEAN WYLLYS,160672,jeanwyllys_real,,https://www.facebook.com/jean.wyllys
JEFFERSON CAMPOS,74273,DepJefferson,,https://www.facebook.com/PrJeffersonCampos
JERÔNIMO GOERGEN,160570,jeronimogoergen,,https://www.facebook.com/depjeronimogoergen
JESUS RODRIGUES,160671,Jesus_Rodrigues,,https://www.facebook.com/deputado.jesusrodrigues
JHC,178842,JHC_40,,https://www.facebook.com/jhc
JHONATAN DE JESUS,160531,jhonatan_djesus,,https://www.facebook.com/DepJhonatanJesus
