"id","nome","partido","uf","cargo"
2287009,"FRANCISCO RIBEIRO","DC","AC","DEPUTADO FEDERAL"
2287023,"GILMAR FONTES","PRP","AC","DEPUTADO FEDERAL"
2286908,"GLORIA MELO","PSOL","AC","DEPUTADO FEDERAL"
2287016,"HENRIQUE AFONSO","PV","AC","DEPUTADO FEDERAL"
2287142,"ITAMARA SOUZA","PV","AC","DEPUTADO FEDERAL"
2287186,"IUNA CHAVES","REDE","AC","DEPUTADO FEDERAL"
2287025,"JAMYL ASFURY","PSC","AC","DEPUTADO FEDERAL"
2286728,"JEFFERSON BARROSO","PHS","AC","DEPUTADO FEDERAL"
2287202,"JESSICA SALES","MDB","AC","DEPUTADO FEDERAL"
2287204,"JESUS SERGIO","PDT","AC","DEPUTADO FEDERAL"
2286784,"JOSE ADRIANO","PDT","AC","DEPUTADO FEDERAL"
2287032,"JUNIOR PARIS DAKAR","PP","AC","DEPUTADO FEDERAL"
2287183,"JUNIOR SANTIAGO","PTC","AC","DEPUTADO FEDERAL"
2286816,"LENO","AVANTE","AC","DEPUTADO FEDERAL"
2286702,"LEO DE BRITO","PT","AC","DEPUTADO FEDERAL"
2287151,"LIRA XAPURI","PRTB","AC","DEPUTADO FEDERAL"
2287027,"MARA ROCHA","PSDB","AC","DEPUTADO FEDERAL"
2287237,"MARIA DO SOCORRO  SILVA","PRTB","AC","DEPUTADO FEDERAL"
2286827,"MARIVALDO MELO","PSD","AC","DEPUTADO FEDERAL"
2286912,"MATIAS MORAIS","AVANTE","AC","DEPUTADO FEDERAL"
2286966,"MERLA","PSOL","AC","DEPUTADO FEDERAL"
2286706,"MICHELA LACERDA","PSL","AC","DEPUTADO FEDERAL"
2286949,"MOREIRA DA FARMACIA","PSL","AC","DEPUTADO FEDERAL"
2287063,"NELSON SALES","PP","AC","DEPUTADO FEDERAL"
2286859,"N LIMA","PSL","AC","DEPUTADO FEDERAL"
2287169,"PASTOR MANUEL MARCOS","PRB","AC","DEPUTADO FEDERAL"
2286850,"PAULINHA","AVANTE","AC","DEPUTADO FEDERAL"
2286901,"PAULINO SILVA","PROS","AC","DEPUTADO FEDERAL"
2287154,"PAULO SORIANO","PDT","AC","DEPUTADO FEDERAL"
2286819,"PEDRO DO DAYANE","PDT","AC","DEPUTADO FEDERAL"
2287165,"PEREIRA BOMBOM","AVANTE","AC","DEPUTADO FEDERAL"
2286739,"PERPETUA ALMEIDA","PC DO B","AC","DEPUTADO FEDERAL"
2287231,"PR. MARIA JOSE","PODE","AC","DEPUTADO FEDERAL"
2286894,"PROFESSORA MARIA PEREGRINA","AVANTE","AC","DEPUTADO FEDERAL"
2286884,"PROFESSOR CEZAR HILDO","AVANTE","AC","DEPUTADO FEDERAL"
2287098,"RAILSON CORREIA","PODE","AC","DEPUTADO FEDERAL"
2287168,"RAIMUNDO CASTRO","PDT","AC","DEPUTADO FEDERAL"
2287223,"RAQUEL SOUZA","PT","AC","DEPUTADO FEDERAL"
2286747,"RICARDO GOMES","PSL","AC","DEPUTADO FEDERAL"
2286956,"ROBERTO FERES","MDB","AC","DEPUTADO FEDERAL"
2286746,"ROSANA NASCIMENTO","PPS","AC","DEPUTADO FEDERAL"
2287067,"ROSELANE SPORTS","PRP","AC","DEPUTADO FEDERAL"
2287230,"RUDILEI ESTRELA","PP","AC","DEPUTADO FEDERAL"
2286756,"SABA MANCHINERY","PHS","AC","DEPUTADO FEDERAL"
2286814,"SANDRO REGO","PDT","AC","DEPUTADO FEDERAL"
2287197,"SIBA MACHADO","PT","AC","DEPUTADO FEDERAL"
2286917,"SILVIA MONTEIRO","PMB","AC","DEPUTADO FEDERAL"
2287075,"TATY","AVANTE","AC","DEPUTADO FEDERAL"
2287173,"TEN. CORONEL EMILIO","PMN","AC","DEPUTADO FEDERAL"
2286837,"TIAO BOCALOM","PSL","AC","DEPUTADO FEDERAL"
2286910,"VANDA","PDT","AC","DEPUTADO FEDERAL"
2287500,"ABELARDO SILVA","PSL","AL","DEPUTADO FEDERAL"
2287266,"ADELMO ASSIS","NOVO","AL","DEPUTADO FEDERAL"
2287660,"ADEMARIO JACO","PATRI","AL","DEPUTADO FEDERAL"
2287541,"ADERVAL TENORIO","PATRI","AL","DEPUTADO FEDERAL"
2287481,"ALVARO VASCONCELOS","PODE","AL","DEPUTADO FEDERAL"
2287358,"ANDERSON PIMENTEL","PSL","AL","DEPUTADO FEDERAL"
2287394,"ARTHUR LIRA","PP","AL","DEPUTADO FEDERAL"
2287486,"BETO DA FARMACIA","PROS","AL","DEPUTADO FEDERAL"
2287429,"BOMBEIRO LUCIANO FONTES","PSL","AL","DEPUTADO FEDERAL"
2287632,"BRUNA DUARTE","PATRI","AL","DEPUTADO FEDERAL"
2287597,"CHAMARIZ","PSL","AL","DEPUTADO FEDERAL"
2287600,"CLAUDIA GUEDES","PRTB","AL","DEPUTADO FEDERAL"
2287404,"CORONEL DO VALLE","PSC","AL","DEPUTADO FEDERAL"
2287298,"CRIS DO POSTO","PHS","AL","DEPUTADO FEDERAL"
2287330,"DR. HERMERSON CASADO","PP","AL","DEPUTADO FEDERAL"
2287554,"DR. PAULO","SOLIDARIEDADE","AL","DEPUTADO FEDERAL"
2287447,"EDUARDO CANUTO","PSDB","AL","DEPUTADO FEDERAL"
2287450,"EDUARDO VASCONCELOS","PSB","AL","DEPUTADO FEDERAL"
2287305,"EMMANUEL FORTES","PRTB","AL","DEPUTADO FEDERAL"
2287375,"ERALDO DA ROSA","PHS","AL","DEPUTADO FEDERAL"
2287444,"FERNANDA MONTEIRO","MDB","AL","DEPUTADO FEDERAL"
2287387,"FERNANDO JAMES","PTC","AL","DEPUTADO FEDERAL"
2287576,"FLAVIO CATAO","PHS","AL","DEPUTADO FEDERAL"
2287270,"GIVALDO CARIMBAO","AVANTE","AL","DEPUTADO FEDERAL"
2287277,"HELOISA HELENA","REDE","AL","DEPUTADO FEDERAL"
2287353,"HENRIQUE MACHADO","PV","AL","DEPUTADO FEDERAL"
2287594,"ISNALDO BULHOES","MDB","AL","DEPUTADO FEDERAL"
2287428,"IVANISE XARARAU","PSC","AL","DEPUTADO FEDERAL"
2287542,"JAMMES SOBREIRA","PSL","AL","DEPUTADO FEDERAL"
2287367,"JHC","PSB","AL","DEPUTADO FEDERAL"
2287426,"JONATAS OMENA","PPL","AL","DEPUTADO FEDERAL"
2287439,"JOSIENE","MDB","AL","DEPUTADO FEDERAL"
2287438,"JOSILDO BRAZ","PATRI","AL","DEPUTADO FEDERAL"
2287591,"JUIZ MARCELO TADEU","PDT","AL","DEPUTADO FEDERAL"
2287642,"KIKO","PPL","AL","DEPUTADO FEDERAL"
2287522,"LICIA CRUZ","PCO","AL","DEPUTADO FEDERAL"
2287431,"LOUISE VASCONCELOS","PSL","AL","DEPUTADO FEDERAL"
2287460,"LU ARAUJO","PSOL","AL","DEPUTADO FEDERAL"
2287402,"LUCIANO REY","PC DO B","AL","DEPUTADO FEDERAL"
2287392,"LUCINHA CORREIA","SOLIDARIEDADE","AL","DEPUTADO FEDERAL"
2287619,"MARCOS ALMEIDA","PHS","AL","DEPUTADO FEDERAL"
2287540,"MARIA DE LOURDES","PSL","AL","DEPUTADO FEDERAL"
2287618,"MARIA TAVARES","NOVO","AL","DEPUTADO FEDERAL"
2287282,"MARIO MORAL","PHS","AL","DEPUTADO FEDERAL"
2287480,"MARX BELTRAO","PSD","AL","DEPUTADO FEDERAL"
2287430,"NINA CACIQUE","PC DO B","AL","DEPUTADO FEDERAL"
2287418,"NIVALDO ALBUQUERQUE","PTB","AL","DEPUTADO FEDERAL"
2287261,"OLIVIA TENORIO","PMN","AL","DEPUTADO FEDERAL"
2287389,"PAULAO","PT","AL","DEPUTADO FEDERAL"
2287608,"PAULO FALCAO","PSTU","AL","DEPUTADO FEDERAL"
2287645,"PEDRO VILELA","PSDB","AL","DEPUTADO FEDERAL"
2287593,"PEROLINA LINS","PPL","AL","DEPUTADO FEDERAL"
2287377,"PR. GILVAN MENEZES","PSL","AL","DEPUTADO FEDERAL"
2287636,"PROFESSOR ABELARDO","PSOL","AL","DEPUTADO FEDERAL"
2287410,"PROFESSOR MAMEDE","PC DO B","AL","DEPUTADO FEDERAL"
2287487,"QUITERIA SOUZA","PSL","AL","DEPUTADO FEDERAL"
2287604,"REGIS CAVALCANTE","PPS","AL","DEPUTADO FEDERAL"
2287629,"ROBINHO DAS GROTAS","PC DO B","AL","DEPUTADO FEDERAL"
2287521,"RONALDO LESSA","PDT","AL","DEPUTADO FEDERAL"
2287613,"RORY DO UBER","DC","AL","DEPUTADO FEDERAL"
2287369,"ROSINHA DA ADEFAL","PTB","AL","DEPUTADO FEDERAL"
2287491,"SAMUEL DASILVAH","PCB","AL","DEPUTADO FEDERAL"
2287314,"SANDRA LOPES","PV","AL","DEPUTADO FEDERAL"
2287328,"SARGENTO TULIO DINIZ","PSL","AL","DEPUTADO FEDERAL"
2287341,"SERGIO TOLEDO","PR","AL","DEPUTADO FEDERAL"
2287568,"SEVERINO PESSOA","PRB","AL","DEPUTADO FEDERAL"
2287639,"SHEYLA ROCHA","PP","AL","DEPUTADO FEDERAL"
2287290,"SUELY LIBERATO","PHS","AL","DEPUTADO FEDERAL"
2287606,"SURUAGY JR","PHS","AL","DEPUTADO FEDERAL"
2287490,"TEREZA NELMA","PSDB","AL","DEPUTADO FEDERAL"
2287477,"TIA ELIELZA","DEM","AL","DEPUTADO FEDERAL"
2287280,"TIBERIO ROCHA JUNIOR","NOVO","AL","DEPUTADO FEDERAL"
2287327,"TIDA DO BREJINHO","PSD","AL","DEPUTADO FEDERAL"
2287448,"VAL AMELIO","PRTB","AL","DEPUTADO FEDERAL"
2287652,"VALGETAN FERREIRA","PSL","AL","DEPUTADO FEDERAL"
2287511,"VILMINHA","DC","AL","DEPUTADO FEDERAL"
2287556,"ZE LUIZ","PP","AL","DEPUTADO FEDERAL"
2288142,"ADRIEL KOKAMA","AVANTE","AM","DEPUTADO FEDERAL"
2287787,"AGATHA REBECA","PTC","AM","DEPUTADO FEDERAL"
2288210,"ALBERTO D ALMEIDA","PP","AM","DEPUTADO FEDERAL"
2288122,"ALEXANDRE CAVALCANTE","PMB","AM","DEPUTADO FEDERAL"
2287941,"ALEXANDRE MAIA","PSOL","AM","DEPUTADO FEDERAL"
2288459,"ALEXANDRE MATIAS","PMB","AM","DEPUTADO FEDERAL"
2287711,"ALEX INTERNET","DC","AM","DEPUTADO FEDERAL"
2288278,"ALZENIR ARAUJO","REDE","AM","DEPUTADO FEDERAL"
2287713,"ALZIRA NOGUEIRA","PSOL","AM","DEPUTADO FEDERAL"
2288395,"AMANDA MATOZINHO","PPL","AM","DEPUTADO FEDERAL"
2288066,"ANA MOREIRA","MDB","AM","DEPUTADO FEDERAL"
2287930,"ANTONIVALDO","PC DO B","AM","DEPUTADO FEDERAL"
2287727,"ARONE BENTES","PODE","AM","DEPUTADO FEDERAL"
2287949,"ARQLEYDSSON PINHEIRO","PSOL","AM","DEPUTADO FEDERAL"
2287998,"ATILA LINS","PP","AM","DEPUTADO FEDERAL"
2287845,"BARBARA LIMA","PATRI","AM","DEPUTADO FEDERAL"
2287917,"BENAE LIMOEIRO","PODE","AM","DEPUTADO FEDERAL"
2288044,"BETE MACIEL","REDE","AM","DEPUTADO FEDERAL"
2287770,"BOSCO SARAIVA","SOLIDARIEDADE","AM","DEPUTADO FEDERAL"
2287805,"CABECA DA CIRANDA","MDB","AM","DEPUTADO FEDERAL"
2288037,"CAPITAO ALBERTO NETO","PRB","AM","DEPUTADO FEDERAL"
2288447,"CARLINHOS","PC DO B","AM","DEPUTADO FEDERAL"
2288125,"CEL. MOTA","PSC","AM","DEPUTADO FEDERAL"
2288342,"CINTIA FRAGA","PATRI","AM","DEPUTADO FEDERAL"
2287897,"CLARA MOTTA","PRTB","AM","DEPUTADO FEDERAL"
2288304,"CONCEICAO SAMPAIO","PSDB","AM","DEPUTADO FEDERAL"
2288232,"CORONEL MESQUITA","PMB","AM","DEPUTADO FEDERAL"
2288049,"CORONEL PETER","PMB","AM","DEPUTADO FEDERAL"
2288262,"CRISS ALVORADA","PMN","AM","DEPUTADO FEDERAL"
2288361,"CRISTIANE BALIEIRO","PSB","AM","DEPUTADO FEDERAL"
2287785,"CRISTOVAM","PDT","AM","DEPUTADO FEDERAL"
2288301,"DALILA","REDE","AM","DEPUTADO FEDERAL"
2287697,"DAVI DOS FEIRANTES","AVANTE","AM","DEPUTADO FEDERAL"
2287813,"DAVI RAMOS","DC","AM","DEPUTADO FEDERAL"
2287761,"DELEGADO FEDERAL PABLO","PSL","AM","DEPUTADO FEDERAL"
2288159,"DELEGADO FEDERAL WESLEY","PDT","AM","DEPUTADO FEDERAL"
2288218,"DODO CARVALHO","PSD","AM","DEPUTADO FEDERAL"
2287745,"DRA. PATRICIA SICCHAR","PR","AM","DEPUTADO FEDERAL"
2288256,"DR. HARBEN AVELAR","PRP","AM","DEPUTADO FEDERAL"
2288394,"DR MAZINHO","PPL","AM","DEPUTADO FEDERAL"
2287918,"EDSON CAMPOS","PSOL","AM","DEPUTADO FEDERAL"
2287850,"ELIAS TORRES","PRP","AM","DEPUTADO FEDERAL"
2287902,"ELIZABETH CASTRO","MDB","AM","DEPUTADO FEDERAL"
2288239,"ENFERMEIRA EDILENE KOKAMA","PDT","AM","DEPUTADO FEDERAL"
2288357,"ENFERMEIRA PAULINHA","PHS","AM","DEPUTADO FEDERAL"
2287773,"ERALDO MUNIZ","PSOL","AM","DEPUTADO FEDERAL"
2288119,"EVANDRO DE OLIVEIRA","PSTU","AM","DEPUTADO FEDERAL"
2288043,"FABIANA CAMPOS","PPL","AM","DEPUTADO FEDERAL"
2287687,"FABIANA LIMA","PTC","AM","DEPUTADO FEDERAL"
2287722,"FERNANDA SILVA","AVANTE","AM","DEPUTADO FEDERAL"
2287750,"FLAVINHO ARAUJO","AVANTE","AM","DEPUTADO FEDERAL"
2287940,"FRANCISCO CACHORRAO","PMB","AM","DEPUTADO FEDERAL"
2288277,"FRANCISCO COSTA","REDE","AM","DEPUTADO FEDERAL"
2287696,"FRANCISCO SOUZA","PODE","AM","DEPUTADO FEDERAL"
2288026,"GEORGE REIS","PV","AM","DEPUTADO FEDERAL"
2288296,"GERMANE","PV","AM","DEPUTADO FEDERAL"
2288488,"GERSON FEITOSA","MDB","AM","DEPUTADO FEDERAL"
2288120,"GUSTAVO GARCIA","AVANTE","AM","DEPUTADO FEDERAL"
2288203,"HELENA ARAUJO","PDT","AM","DEPUTADO FEDERAL"
2287809,"HENDRIK GADELHA","PDT","AM","DEPUTADO FEDERAL"
2287861,"HENRIQUE OLIVEIRA","PROS","AM","DEPUTADO FEDERAL"
2288274,"ISRAEL SEVALHO","PMB","AM","DEPUTADO FEDERAL"
2288067,"JADSON HONORIO","PPL","AM","DEPUTADO FEDERAL"
2288299,"JAILDO DOS RODOVIARIOS","PC DO B","AM","DEPUTADO FEDERAL"
2288207,"JAILENE COELHO","PSC","AM","DEPUTADO FEDERAL"
2287920,"JAMYS CASTELO BRANCO","PATRI","AM","DEPUTADO FEDERAL"
2288144,"JANILSON MENDES","MDB","AM","DEPUTADO FEDERAL"
2288446,"JARDEL DO AMAZONAS","PATRI","AM","DEPUTADO FEDERAL"
2287893,"JEAN NEDER","DC","AM","DEPUTADO FEDERAL"
2287755,"JEFFERSON FONTES","DC","AM","DEPUTADO FEDERAL"
2288273,"JONATHAN LAVAREDA","PSC","AM","DEPUTADO FEDERAL"
2288150,"JONATHAS TURY","PRP","AM","DEPUTADO FEDERAL"
2287807,"JOSE LUIZ","PSOL","AM","DEPUTADO FEDERAL"
2288047,"JOSE RICARDO","PT","AM","DEPUTADO FEDERAL"
2288197,"JUCINEI SILVA","PRTB","AM","DEPUTADO FEDERAL"
2287802,"JULIO SALAS","PC DO B","AM","DEPUTADO FEDERAL"
2287786,"KATIA MACHADO","PDT","AM","DEPUTADO FEDERAL"
2287960,"LILI LIRA","PMB","AM","DEPUTADO FEDERAL"
2287749,"LOURA DO CUPUACU","MDB","AM","DEPUTADO FEDERAL"
2288385,"LUIZ FERNANDO NICOLAU","PSD","AM","DEPUTADO FEDERAL"
2288221,"MAILSON TAXISTA","REDE","AM","DEPUTADO FEDERAL"
2287708,"MAJOR FONSECA PAES","PPS","AM","DEPUTADO FEDERAL"
2287870,"MARA SANTOS","PRP","AM","DEPUTADO FEDERAL"
2288178,"MARCEL ALEXANDRE","PHS","AM","DEPUTADO FEDERAL"
2288498,"MARCELO AMIL","PMN","AM","DEPUTADO FEDERAL"
2287958,"MARCELO AUGUSTO","PSOL","AM","DEPUTADO FEDERAL"
2288229,"MARCELO LEITAO","PSOL","AM","DEPUTADO FEDERAL"
2287821,"MARCELO RAMOS","PR","AM","DEPUTADO FEDERAL"
2288113,"MARCELO SERAFIM","PSB","AM","DEPUTADO FEDERAL"
2288225,"MARCIO CAIPIRA","PMB","AM","DEPUTADO FEDERAL"
2287765,"MARCOS APURINA","DC","AM","DEPUTADO FEDERAL"
2287801,"MARIO COSTA","PPL","AM","DEPUTADO FEDERAL"
2288080,"MARTA MASSULO","PSOL","AM","DEPUTADO FEDERAL"
2287754,"MASSAMI MIKI","PROS","AM","DEPUTADO FEDERAL"
2288217,"MAURICIO MARTINS","PMN","AM","DEPUTADO FEDERAL"
2288497,"MAZINHO DO CONSELHO TUTELAR","PDT","AM","DEPUTADO FEDERAL"
2287803,"MELO NETO","SOLIDARIEDADE","AM","DEPUTADO FEDERAL"
2288292,"MICHELLE ANDREWS","PSOL","AM","DEPUTADO FEDERAL"
2288032,"MICHELLE GUIMARAES","PR","AM","DEPUTADO FEDERAL"
2287827,"MIRIAM MORAES","PC DO B","AM","DEPUTADO FEDERAL"
2288264,"MOISES NERIS","AVANTE","AM","DEPUTADO FEDERAL"
2288181,"NETINHO DE PAULA","PDT","AM","DEPUTADO FEDERAL"
2287981,"ODIMAR GUIMARAES","PT","AM","DEPUTADO FEDERAL"
2288389,"ORLANDO CIDADE","PV","AM","DEPUTADO FEDERAL"
2288176,"PASTOR NILMAR","PSC","AM","DEPUTADO FEDERAL"
2287872,"PAUDERNEY AVELINO","DEM","AM","DEPUTADO FEDERAL"
2287964,"PAULO FERRAZ ALVES","PSOL","AM","DEPUTADO FEDERAL"
2288423,"PEBA","REDE","AM","DEPUTADO FEDERAL"
2288399,"PEIXOTO","DC","AM","DEPUTADO FEDERAL"
2287977,"PERPETUA TSUNI KUKAMI","PSOL","AM","DEPUTADO FEDERAL"
2288245,"PROF. ALESSANDRO","PTC","AM","DEPUTADO FEDERAL"
2288348,"PROFESSORA ALINI SANTANA","PDT","AM","DEPUTADO FEDERAL"
2288215,"PROFESSOR GEDEAO","MDB","AM","DEPUTADO FEDERAL"
2288236,"PROFESSOR ISAC SANTOS","PRP","AM","DEPUTADO FEDERAL"
2288421,"PROFESSOR QUEIROZ","PSOL","AM","DEPUTADO FEDERAL"
2288143,"RAFAEL GALVAO","PDT","AM","DEPUTADO FEDERAL"
2288474,"RAIDI REBELLO","PSD","AM","DEPUTADO FEDERAL"
2287882,"RAYANE CHAVES","PSC","AM","DEPUTADO FEDERAL"
2288260,"REBECA QUEIROZ","PT","AM","DEPUTADO FEDERAL"
2287705,"REIZO CASTELO BRANCO","PTB","AM","DEPUTADO FEDERAL"
2287776,"RENATO SOUTO","REDE","AM","DEPUTADO FEDERAL"
2287700,"REPORTER RAY NASCIMENTO","PODE","AM","DEPUTADO FEDERAL"
2288441,"RITA FERREIRA","PC DO B","AM","DEPUTADO FEDERAL"
2288108,"ROBERTO DA SILVA","PRTB","AM","DEPUTADO FEDERAL"
2288036,"ROBERTO DOS SANTOS","PSOL","AM","DEPUTADO FEDERAL"
2288153,"RONY DA PESCA","PMN","AM","DEPUTADO FEDERAL"
2288291,"ROSIDALVA AQUINO","PPS","AM","DEPUTADO FEDERAL"
2288396,"SANTINO","PSOL","AM","DEPUTADO FEDERAL"
2288392,"SARAH FURTADO","DEM","AM","DEPUTADO FEDERAL"
2288168,"SARGENTO LOBO","PATRI","AM","DEPUTADO FEDERAL"
2288121,"SARGENTO NEGREIROS","PATRI","AM","DEPUTADO FEDERAL"
2288065,"SASSA DA CONSTRUCAO CIVIL","PT","AM","DEPUTADO FEDERAL"
2288365,"SIDENY COSTA","MDB","AM","DEPUTADO FEDERAL"
2287865,"SIDNEY LEITE","PSD","AM","DEPUTADO FEDERAL"
2287876,"SILAS CAMARA","PRB","AM","DEPUTADO FEDERAL"
2288295,"SOCORRO DO CAFE","MDB","AM","DEPUTADO FEDERAL"
2288186,"SOLI BARROSO","PMB","AM","DEPUTADO FEDERAL"
2288039,"TALY NAYANDRA","PC DO B","AM","DEPUTADO FEDERAL"
2288249,"TAMABAQUI","DC","AM","DEPUTADO FEDERAL"
2288035,"TEODOLINDO SIMOES FILHO","PDT","AM","DEPUTADO FEDERAL"
2287843,"TIAGO GONDIM","PDT","AM","DEPUTADO FEDERAL"
2287995,"VALERIA SILVA","PMB","AM","DEPUTADO FEDERAL"
2288100,"WALLACE DANTAS","PTC","AM","DEPUTADO FEDERAL"
2288076,"WANDERSON ROBINHO","PATRI","AM","DEPUTADO FEDERAL"
2288415,"WILLACE SOUZA","AVANTE","AM","DEPUTADO FEDERAL"
2288486,"YANN EVANOVICK","PC DO B","AM","DEPUTADO FEDERAL"
2288651,"ACACIO FAVACHO","PROS","AP","DEPUTADO FEDERAL"
2288586,"ACENILDO COSTA","PV","AP","DEPUTADO FEDERAL"
2288723,"ADAUTO JUNIOR","PSB","AP","DEPUTADO FEDERAL"
2288943,"ALANDY","SOLIDARIEDADE","AP","DEPUTADO FEDERAL"
2288805,"ALINE GURGEL","PRB","AP","DEPUTADO FEDERAL"
2288936,"ALINNE BRITO","PSOL","AP","DEPUTADO FEDERAL"
2289004,"ALLAN SALES","PPS","AP","DEPUTADO FEDERAL"
2288554,"ALMEIDA DOS CONSIGNADOS","PSB","AP","DEPUTADO FEDERAL"
2288739,"ALVARENGA","PSD","AP","DEPUTADO FEDERAL"
2288504,"ANA KATHYA","MDB","AP","DEPUTADO FEDERAL"
2288549,"ANDERSON ALMEIDA","DEM","AP","DEPUTADO FEDERAL"
2288528,"ANDRE ABDON","PP","AP","DEPUTADO FEDERAL"
2288691,"ANNE MARQUES","PPL","AP","DEPUTADO FEDERAL"
2289030,"ANTONIO ZOMBA","PDT","AP","DEPUTADO FEDERAL"
2288761,"ASDRUBAL OLIVEIRA","PV","AP","DEPUTADO FEDERAL"
2289132,"BELAIR JR","PR","AP","DEPUTADO FEDERAL"
2288911,"BERENICE LAZAME","PP","AP","DEPUTADO FEDERAL"
2288750,"CABUCU BORGES","MDB","AP","DEPUTADO FEDERAL"
2289050,"CAMILO CAPIBERIBE","PSB","AP","DEPUTADO FEDERAL"
2288712,"CHIA GOMES","PPL","AP","DEPUTADO FEDERAL"
2288525,"CLEUDO","PHS","AP","DEPUTADO FEDERAL"
2288774,"CORONEL AILTON","PSB","AP","DEPUTADO FEDERAL"
2288866,"CORONEL PALMIRA","DEM","AP","DEPUTADO FEDERAL"
2288976,"CRISTINA GUERREIRO","PSB","AP","DEPUTADO FEDERAL"
2288588,"DALVA 1313","PT","AP","DEPUTADO FEDERAL"
2289099,"DARC MARQUES","DC","AP","DEPUTADO FEDERAL"
2289135,"DEL ROBERVAL","PSB","AP","DEPUTADO FEDERAL"
2289133,"DIEGO SILVA DO PARK","REDE","AP","DEPUTADO FEDERAL"
2288873,"DIRCEU BARRETO","PSB","AP","DEPUTADO FEDERAL"
2288582,"DORA NASCIMENTO","PT","AP","DEPUTADO FEDERAL"
2289103,"DRA. ANA FASCIO","PHS","AP","DEPUTADO FEDERAL"
2289046,"DR. ACHILES","PTB","AP","DEPUTADO FEDERAL"
2288843,"DRA. KARLENE","PTB","AP","DEPUTADO FEDERAL"
2289029,"DR. ALENCAR","REDE","AP","DEPUTADO FEDERAL"
2288695,"DR. ALZENIR","PSDB","AP","DEPUTADO FEDERAL"
2288713,"DRA. ROSANGELA LEMOS","PSOL","AP","DEPUTADO FEDERAL"
2288680,"EDUARDO FLEURY","REDE","AP","DEPUTADO FEDERAL"
2288570,"EDUARDO SEABRA","PTB","AP","DEPUTADO FEDERAL"
2288786,"ELISIA CONGO","PMN","AP","DEPUTADO FEDERAL"
2288659,"ENEAS DO AMAPA","PMN","AP","DEPUTADO FEDERAL"
2288749,"ERALDO TRINDADE","PR","AP","DEPUTADO FEDERAL"
2289075,"ERISON REAL","PR","AP","DEPUTADO FEDERAL"
2289124,"ERROLFLYNN PAIXAO","PT","AP","DEPUTADO FEDERAL"
2288652,"ESTEFANY MONTEIRO","PR","AP","DEPUTADO FEDERAL"
2288996,"EVANDRO MILHOMEN","AVANTE","AP","DEPUTADO FEDERAL"
2288724,"GIL BARBOSA","PMN","AP","DEPUTADO FEDERAL"
2289032,"IACY FURTADO","PSB","AP","DEPUTADO FEDERAL"
2288908,"ILKA PEIRA","PV","AP","DEPUTADO FEDERAL"
2288566,"JAILSON MAFRA","PDT","AP","DEPUTADO FEDERAL"
2288630,"JAIRO PALHETA","PSTU","AP","DEPUTADO FEDERAL"
2289119,"JANE SELMA","REDE","AP","DEPUTADO FEDERAL"
2288784,"JAWARUWA WAIAPI","REDE","AP","DEPUTADO FEDERAL"
