prop_id,casa,id_autor,nome,id_req
2192459,camara,141470,JOSÉ GUIMARÃES - PT/CE,2194852
2192459,camara,204543,LUIZ FLÁVIO GOMES - PSB/SP,2194900
2192459,camara,204464,TALÍRIA PETRONE - PSOL/RJ,2195229
2192459,camara,74161,REGINALDO LOPES - PT/MG,2195243
2192459,camara,141470,JOSÉ GUIMARÃES - PT/CE,2195245
2192459,camara,141488,PAULO TEIXEIRA - PT/SP,2195246
2192459,camara,204575,GIL CUTRIM - PDT/MA,2195260
2192459,camara,204541,EDUARDO BISMARCK - PDT/CE,2195275
2192459,camara,73486,POMPEO DE MATTOS - PDT/RS,2195364
2192459,camara,204575,GIL CUTRIM - PDT/MA,2196145
2192459,camara,204563,JOSIMAR MARANHÃOZINHO - PR/MA,2196537
2192459,camara,204464,TALÍRIA PETRONE - PSOL/RJ,2198837
2192459,camara,204464,TALÍRIA PETRONE - PSOL/RJ,2198838
2192459,camara,107283,GLEISI HOFFMANN - PT/PR,2198888
2192459,camara,74159,ODAIR CUNHA - PT/MG,2198888
2192459,camara,107283,GLEISI HOFFMANN - PT/PR,2198889
2192459,camara,74159,ODAIR CUNHA - PT/MG,2198889
2192459,camara,74400,PAULO PIMENTA - PT/RS,2199054
2192459,camara,74848,JANDIRA FEGHALI - PCdoB/RJ,2199054
2192459,camara,204468,JOENIA WAPICHANA - REDE/RR,2199054
2192459,camara,74398,MARIA DO ROSÁRIO - PT/RS,2199054
2192459,camara,160511,ALESSANDRO MOLON - PSB/RJ,2199054
2192459,camara,133439,ANDRÉ FIGUEIREDO - PDT/CE,2199054
2192459,camara,74060,DANIEL ALMEIDA - PCdoB/BA,2199054
2192459,camara,73531,IVAN VALENTE - PSOL/SP,2199054
2192459,camara,178922,TADEU ALENCAR - PSB/PE,2199054
2192459,camara,178927,ALIEL MACHADO - PSB/PR,2199054
2192459,camara,204501,ALENCAR SANTANA BRAGA - PT/SP,2199054
2192459,camara,141470,JOSÉ GUIMARÃES - PT/CE,2199054
2192459,camara,74159,ODAIR CUNHA - PT/MG,2199054
2192459,camara,178922,TADEU ALENCAR - PSB/PE,2199097
2192459,camara,178929,DIEGO GARCIA - PODE/PR,2199373
2192459,camara,204532,VINICIUS POIT - NOVO/SP,2199373
2192459,camara,178929,DIEGO GARCIA - PODE/PR,2199374
2192459,camara,178929,DIEGO GARCIA - PODE/PR,2199376
2192459,camara,178929,DIEGO GARCIA - PODE/PR,2199378
2192459,camara,178929,DIEGO GARCIA - PODE/PR,2199379
2192459,camara,204528,ADRIANA VENTURA - NOVO/SP,2199380
2192459,camara,133439,ANDRÉ FIGUEIREDO - PDT/CE,2199381
2192459,camara,68720,FÁBIO HENRIQUE - PDT/SE,2199381
2192459,camara,204486,MAURO BENEVIDES FILHO - PDT/CE,2199381
2192459,camara,133968,PAULO RAMOS - PDT/RJ,2199381
2192459,camara,133439,ANDRÉ FIGUEIREDO - PDT/CE,2199382
2192459,camara,68720,FÁBIO HENRIQUE - PDT/SE,2199382
2192459,camara,204486,MAURO BENEVIDES FILHO - PDT/CE,2199382
2192459,camara,133968,PAULO RAMOS - PDT/RJ,2199382
2192459,camara,160642,PASTOR EURICO - PATRI/PE,2199383
2192459,camara,160642,PASTOR EURICO - PATRI/PE,2199384
2192459,camara,160642,PASTOR EURICO - PATRI/PE,2199385
2192459,camara,74057,ALICE PORTUGAL - PCdoB/BA,2199386
2192459,camara,204518,DR. FREDERICO - PATRI/MG,2199388
2192459,camara,204518,DR. FREDERICO - PATRI/MG,2199389
2192459,camara,204518,DR. FREDERICO - PATRI/MG,2199390
2192459,camara,204359,LÉO MORAES - PODE/RO,2199392
2192459,camara,204359,LÉO MORAES - PODE/RO,2199393
2192459,camara,204359,LÉO MORAES - PODE/RO,2199394
2192459,camara,204359,LÉO MORAES - PODE/RO,2199395
2192459,camara,74057,ALICE PORTUGAL - PCdoB/BA,2199396
2192459,camara,74057,ALICE PORTUGAL - PCdoB/BA,2199399
2192459,camara,74057,ALICE PORTUGAL - PCdoB/BA,2199400
2192459,camara,204535,SÂMIA BOMFIM - PSOL/SP,2199411
2192459,camara,73531,IVAN VALENTE - PSOL/SP,2199411
2192459,camara,204535,SÂMIA BOMFIM - PSOL/SP,2199412
2192459,camara,73531,IVAN VALENTE - PSOL/SP,2199412
2192459,camara,204535,SÂMIA BOMFIM - PSOL/SP,2199414
2192459,camara,73531,IVAN VALENTE - PSOL/SP,2199414
2192459,camara,204535,SÂMIA BOMFIM - PSOL/SP,2199416
2192459,camara,73531,IVAN VALENTE - PSOL/SP,2199416
2192459,camara,74057,ALICE PORTUGAL - PCdoB/BA,2199417
2192459,camara,73482,HENRIQUE FONTANA - PT/RS,2199419
2192459,camara,73482,HENRIQUE FONTANA - PT/RS,2199420
2192459,camara,74057,ALICE PORTUGAL - PCdoB/BA,2199423
2192459,camara,74057,ALICE PORTUGAL - PCdoB/BA,2199425
2192459,camara,74057,ALICE PORTUGAL - PCdoB/BA,2199427
2192459,camara,74057,ALICE PORTUGAL - PCdoB/BA,2199429
2192459,camara,74057,ALICE PORTUGAL - PCdoB/BA,2199430
2192459,camara,73482,HENRIQUE FONTANA - PT/RS,2199498
2192459,camara,73482,HENRIQUE FONTANA - PT/RS,2199499
2192459,camara,73482,HENRIQUE FONTANA - PT/RS,2199500
2192459,camara,204383,PROFESSOR ISRAEL BATISTA - PV/DF,2199529
2192459,camara,107283,GLEISI HOFFMANN - PT/PR,2199608
2192459,camara,107283,GLEISI HOFFMANN - PT/PR,2199609
2192459,camara,107283,GLEISI HOFFMANN - PT/PR,2199610
2192459,camara,107283,GLEISI HOFFMANN - PT/PR,2199611
2192459,camara,107283,GLEISI HOFFMANN - PT/PR,2199612
2192459,camara,107283,GLEISI HOFFMANN - PT/PR,2199614
2192459,camara,73943,PERPÉTUA ALMEIDA - PCdoB/AC,2199619
2192459,camara,73943,PERPÉTUA ALMEIDA - PCdoB/AC,2199620
2192459,camara,73943,PERPÉTUA ALMEIDA - PCdoB/AC,2199621
2192459,camara,178977,EDUARDO CURY - PSDB/SP,2199719
2192459,camara,204522,MARCO BERTAIOLLI - PSD/SP,2199721
2192459,camara,178836,ALAN RICK - DEM/AC,2199737
2192459,camara,204383,PROFESSOR ISRAEL BATISTA - PV/DF,2199845
2192459,camara,204383,PROFESSOR ISRAEL BATISTA - PV/DF,2199846
2192352,camara,164359,DELEGADO WALDIR - PSL/GO,2192678
2192352,camara,204366,RODRIGO COELHO - PSB/SC,2195346
2192353,camara,164359,DELEGADO WALDIR - PSL/GO,2192678
2192353,camara,204366,RODRIGO COELHO - PSB/SC,2195345
2192353,camara,204497,JÚNIOR FERRARI - PSD/PA,2196383
2192354,camara,204543,LUIZ FLÁVIO GOMES - PSB/SP,2194662
2192354,camara,204366,RODRIGO COELHO - PSB/SC,2195114
2178170,camara,178832,LEANDRE - PV/PR,2190950
2178170,camara,204527,GENINHO ZULIANI - DEM/SP,2191267
2178170,camara,74554,JOSÉ ROCHA - PR/BA,2191754
2178170,camara,164359,DELEGADO WALDIR - PSL/GO,2192678
2178170,camara,160512,AUREO RIBEIRO - SOLIDARIEDADE/RJ,2194250
2178170,camara,204366,RODRIGO COELHO - PSB/SC,2195345
2178170,camara,204497,JÚNIOR FERRARI - PSD/PA,2196383
604557,camara,160511,ALESSANDRO MOLON - PSB/RJ,2194102
2193540,camara,178854,ELMAR NASCIMENTO - DEM/BA,2193544
16526,camara,74283,VICENTINHO - PT/SP,2191277
16526,camara,141508,MAURO NAZIF - PSB/RO,2192920
16526,camara,178874,SERGIO VIDIGAL - PDT/ES,2198705
