peso_arestas,id.x,id.y,num_coautorias,nome_eleitoral.x,sg_partido.x,uf.x,nome_eleitoral.y,sg_partido.y,uf.y
0.7666666666666667,204435,204557,4,JESUS SÉRGIO,PDT,AC,SIDNEY LEITE,PSD,AM
0.5458333333333333,204370,205476,3,CÉLIO MOURA,PT,TO,CHARLES FERNANDES,PSD,BA
0.2,204370,204378,1,CÉLIO MOURA,PT,TO,CORONEL CHRISÓSTOMO,PSL,RO
0.3666666666666667,204370,204557,2,CÉLIO MOURA,PT,TO,SIDNEY LEITE,PSD,AM
0.5,160598,164360,1,FLÁVIA MORAIS,PDT,GO,CARMEN ZANOTTO,CIDADANIA,SC
0.7880069865245067,204467,74160,18,PROFESSORA ROSA NEIDE,PT,MT,PATRUS ANANIAS,PT,MG
3.5137645622820823,178986,74160,27,NILTO TATTO,PT,SP,PATRUS ANANIAS,PT,MG
0.6137645622820824,178986,204467,16,NILTO TATTO,PT,SP,PROFESSORA ROSA NEIDE,PT,MT
8.045634920634921,73531,74784,58,IVAN VALENTE,PSOL,SP,LUIZA ERUNDINA,PSOL,SP
5.795634920634921,205548,73531,52,DAVID MIRANDA,PSOL,RJ,IVAN VALENTE,PSOL,SP
5.519444444444445,204407,74784,50,FERNANDA MELCHIONNA,PSOL,RS,LUIZA ERUNDINA,PSOL,SP
6.74563492063492,204407,205548,54,FERNANDA MELCHIONNA,PSOL,RS,DAVID MIRANDA,PSOL,RJ
5.851190476190476,134812,74784,51,EDMILSON RODRIGUES,PSOL,PA,LUIZA ERUNDINA,PSOL,SP
4.925,134812,205548,46,EDMILSON RODRIGUES,PSOL,PA,DAVID MIRANDA,PSOL,RJ
3.3833333333333333,205548,74784,33,DAVID MIRANDA,PSOL,RJ,LUIZA ERUNDINA,PSOL,SP
7.944444444444445,152605,74784,55,GLAUBER BRAGA,PSOL,RJ,LUIZA ERUNDINA,PSOL,SP
5.678968253968254,74784,76874,51,LUIZA ERUNDINA,PSOL,SP,MARCELO FREIXO,PSOL,RJ
5.406746031746032,204464,74784,47,TALÍRIA PETRONE,PSOL,RJ,LUIZA ERUNDINA,PSOL,SP
6.684523809523809,204535,205548,54,SÂMIA BOMFIM,PSOL,SP,DAVID MIRANDA,PSOL,RJ
5.620634920634921,205548,76874,50,DAVID MIRANDA,PSOL,RJ,MARCELO FREIXO,PSOL,RJ
5.640079365079365,204464,205548,49,TALÍRIA PETRONE,PSOL,RJ,DAVID MIRANDA,PSOL,RJ
1.7744788479963682,160538,160575,22,BOHN GASS,PT,RS,ERIKA KOKAY,PT,DF
0.7149550384725587,160575,74283,18,ERIKA KOKAY,PT,DF,VICENTINHO,PT,SP
3.3439232924408127,160575,204480,27,ERIKA KOKAY,PT,DF,ROGÉRIO CORREIA,PT,MG
0.9659090909090908,157130,160575,5,TÚLIO GADÊLHA,PDT,PE,ERIKA KOKAY,PT,DF
0.16666666666666666,160575,74060,1,ERIKA KOKAY,PT,DF,DANIEL ALMEIDA,PCdoB,BA
0.7149550384725587,160538,74283,18,BOHN GASS,PT,RS,VICENTINHO,PT,SP
1.391145514663035,160538,204480,21,BOHN GASS,PT,RS,ROGÉRIO CORREIA,PT,MG
0.5416666666666666,157130,160538,3,TÚLIO GADÊLHA,PDT,PE,BOHN GASS,PT,RS
0.3666666666666667,160538,74060,2,BOHN GASS,PT,RS,DANIEL ALMEIDA,PCdoB,BA
0.7149550384725587,204480,74283,18,ROGÉRIO CORREIA,PT,MG,VICENTINHO,PT,SP
0.29166666666666663,157130,74283,2,TÚLIO GADÊLHA,PDT,PE,VICENTINHO,PT,SP
