id_coordenador,id_frente,id_legislatura,id_legislatura_coordenador,nome_coordenador,partido_coordenador,situacao,telefone,titulo_frente,uf_coordenador,url_coordenador,url_documento
160552,54089,56,56,DANRLEI DE DEUS HINTERHOLZ,PSD,"28/05/2019 - Recebidos o REQ 1563/2019, a Ata, o Estatuto e as adesões.
28/05/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
30/05/2019 - Confirmadas 193 assinaturas de Deputados. Há Senadores. 
30/05/2019 - Of. 205/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
10/06/2019 - Confirmadas 15 assinaturas de Senadores. 
10/06/2019 - Vai à publicação.",3215 5566,Frente Parlamentar Mista de Energias Renováveis - FPE,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/160552,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/65437-integra.pdf
178874,54033,56,56,SERGIO VIDIGAL,PDT,"17/04/2019 - Recebidos o REQ 1234/2019, a Ata, o Estatuto e as adesões.
17/04/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
24/04/2019 - Confirmadas 204 assinaturas de Deputados. Não há Senadores. 
24/04/2019 - Vai à publicação.",3215 5812,Frente Parlamentar Mista de Incentivo à Geração de Eletricidade por meio de Energias Renováveis,ES,https://dadosabertos.camara.leg.br/api/v2/deputados/178874,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/64379-integra.pdf
204374,54136,56,56,BIA KICIS,PSL,"11/07/2019 - Recebidos o REQ 1945/2019, a Ata, o Estatuto e as adesões.
11/07/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
15/07/2019 - Confirmadas 180 assinaturas de Deputados. Há Senadores. 
15/07/2019 - Of. 267/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
01/08/2019 - Confirmadas 24 assinaturas de Senadores. 
01/08/2019 - Vai à publicação.",3215 5309,Frente Parlamentar Mista do Agronegócio e Agricultura Familiar - FAAF,DF,https://dadosabertos.camara.leg.br/api/v2/deputados/204374,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/66712-integra.pdf
160570,54108,56,56,JERÔNIMO GOERGEN,PP,"10/06/2019- Recebidos o REQ 1697/2019, a Ata, o Estatuto e as adesões.
10/06/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
12/06/2019 - Confirmadas 202 assinaturas de Deputados. Há Senadores.
12/06/2019 - Of. 223/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
25/06/2019 - Confirmadas 3 assinaturas de Senadores. 
25/06/2019 - Vai à publicação.
02/07/2019 - Recebido o OF 3698/19, solicitando inclusão do Dep. Enrico Misasi como membro e Coordenador-Geral da Frente.
03/07/2019 - Confirmada a assinatura. Publique-se.",3215 5316,Frente Parlamentar Mista do Biodiesel,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/160570,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/65791-integra.pdf
178983,53935,56,56,MARCIO ALVINO,PL,"01/03/2019- Recebidos o REQ 678/2019, a Ata, o Estatuto e as adesões.
01/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
08/03/2019 - Confirmadas 202 assinaturas de Deputados. Há Senadores. 
08/03/2019 - Of. 81/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
26/02/2019 - Confirmadas 5 assinaturas de Senadores. 
26/02/2019 - Vai à publicação.
06/06/2019 - Recebido o OF 1815/2019, solicitando inclusão de novas adesões. 
06/06/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
07/06/2019 - Confirmadas 2 assinaturas de Deputados. Vai à publicação.",3215 5331,Frente Parlamentar Mista dos Municípios Produtores de Água,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178983,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/62920-integra.pdf
178986,54145,56,56,NILTO TATTO,PT,"12/07/2019 - Recebidos o REQ 1968/2019, a Ata, o Estatuto e as adesões.
15/07/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
18/07/2019 - Confirmadas 161 assinaturas de Deputados. Entrei em contato com o Gabinete (Leonardo) e solicitei novas adesões.
16/08/2019 - Confirmadas 207 assinaturas de Deputados. Há Senadores. 
16/08/2019 - Of. 276/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
20/08/2019 - Confirmadas 8 assinaturas de Senadores. 
20/08/2019 - Vai à publicação.",3215 5502,Frente Parlamentar Mista em Apoio aos Objetivos de Desenvolvimentos Sustentáveis da ONU - ODS,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178986,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/66804-integra.pdf
178962,53911,56,56,CARLOS GOMES,REPUBLICANOS,"19/02/2019- Recebidos o REQ 503/2019, a Ata, o Estatuto e as adesões.
20/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
22/02/2019 - Confirmadas 223 assinaturas de Deputados. Há Senadores. 
22/02/2019 - Of. 64/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
25/02/2019 - Confirmadas 7 assinaturas de Senadores. 
25/02/2019 - Vai à publicação.
12/03/2019 - Recebido o REQ s/n/19, solicitando inclusão de novas adesões. 
14/03/2019 - Confirmadas 3 adesões de Deputados. Não há Senadores. 
14/03/2019 - Vai à publicação.",3215 5285,Frente Parlamentar Mista em Defesa da Cadeia Produtiva da Reciclagem no Brasil,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/178962,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/62697-integra.pdf
160508,54154,56,56,AFONSO FLORENCE,PT,"09/08/2019 - Recebidos o REQ 2078/2019, a Ata, o Estatuto e as adesões.
09/08/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
13/08/2019 - Confirmadas 206 assinaturas de Deputados. Há Senadores.
13/08/2019 - Of. 295/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
15/08/2019 - Confirmadas 4 assinaturas de Senadores. 
15/08/2019 - Vai à publicação.",3215 5305,Frente Parlamentar Mista em Defesa das Organizações da Sociedade Civil - OSCs,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/160508,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/67150-integra.pdf
204468,53999,56,56,JOENIA WAPICHANA,REDE,"29/03/2019- Recebidos o REQ 1007/2019, a Ata, o Estatuto e as adesões.
29/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
02/04/2019 - Confirmadas 210 assinaturas de Deputados. Há Senadores. 
02/04/2019 - Of. 125/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
08/04/2019 - Confirmadas 27 adesões de Senadores. 
08/04/2019 - Vai à publicação.",3215 5231,Frente Parlamentar Mista em Defesa dos Direitos dos Povos Indígenas,RR,https://dadosabertos.camara.leg.br/api/v2/deputados/204468,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63712-integra.pdf
204461,54111,56,56,PAULO GANIME,NOVO,"12/06/2019- Recebidos o REQ 1720/2019, a Ata, o Estatuto e as adesões.
12/06/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
13/06/2019 - Confirmadas 209 assinaturas de Deputados. Há Senadores. 
14/06/2019 - Of. 227/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
25/06/2019 - Confirmadas 11 assinaturas de Senadores. Vai à publicação.",3215 5230,Frente Parlamentar Mista pela Inovação na Bioeconomia - FPBioeconomia,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/204461,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/65853-integra.pdf
74156,53943,56,56,LEONARDO MONTEIRO,PT,"13/03/2019- Recebidos o REQ 719/2019, a Ata, o Estatuto e as adesões.
13/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
15/03/2019 - Confirmadas 211 assinaturas de Deputados. Não há Senadores.
15/03/2019 - Vai à publicação.",3215 5922,Frente Parlamentar pelo Desenvolvimento da Agroecologia e Produção Orgânica,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/74156,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63039-integra.pdf
160559,53910,56,56,ALCEU MOREIRA,MDB,"19/02/2019- Recebidos o REQ 497/2019, a Ata, o Estatuto e as adesões.
20/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
21/02/2019 - Confirmadas 195 assinaturas de Deputados. Há Senadores. 
21/02/2019 - Of. 63/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
25/02/2019 - Confirmadas 32 assinaturas de Senadores. 
25/02/2019 - Vai à publicação.
27/02/2019 -  Recebido o REQ 643/2019, do Dep. Valmir Assunção, solicitando a retirada de sua assinatura (RM 809/19).
28/02/2019 - Deferida a retirada de assinatura.
28/03/2019 - Recebido o OF s/n/2019, solicitando inclusão de novas adesões. 
28/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
29/03/2019 - Confirmadas 36 assinaturas de Deputados. Há Senadores. 
01/04/2019 - Of. 122/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
09/04/2019 - Confirmadas 4 assinaturas de Senadores. 
09/04/2019 - Vai à publicação.
25/06/2019 - Confirmadas 11 assinaturas de Deputados. Há Senadores. 
25/06/2019 - Of. 240/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
01/07/2019 - Confirmadas 2 assinaturas de Senadores. 
01/07/2019 - Vai à publicação.",3215 5238,Frente Parlamentar da Agropecuária - FPA,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/160559,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/62696-integra.pdf
146788,54124,56,56,MARCELO ARO,PP,"27/06/2019- Recebidos o REQ 1850/2019, a Ata, o Estatuto e as adesões.
27/06/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
03/07/2019 - Confirmadas 207 assinaturas de Deputados. Não há Senadores. 
03/07/2019 - Vai à publicação.",3215 5821,Frente Parlamentar da Silvicultura no Brasil,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/146788,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/66320-integra.pdf
178896,53968,56,56,NEWTON CARDOSO JR,MDB,"20/03/2019 - Recebidos o REQ 868/2019, a Ata, o Estatuto e as adesões.
20/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
26/03/2019 - Confirmadas 217 assinaturas de Deputados. Não há Senadores. 
26/03/2019 - Vai à publicação.",3215 5932,Frente Parlamentar Mista Nacional da Silvicultura - FPS,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/178896,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63365-integra.pdf
160588,54103,56,56,DIEGO ANDRADE,PSD,"06/06/2019- Recebidos o REQ 1685/2019, a Ata, o Estatuto e as adesões.
06/06/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
10/06/2019 - Confirmadas 209 assinaturas de Deputados. Não há Senadores. 
10/06/2019 - Vai à publicação.
19/06/2019 - Recebido o OF. 88/19, solicitando inclusão do Dep. Geninho Zuliani. 
19/06/2019 - Confirmada a adesão. Publique-se.
07/08/2019 - Recebido o OF. 143/19, solicitando inclusão da Dep. Professora Rosa Neide. 
07/08/2019 - Confirmada a adesão. Publique-se.",3215 5307,Frente Parlamentar do Alho,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/160588,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/65735-integra.pdf
161550,54026,56,56,EMIDINHO MADEIRA,PSB,"11/04/2019- Recebidos o REQ 1155/2019, a Ata, o Estatuto e as adesões.
11/04/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
16/04/2019 - Confirmadas 191 assinaturas de Deputados. Entrei em contato com o Gabinete (Adriano) e solicitei novas adesões.
24/04/2019 - Confirmadas 198 assinaturas de Deputados. Não há Senadores. 
24/04/2019 - Vai à publicação.
04/07/2019 - Recebido o OF 62/2019, solicitando inclusão de novas adesões. Aao SEPRO, para conferência.
08/07/2019 - Confirmadas 5 assinaturas de Deputados. Não há Senadores. 
08/07/2019 - Vai à publicação.",3215 5307,Frente Parlamentar do Café,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/161550,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/64113-integra.pdf
NA,53921,56,NA,Luiz Nishimori,NA,"26/02/2019- Recebidos o REQ 604/2019, a Ata, o Estatuto e as adesões.
26/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
27/02/2019 - Confirmadas 211 assinaturas de Deputados. Não há Senadores. 
27/02/2019 - Vai à publicação.",3215 5907,Frente Parlamentar em Defesa da Pesca,NA,NA,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/62818-integra.pdf
178954,54028,56,56,LUCIO MOSQUINI,MDB,"12/04/2019- Recebidos o REQ 1172/2019, a Ata, o Estatuto e as adesões.
12/04/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
23/04/2019 - Confirmadas 208 assinaturas de Deputados. Não há Senadores. 
23/04/2019 - Vai à publicação.",3215 5918,Frente Parlamentar em Defesa da Regularização Fundiária Rural,RO,https://dadosabertos.camara.leg.br/api/v2/deputados/178954,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/64168-integra.pdf
116379,54107,56,56,DARCI DE MATOS,PSD,"06/06/2019- Recebidos o REQ 1692/2019, a Ata, o Estatuto e as adesões.
07/06/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
11/06/2019 - Confirmadas 256 assinaturas de Deputados. Há Senadores. 
12/06/2019 - Of. 221/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
25/06/2019 - Confirmadas 9 assinaturas de Senadores. 
25/06/2019 - Vai à publicação.",3215 5709,Frente Parlamentar Mista da Apicultura e Meliponicultura,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/116379,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/65768-integra.pdf
204399,54030,56,56,SCHIAVINATO,PP,"12/04/2019- Recebidos o REQ 1179/2019, a Ata, o Estatuto e as adesões.
12/04/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
26/04/2019 - Confirmadas 213 adesões de Deputados. Há Senadores. 
26/04/2019 - Of. 155/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
07/05/2019 - Confirmada 1 assinatura de Senador. 
07/05/2019 - Vai à publicação.",3215 5746,Frente Parlamentar Mista da Suinocultura,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/204399,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/64170-integra.pdf
141408,53950,56,56,CLEBER VERDE,REPUBLICANOS,"14/03/2019 - Recebidos o REQ 755/2019, a Ata, o Estatuto e as adesões.
14/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
18/03/2019 - Confirmadas 190 assinaturas de Deputados. Há Senadores. 
18/03/2019 - Of. 96/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
20/03/2019 - Recebido o OF 16/2019, solicitando alteração do nome da ""Frente Parlamentar Mista de Apoio a Produção e Industrialização de Pescado"" para ""Frente Parlamentar Mista de Apoio a Produção e Industrialização de Pescado, à Pesca Ornamental e Esportiva"". À NAJUR, para análise.
26/03/2019 - Confirmadas 20 adesões de Senadores, totalizando 210 assinaturas. 
26/03/2019 - Vai à publicação.",3215 5710,Frente Parlamentar Mista de Apoio a Produção e Industrialização de Pescado,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/141408,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63185-integra.pdf
204567,53947,56,56,RAIMUNDO COSTA,PL,"14/03/2019 - Recebidos o REQ 751/2019, a Ata, o Estatuto e as adesões.
14/03/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
18/03/2019 - Confirmadas 188 assinaturas de Deputados. Há Senadores. 
18/03/2019 - Of. 97/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
26/03/2019 - Confirmadas 11 assinaturas de Senadores, totalizando 199 adesões. 
26/03/2019 - Vai à publicação.",3215 5211,Frente Parlamentar Mista de Defesa da Pesca Artesanal,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/204567,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63184-integra.pdf
204427,53919,56,56,FERNANDO RODOLFO,PL,"22/02/2019- Recebidos o REQ 577/2019, a Ata, o Estatuto e as adesões.
22/02/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
26/02/2019 - Confirmadas 205 assinaturas de Deputados. Não há Senadores. 
26/02/2019 - Vai à publicação.
17/07/2019 - Recebido o OF 74/19, solicitando inclusão de novas adesões. Ao SEPRO, para conferência.
19/07/2019 - Confirmadas 22 adesões de Deputados. Não há Senadores.
19/07/2019 - Vai à publicação.",3215 5481,Frente Parlamentar em Defesa da Água no Nordeste,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/204427,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/62768-integra.pdf
160655,54080,56,56,RICARDO IZAR,PP,"20/05/2019 - Recebidos o REQ 1503/2019, a Ata, o Estatuto e as adesões.
20/05/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
23/05/2019 - Confirmadas 207 assinaturas de Deputados. Há Senadores.
23/05/2019 - Of. 192/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
31/05/2019 - Confirmada 1 assinatura de Senador. 
31/05/2019 - Vai à publicação.
11/06/2019 - Recebido o OF 262/2019, solicitando inclusão de novas adesões. Ao SEPRO, para conferência.
11/06/2019 - Confirmada 1 adesão de Deputado. Publique-se.
04/07/2019 - Recebido o OF 295/19, solicitando inclusão do Senador Chico Rodrigues.
05/07/2019 - Of. 252/2019/SGM encaminhado ao Senado para conferência da assinatura.
11/07/2019 - Confirmada a adesão do Senador. Publique-se.
20/08/2019 - Recebido o OF 326/19, solicitando inclusão do Deputado Bosco Saraiva.
20/08/2019 - Confirmada a adesão do Deputado. Publique-se.
28/08/2019 - Recebido o OF 330/19, solicitando inclusão da Deputada Greyce Elias.
29/08/2019 - Confirmada a adesão da Deputada. Publique-se.",3215 5634,Frente Parlamentar Mista da Mineração,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/160655,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/65141-integra.pdf
160673,54031,56,56,GIOVANI CHERINI,PL,"16/04/2019 - Recebidos o REQ 1184/2019, a Ata, o Estatuto e as adesões.
16/04/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
23/04/2019 - Confirmadas 220 assinaturas de Deputados. 
23/04/2019 - Of. 150/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
07/05/2019 - Confirmadas 18 assinaturas de Senadores. 
07/05/2019 - Vai à publicação.
27/06/2019 - Recebido o OF 104/2019, solicitando inclusão de novas adesões. Ao SEPRO, para conferência de assinaturas.
03/07/2019 - Confirmadas 2 assinaturas de Deputados. Há Senadores. 
03/07/2019 - Of. 249/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
09/07/2019 - Confirmada 1 assinatura de Senador. Publique-se.",3215 5468,"Frente Parlamentar Mista em Defesa do Nióbio das Pedras Preciosas, Semipreciosas e Grafeno - Frente do Nióbio/Grafeno",RS,https://dadosabertos.camara.leg.br/api/v2/deputados/160673,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/64277-integra.pdf
204537,54009,56,56,ENRICO MISASI,PV,"03/04/2019 - Recebidos o REQ 1045/2019, a Ata, o Estatuto e as adesões.
03/04/2019 - Encaminhado ao SEPRO para conferência de assinaturas.
08/04/2019 - Confirmadas 208 assinaturas de Deputados. Há Senadores. 
08/04/2019 - Of. 132/2019/SGM encaminhado ao Senado para conferência de assinaturas dos Senadores.
16/04/2019 - Confirmadas 2 assinaturas Senadores. 
16/04/2019 - Vai à publicação.",3215 5574,Frente Parlamentar Mista em Defesa do Saneamento Básico,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204537,https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/63790-integra.pdf
