cod_titulo,data_fim,data_inicio,email,id,id_frente,id_legislatura,nome,sigla_partido,sigla_uf,titulo,uri,uri_partido,url_foto,tema
1004,NA,NA,NA,139285,54012,56,LÍDICE DA MATA,PSB,BA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/139285,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/139285.jpg,Ambientalista
1004,NA,NA,NA,141391,54012,56,ARNALDO JARDIM,CIDADANIA,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141391,https://dadosabertos.camara.leg.br/api/v2/partidos/37905,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg,Ambientalista
1004,NA,NA,NA,141398,54012,56,CARLOS ZARATTINI,PT,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141398,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/141398.jpg,Ambientalista
1004,NA,NA,NA,141405,54012,56,CELSO MALDANER,MDB,SC,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141405,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/141405.jpg,Ambientalista
1004,NA,NA,NA,141408,54012,56,CLEBER VERDE,REPUBLICANOS,MA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141408,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/141408.jpg,Ambientalista
1004,NA,NA,NA,141411,54012,56,DAGOBERTO NOGUEIRA,PDT,MS,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141411,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,https://www.camara.leg.br/internet/deputado/bandep/141411.jpg,Ambientalista
1004,NA,NA,NA,141417,54012,56,EDIO LOPES,PL,RR,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141417,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/141417.jpg,Ambientalista
1004,NA,NA,NA,141421,54012,56,EDUARDO DA FONTE,PP,PE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141421,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/141421.jpg,Ambientalista
1004,NA,NA,NA,141427,54012,56,FÁBIO RAMALHO,MDB,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141427,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/141427.jpg,Ambientalista
1004,NA,NA,NA,141428,54012,56,FÁBIO FARIA,PSD,RN,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/141428,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/141428.jpg,Ambientalista
