cnpj,id_parlamentar_voz,data_entrada_sociedade
04037609000196,1178986,2000-08-30
04047096000102,1196358,2005-09-12
04121411000196,1160653,2000-10-23
04144526000104,198057,2003-02-18
04148527000119,1204485,2006-11-16
04163086000124,174383,2000-11-23
04163260000139,1204367,2000-11-22
04202857000145,1204456,2000-12-18
04218335000131,174075,1982-03-31
04218335000131,235,1999-12-10
04230030000145,1141459,2000-12-27
04230532000176,174158,2001-01-10
04241806000122,1204569,2000-07-19
04245006000180,1179001,2001-01-17
04272315000149,167138,2008-09-03
04272315000220,167138,2008-09-03
04292531000156,1160588,2006-01-16
04317702000154,25376,2001-03-26
04322499000104,174079,2001-03-05
04325102000138,1178884,2001-03-12
04334550000106,1204506,2001-03-14
04334550000289,1204506,2001-03-14
04339221000140,1204496,2001-03-12
04367120000182,1204394,2001-04-04
04383627000120,1109429,2017-02-01
04392495000100,1204455,2001-04-18
04448893000193,1160669,2001-05-15
04448893000274,1160669,2001-05-15
04448893000355,1160669,2001-05-15
04448893000436,1160669,2001-05-15
04448893000517,1160669,2001-05-15
04448893000606,1160669,2001-05-15
04458767000110,1204500,2001-05-16
04464961000108,1160512,2003-09-16
04464961000299,1160512,2003-09-16
04465355000107,174478,2003-11-24
04488675000182,1204496,2001-06-04
04492793000164,1204465,2001-05-28
04493262000196,1204514,2012-11-14
04501693000157,1204426,2005-09-12
04503472000118,192102,2001-06-13
04530438000132,174537,2001-06-26
04551715000193,1178989,2001-06-28
04558597000145,174156,2005-09-12
04573461000104,1204478,2001-07-13
04583235000104,1141459,2001-07-30
04626403000100,174459,2001-08-10
04631265000149,1204576,2005-09-12
04670300000139,1204456,2015-12-22
04674895000109,1204425,2001-03-21
04702780000172,1141450,2016-11-03
04742626000124,1204476,2001-10-18
04771078000160,1160552,2010-09-01
04782174000104,1160599,2001-11-06
04805113000115,1204527,2015-10-09
04816712000134,173788,2007-03-26
04822411000113,1178984,2001-12-17
04822976000109,1141459,2001-12-20
04845177000140,1141421,2002-01-11
04845177000220,1141421,2002-01-11
04845177000301,1141421,2002-01-11
04865568000126,1160601,2002-01-17
04865568000207,1160601,2002-01-17
04865568000398,1160601,2002-01-17
04865568000479,1160601,2002-01-17
04865568000550,1160601,2002-01-17
04865568000630,1160601,2002-01-17
04874170000156,1160669,2002-01-10
04987987000130,174749,2002-04-08
04987987000211,174749,2002-04-08
05003472000111,1204354,2002-03-26
05013973000189,174305,2005-09-12
05016048000101,1178945,2003-03-19
05022973000145,1204457,2002-04-03
