id_proposicao_voz,casa,projeto_lei,titulo,descricao,status_proposicao,status_importante
11514014,camara,PL 2016/2015,Tipificação do terrorismo,"A votação do projeto de lei tipifica o crime de terrorismo. O texto aprovado tipifica o terrorismo como a prática, por um ou mais indivíduos, de atos por razões de xenofobia, discriminação ou preconceito de raça, cor, etnia ou religião, com a finalidade de provocar terror social ou generalizado, expondo a perigo pessoa, patrimônio, a paz pública ou a incolumidade pública. O texto prevê pena de reclusão de 12 a 30 anos em regime fechado, sem prejuízo das penas relativas a outras infrações decorrentes desse crime.",Ativa,Inativa
11594910,camara,PL 2516/2015,Lei da Migração,"Reconhece o migrante, independentemente de sua nacionalidade, como um sujeito de direitos, e promove o combate à xenofobia e a não-discriminação como princípios da política migratória brasileira.",Ativa,Inativa
1412728,camara,PL 4148/2008,Fim à Rotulagem de Alimentos Transgênicos,Põe fim à exigência do símbolo da transgenia nos rótulos de produtos comercializados com organismos geneticamente modificados (OGM).,Ativa,Inativa
120794,camara,PL 4302/1998,Terceirização total 2017,"O projeto aprovado permite a terceirização em todas as áreas (atividades-meio e atividades-fim) de atuação de uma empresa. Por exemplo, um hospital poderá terceirizar não apenas o serviço de limpeza (que já acontece hoje), mas a contratação de seus enfermeiros e médicos.",Ativa,Inativa
1267841,camara,PL 4330/2004,Terceirização,"Entre outros pontos: terceirizar a atividade-fim; redução de 24 meses para 12 meses a chamada quarentena, período que o ex-empregado de uma empresa deve cumprir a fim de poder prestar serviços à mesma empresa por uma contratada de terceirização.",Ativa,Inativa
1270277,camara,PL 4474/2004,Limitação do Valor de Transferências em Ano de Eleição,"Limita os valores das transferências voluntárias da União aos estados e municípios, e dos estados aos municípios, à média dos valores correspondentes às transferências realizadas nos três anos anteriores as eleições.",Ativa,Inativa
12080604,camara,PL 4850/2016,Tipificação de crimes eleitorais,"Prevê a tipificação do crime eleitoral de caixa dois, a criminalização do eleitor pela venda do voto e a transformação de corrupção que envolve valores superiores a 10 mil salários mínimos em crime hediondo.",Inativa,Inativa
12122076,camara,PL 6787/2016,Reforma Trabalhista,"Mudanças nas regras na legislação trabalhista, trazendo novas definições para pontos como férias, jornada de trabalho e remuneração. Alguns pontos da reforma da CLT: acordos coletivos na empresa entre patrão e funcionário poderão ser feitos independentemente do que prevê a lei trabalhista; mulher grávida ou lactante poderá trabalhar em ambientes considerados insalubre, desde que apresente um atestado médico que garanta que não há risco ao bebê nem à mãe; intervalo de almoço de no mínimo 30 minutos; fim da obrigatoriedade da contribuiçao sindical; novas modalidades de contratação: trabalho intermitente e home-office.",Ativa,Inativa
12156331,camara,PL 8843/2017,Regulamentação de Acordos de Leniência,Regulamentação e delimitação de acordos entre agentes infratores e mecanismos do Estado para cooperação em investigações e mitigação de danos ao bem público.,Ativa,Inativa
1544724,camara,PLP 177/2012,Normas de repasses ou parcerias entre o setor público e ONGs,Cria normas de finanças públicas para a realização de repasses ou termos de parceria entre órgãos e entidades do setor público com pessoas jurídicas de direito privado sem fins lucrativos (ONGs),Ativa,Inativa
11672065,camara,MPV 688/2015,Permissão ao Governo de cobrar outorgas no leilão de usinas hidrelétricas e o autoriza a apoiar hidrelétricas após perdas causadas pela seca,Dispõe sobre a repactuação do risco hidrológico de geração de energia elétrica; institui a bonificação pela outorga; e dá outras providências.,Ativa,Inativa
12122078,camara,MPV 759/2016,Regularização fundiária sobre a liquidação de créditos concedidos aos assentados da reforma agrária e sobre a regularização fundiária no âmbito da Amazônia Legal,"Dispõe sobre a regularização fundiária rural e urbana, sobre a liquidação de créditos concedidos aos assentados da reforma agrária e sobre a regularização fundiária no âmbito da Amazônia Legal; institui mecanismos para aprimorar a eficiência dos procedimentos de alienação de imóveis da União e dá outras providências.",Ativa,Inativa
12123843,camara,PEC 304/2017,Regulamentação das Vaquejadas,"Desconsidera cruéis as práticas desportivas que utilizem animais, desde que sejam manifestações culturais, registradas como bem de natureza imaterial integrante do patrimônio cultural brasileiro.",Ativa,Inativa
13733274,camara,PEC 182/2007,Coincidência reeleição,"As eleições municipais, estaduais e federais seriam no mesmo ano.",Inativa,Inativa
13733275,camara,PEC 182/2007,Distritão,"Neste sistema, Estados e o Distrito Federal são transformados em distritos eleitorais e os candidatos eleitos são aqueles que conseguem o maior número de votos em cada distrito (semelhante nas eleições para presidente, governador e prefeito, onde quem tem o maior número de votos é eleito). Atualmente o sistema em vigor é o Sistema Proporcional.",Inativa,Inativa
13733276,camara,PEC 182/2007,Fim da reeleição nos cargos executivos,Fim da reeleição em cargos executivos.,Inativa,Inativa
146249,camara,PL 6299/2002,Flexibilização das normas para uso de agrotóxicos,O Projeto de Lei 6299/2002 está em tramitação no Congresso e visa flexibilizar a legislação que compreende as normas para uso de agrotóxicos em plantações no país.,Inativa,Inativa
1351362,camara,PL 1057/2007,Infanticídio Indígena,Visa frear a suposta prática cultural de infanticídio e controle populacional em determinados territórios indígenas,Inativa,Inativa
12168064,camara,PDC 886/2018,Intervenção Federal no Rio de Janeiro,Autoriza o Exército Brasileiro a administrar a segurança pública e suas operações no estado do Rio de Janeiro até o final de 2018.,Inativa,Inativa
117338,camara,PL 1876/1999,Mudanças no Código Florestal,O projeto visou regulamentar e limitar os espaços e as maneiras disponíveis para exploração de vegetação nativa no país.,Inativa,Inativa
18659292,camara,MPV 664/2014,Pensão por morte,"Pelo texto aprovado, os cônjuges só poderão requerer pensão por morte do companheiro se o tempo de união estável ou casamento for de mais de dois anos e o segurado tiver contribuído para o INSS por, no mínimo, um ano e meio. Antes, não era exigido tempo mínimo de contribuição para que os dependentes tivessem direito ao benefício, mas era necessário que, na data da morte, o segurado estivesse contribuindo para a Previdência Social",Inativa,Inativa
13733277,camara,PEC 182/2007,Tempo mandato,"Mudança no tempo de mandato dos cargos do executivo (prefeito, governador e presidente) para 5 anos. Atualmente o mandato é de 4 anos.",Inativa,Inativa
1603566,camara,PLP 366/2013,Tributação serviços de internet,"Novas regras para o ISS (Imposto sobre Serviços). O texto-base fixa em 2% a alíquota do ISS (Imposto sobre Serviços), tentando acabar com a guerra fiscal entre os municípios. Além disso, O projeto inclui novos serviços na lista daqueles que podem ser tributados como aplicação de tatuagens, piercings e congêneres; vigilância e monitoramento de bens móveis; e disponibilização de conteúdos de áudio, vídeo, imagem e texto em páginas eletrônicas, exceto no caso de jornais, livros e periódicos.",Inativa,Inativa
13733278,camara,PEC 182/2007,Voto Facultativo,Não obrigatoriedade do voto.,Inativa,Inativa
13733279,camara,PEC 182/2007,Voto impresso,Impressão do voto.,Inativa,Inativa
216526,senado,PL 1292/1995,NA,NA,Inativa,Ativa
228692,senado,PL 4742/2001,NA,NA,Inativa,Ativa
2516111,senado,PEC 70/2011,NA,NA,Inativa,Ativa
2946494,senado,PEC 2/2015,NA,NA,Inativa,Ativa
22160860,senado,PLP 441/2017,NA,NA,Inativa,Ativa
22179189,senado,PL 10431/2018,NA,NA,Inativa,Ativa
22183943,senado,MPV 852/2018,NA,NA,Inativa,Ativa
22187087,senado,PL 5029/2019,NA,NA,Inativa,Ativa
22188301,senado,MPV 861/2018,NA,NA,Inativa,Ativa
22189858,senado,MPV 863/2018,NA,NA,Inativa,Ativa
22190237,senado,MPV 867/2018,NA,NA,Inativa,Ativa
22190355,senado,MPV 871/2019,NA,NA,Inativa,Ativa
22190880,senado,PDL 3/2019,NA,NA,Inativa,Ativa
22192459,senado,PEC 6/2019,Reforma da Previdência,NA,Inativa,Ativa
22193540,senado,PL 1321/2019,NA,NA,Inativa,Ativa
22193696,senado,PLN 2/2019,Alteração da Lei Orçamentária Anual,NA,Inativa,Ativa
22197160,senado,PEC 34/2019,NA,NA,Inativa,Ativa
22201529,senado,PL 2787/2019,NA,NA,Inativa,Ativa
22201532,senado,PL 2788/2019,NA,NA,Inativa,Ativa
22204056,senado,PL 2999/2019,NA,NA,Inativa,Ativa
22208720,senado,MPV 886/2019,NA,NA,Inativa,Ativa
22209381,senado,PL 3723/2019,NA,NA,Inativa,Ativa
22212949,senado,MPV 889/2019,NA,NA,Inativa,Ativa
22213191,senado,MPV 890/2019,NA,NA,Inativa,Ativa
22214046,senado,PLN 18/2019,NA,NA,Inativa,Ativa
22231930,senado,PLN 51/2019,NA,NA,Inativa,Ativa
1358126,camara,PL 1481/2007,NA,NA,Inativa,Inativa
11672576,camara,PL 2724/2015,NA,NA,Inativa,Inativa
12075448,camara,PL 4067/2015,NA,NA,Inativa,Inativa
12082511,camara,PL 5082/2016,NA,NA,Inativa,Inativa
12083376,camara,PDC 379/2016,NA,NA,Inativa,Inativa
12136580,camara,PL 7596/2017,NA,NA,Inativa,Inativa
12147241,camara,PL 8240/2017,NA,NA,Inativa,Inativa
12158536,camara,REQ 7516/2017 => PL 8240/2017,NA,NA,Inativa,Inativa
12158716,camara,PEC 372/2017,NA,NA,Inativa,Inativa
12163986,camara,REQ 7809/2017 => PL 7789/2017,NA,NA,Inativa,Inativa
12164719,camara,REQ 7844/2017 => PL 7843/2017,NA,NA,Inativa,Inativa
12165194,camara,PEC 391/2017,NA,NA,Inativa,Inativa
12166600,camara,PLP 461/2017,NA,NA,Inativa,Inativa
12178170,camara,PL 10372/2018,NA,NA,Inativa,Inativa
12186621,camara,PL 10985/2018,NA,NA,Inativa,Inativa
12190190,camara,MPV 866/2018 ,NA,NA,Inativa,Inativa
12190288,camara,MPV 870/2019 ,NA,NA,Inativa,Inativa
12192300,camara,REQ 482/2019 => PDL 3/2019,NA,NA,Inativa,Inativa
12193564,camara,PLP 55/2019,NA,NA,Inativa,Inativa
12194124,camara,PLN 4/2019 CN,NA,NA,Inativa,Inativa
12194357,camara,REQ 829/2019 => PL 888/2019,NA,NA,Inativa,Inativa
12194540,camara,REQ 844/2019 => PLP 55/2019,NA,NA,Inativa,Inativa
12197504,camara,PEC 48/2019,NA,NA,Inativa,Inativa
12198229,camara,PLN 5/2019 CN,NA,NA,Inativa,Inativa
12199310,camara,MPV 879/2019 ,NA,NA,Inativa,Inativa
12199763,camara,MPV 881/2019,NA,NA,Inativa,Inativa
12200900,camara,REQ 1442/2019 => PL 10940/2018,NA,NA,Inativa,Inativa
12202987,camara,PLN 6/2019 CN,NA,NA,Inativa,Inativa
12203106,camara,REQ 1464/2019,NA,NA,Inativa,Inativa
12207613,camara,PL 3261/2019,NA,NA,Inativa,Inativa
12209722,camara,REQ 1844/2019,NA,NA,Inativa,Inativa
12210523,camara,PL 3715/2019,NA,NA,Inativa,Inativa
12212362,camara,PL 4121/2019,NA,NA,Inativa,Inativa
12213200,camara,PL 4162/2019,NA,NA,Inativa,Inativa
12214151,camara,REQ 2070/2019,NA,NA,Inativa,Inativa
12214811,camara,REQ 2110/2019,NA,NA,Inativa,Inativa
12215146,camara,REQ 2144/2019,NA,NA,Inativa,Inativa
12215293,camara,REQ 2157/2019,NA,NA,Inativa,Inativa
12215381,camara,REQ 2164/2019,NA,NA,Inativa,Inativa
12216788,camara,REQ 2234/2019,NA,NA,Inativa,Inativa
12216799,camara,PDL 523/2019,NA,NA,Inativa,Inativa
12218078,camara,PLN 22/2019 CN,NA,NA,Inativa,Inativa
12218250,camara,PL 4805/2019,NA,NA,Inativa,Inativa
12219406,camara,REQ 2362/2019,NA,NA,Inativa,Inativa
12219905,camara,REQ 2381/2019,NA,NA,Inativa,Inativa
12222991,camara,REQ 2568/2019,NA,NA,Inativa,Inativa
12222992,camara,REQ 2569/2019,NA,NA,Inativa,Inativa
12224574,camara,REQ 2639/2019,NA,NA,Inativa,Inativa
12224760,camara,REQ 2660/2019,NA,NA,Inativa,Inativa
12226336,camara,REQ 2759/2019,NA,NA,Inativa,Inativa
12226362,camara,REQ 2763/2019,NA,NA,Inativa,Inativa
12227826,camara,REC 55/2019,NA,NA,Inativa,Inativa
12227917,camara,PL 5815/2019,NA,NA,Inativa,Inativa
12228665,camara,PLP 223/2019,NA,NA,Inativa,Inativa
12229812,camara,REQ 2964/2019,NA,NA,Inativa,Inativa
12229813,camara,REQ 2965/2019,NA,NA,Inativa,Inativa
12230573,camara,REQ 3024/2019,NA,NA,Inativa,Inativa
12232173,camara,REQ 3157/2019,NA,NA,Inativa,Inativa
12222884,camara,MPV 897/2019,NA,NA,Inativa,Inativa
2135251,senado,MSF 6/2019,NA,NA,Inativa,Ativa
2135087,senado,MSF 2/2019,NA,NA,Inativa,Ativa
2135250,senado,MSF 5/2019,NA,NA,Inativa,Ativa
2135252,senado,MSF 7/2019,NA,NA,Inativa,Ativa
2129807,senado,PEC 25/2017,NA,NA,Inativa,Ativa
2135603,senado,PLP 54/2019 (Substitutivo-CD),NA,NA,Inativa,Ativa
2134910,senado,PLC 135/2018,NA,NA,Inativa,Ativa
2135088,senado,MSF 3/2019,NA,NA,Inativa,Ativa
2123903,senado,PEC 141/2015,NA,NA,Inativa,Ativa
2135983,senado,PEC 34/2019,NA,NA,Inativa,Ativa
2121353,senado,PEC 61/2015,NA,NA,Inativa,Ativa
2136173,senado,PL 1321/2019,NA,NA,Inativa,Ativa
2127414,senado,PEC 57/2016,NA,NA,Inativa,Ativa
2117839,senado,PLS 188/2014,NA,NA,Inativa,Ativa
2135064,senado,MPV 870/2019,NA,NA,Inativa,Ativa
2136357,senado,MSF 12/2019,NA,NA,Inativa,Ativa
2135079,senado,MPV 871/2019,NA,NA,Inativa,Ativa
2116081,senado,PLS 26/2014,NA,NA,Inativa,Ativa
2132847,senado,PLS 163/2018,NA,NA,Inativa,Ativa
2137178,senado,PEC 91/2019,NA,NA,Inativa,Ativa
2136635,senado,PDL 233/2019,NA,NA,Inativa,Ativa
2136706,senado,MSF 15/2019,NA,NA,Inativa,Ativa
2136707,senado,MSF 16/2019,NA,NA,Inativa,Ativa
2136995,senado,MSF 22/2019,NA,NA,Inativa,Ativa
2137061,senado,MSF 24/2019,NA,NA,Inativa,Ativa
2137117,senado,MSF 26/2019,NA,NA,Inativa,Ativa
2128634,senado,PLC 27/2017,NA,NA,Inativa,Ativa
2130029,senado,PLS 224/2017,NA,NA,Inativa,Ativa
2137060,senado,MSF 23/2019,NA,NA,Inativa,Ativa
2135594,senado,PEC 17/2019,NA,NA,Inativa,Ativa
2137515,senado,MSF 33/2019,NA,NA,Inativa,Ativa
2137116,senado,MSF 25/2019,NA,NA,Inativa,Ativa
2137154,senado,MSF 27/2019,NA,NA,Inativa,Ativa
2134583,senado,PLC 115/2018,NA,NA,Inativa,Ativa
2137415,senado,MSF 30/2019,NA,NA,Inativa,Ativa
2137417,senado,MSF 31/2019,NA,NA,Inativa,Ativa
2137546,senado,MSF 34/2019,NA,NA,Inativa,Ativa
2137676,senado,MSF 36/2019,NA,NA,Inativa,Ativa
2137677,senado,MSF 37/2019,NA,NA,Inativa,Ativa
2137421,senado,MSF 32/2019,NA,NA,Inativa,Ativa
2137547,senado,MSF 35/2019,NA,NA,Inativa,Ativa
2137438,senado,PEC 98/2019,NA,NA,Inativa,Ativa
2138071,senado,MSF 44/2019,NA,NA,Inativa,Ativa
2138062,senado,MSF 42/2019,NA,NA,Inativa,Ativa
2138068,senado,MSF 43/2019,NA,NA,Inativa,Ativa
2138688,senado,MSF 53/2019,NA,NA,Inativa,Ativa
2138730,senado,MSF 56/2019,NA,NA,Inativa,Ativa
2138733,senado,MSF 58/2019,NA,NA,Inativa,Ativa
2137999,senado,PEC 6/2019,NA,NA,Inativa,Ativa
2138734,senado,MSF 59/2019,NA,NA,Inativa,Ativa
2138728,senado,MSF 54/2019,NA,NA,Inativa,Ativa
2138729,senado,MSF 55/2019,NA,NA,Inativa,Ativa
2138732,senado,MSF 57/2019,NA,NA,Inativa,Ativa
2130919,senado,NA,NA,NA,Inativa,Inativa
2129887,senado,NA,NA,NA,Inativa,Inativa
2136708,senado,NA,NA,NA,Inativa,Inativa
2137179,senado,NA,NA,NA,Inativa,Inativa
2137464,senado,NA,NA,NA,Inativa,Inativa
2137072,senado,NA,NA,NA,Inativa,Inativa
2137073,senado,NA,NA,NA,Inativa,Inativa
2137077,senado,NA,NA,NA,Inativa,Inativa
2137056,senado,NA,NA,NA,Inativa,Inativa
2137808,senado,NA,NA,NA,Inativa,Inativa
2136913,senado,NA,NA,NA,Inativa,Inativa
2137153,senado,NA,NA,NA,Inativa,Inativa
2135775,senado,NA,NA,NA,Inativa,Inativa
2136534,senado,NA,NA,NA,Inativa,Inativa
2136533,senado,NA,NA,NA,Inativa,Inativa
2137361,senado,NA,NA,NA,Inativa,Inativa
2135772,senado,NA,NA,NA,Inativa,Inativa
2137114,senado,NA,NA,NA,Inativa,Inativa
2137097,senado,NA,NA,NA,Inativa,Inativa
2135757,senado,NA,NA,NA,Inativa,Inativa
2136411,senado,NA,NA,NA,Inativa,Inativa
2122909,senado,NA,NA,NA,Inativa,Inativa
2137305,senado,NA,NA,NA,Inativa,Inativa
2138564,senado,NA,NA,NA,Inativa,Inativa
2138202,senado,NA,NA,NA,Inativa,Inativa
2139277,senado,NA,NA,NA,Inativa,Inativa
2138203,senado,NA,NA,NA,Inativa,Inativa
2139005,senado,NA,NA,NA,Inativa,Inativa
2138567,senado,NA,NA,NA,Inativa,Inativa
2138849,senado,NA,NA,NA,Inativa,Inativa
2139101,senado,NA,NA,NA,Inativa,Inativa
2138572,senado,NA,NA,NA,Inativa,Inativa
2118042,senado,NA,NA,NA,Inativa,Inativa
2139014,senado,NA,NA,NA,Inativa,Inativa
2136775,senado,NA,NA,NA,Inativa,Inativa
2138555,senado,NA,NA,NA,Inativa,Inativa
2138845,senado,NA,NA,NA,Inativa,Inativa
2138846,senado,NA,NA,NA,Inativa,Inativa
2138565,senado,NA,NA,NA,Inativa,Inativa
2137315,senado,NA,NA,NA,Inativa,Inativa
2138848,senado,NA,NA,NA,Inativa,Inativa
2136532,senado,NA,NA,NA,Inativa,Inativa
2139098,senado,NA,NA,NA,Inativa,Inativa
2139097,senado,NA,NA,NA,Inativa,Inativa
2138566,senado,NA,NA,NA,Inativa,Inativa
2138847,senado,NA,NA,NA,Inativa,Inativa
2139544,senado,NA,NA,NA,Inativa,Inativa
2139897,senado,NA,NA,NA,Inativa,Inativa
2137122,senado,NA,NA,NA,Inativa,Inativa
2138177,senado,NA,NA,NA,Inativa,Inativa
2124513,senado,NA,NA,NA,Inativa,Inativa
2141114,senado,NA,NA,NA,Inativa,Inativa
2139427,senado,NA,NA,NA,Inativa,Inativa
2141109,senado,NA,NA,NA,Inativa,Inativa
2141110,senado,NA,NA,NA,Inativa,Inativa
2141270,senado,NA,NA,NA,Inativa,Inativa
2141219,senado,NA,NA,NA,Inativa,Inativa
2141174,senado,NA,NA,NA,Inativa,Inativa
2141306,senado,NA,NA,NA,Inativa,Inativa
2141363,senado,NA,NA,NA,Inativa,Inativa
2139736,senado,NA,NA,NA,Inativa,Inativa
2141321,senado,NA,NA,NA,Inativa,Inativa
2141443,senado,NA,NA,NA,Inativa,Inativa
2141614,senado,NA,NA,NA,Inativa,Inativa
2141674,senado,NA,NA,NA,Inativa,Inativa
2139882,senado,NA,NA,NA,Inativa,Inativa
2139928,senado,NA,NA,NA,Inativa,Inativa
2141571,senado,NA,NA,NA,Inativa,Inativa
2141814,senado,NA,NA,NA,Inativa,Inativa
2140367,senado,NA,NA,NA,Inativa,Inativa
2141837,senado,NA,NA,NA,Inativa,Inativa
2141823,senado,NA,NA,NA,Inativa,Inativa
2141819,senado,NA,NA,NA,Inativa,Inativa
2141815,senado,NA,NA,NA,Inativa,Inativa
2141816,senado,NA,NA,NA,Inativa,Inativa
2140100,senado,NA,NA,NA,Inativa,Inativa
2140385,senado,NA,NA,NA,Inativa,Inativa
2141962,senado,NA,NA,NA,Inativa,Inativa
2141354,senado,NA,NA,NA,Inativa,Inativa
2141193,senado,NA,NA,NA,Inativa,Inativa
2141561,senado,NA,NA,NA,Inativa,Inativa
2140394,senado,NA,NA,NA,Inativa,Inativa
2142089,senado,NA,NA,NA,Inativa,Inativa
2141756,senado,NA,NA,NA,Inativa,Inativa
2141437,senado,NA,NA,NA,Inativa,Inativa
2140424,senado,NA,NA,NA,Inativa,Inativa
2140423,senado,NA,NA,NA,Inativa,Inativa
2140392,senado,NA,NA,NA,Inativa,Inativa
2141439,senado,NA,NA,NA,Inativa,Inativa
2141840,senado,NA,NA,NA,Inativa,Inativa
2142088,senado,NA,NA,NA,Inativa,Inativa
2141436,senado,NA,NA,NA,Inativa,Inativa
2142091,senado,NA,NA,NA,Inativa,Inativa
2140096,senado,NA,NA,NA,Inativa,Inativa
2142022,senado,NA,NA,NA,Inativa,Inativa
2142136,senado,NA,NA,NA,Inativa,Inativa
2141375,senado,NA,NA,NA,Inativa,Inativa
2141368,senado,NA,NA,NA,Inativa,Inativa
2142016,senado,NA,NA,NA,Inativa,Inativa
2141346,senado,NA,NA,NA,Inativa,Inativa
2140534,senado,NA,NA,NA,Inativa,Inativa
2140850,senado,NA,NA,NA,Inativa,Inativa
2141944,senado,NA,NA,NA,Inativa,Inativa
2141309,senado,NA,NA,NA,Inativa,Inativa
2142085,senado,NA,NA,NA,Inativa,Inativa
2141308,senado,NA,NA,NA,Inativa,Inativa
2142691,senado,NA,NA,NA,Inativa,Inativa
2141111,senado,NA,NA,NA,Inativa,Inativa
2141415,senado,NA,NA,NA,Inativa,Inativa
2143101,senado,NA,NA,NA,Inativa,Inativa
2141349,senado,NA,NA,NA,Inativa,Inativa
2142263,senado,NA,NA,NA,Inativa,Inativa
2141417,senado,NA,NA,NA,Inativa,Inativa
2141475,senado,NA,NA,NA,Inativa,Inativa
2141297,senado,NA,NA,NA,Inativa,Inativa
2142077,senado,NA,NA,NA,Inativa,Inativa
2143551,senado,NA,NA,NA,Inativa,Inativa
2143258,senado,NA,NA,NA,Inativa,Inativa
2143611,senado,NA,NA,NA,Inativa,Inativa
2141753,senado,NA,NA,NA,Inativa,Inativa
2142693,senado,NA,NA,NA,Inativa,Inativa
2143597,senado,NA,NA,NA,Inativa,Inativa
2142690,senado,NA,NA,NA,Inativa,Inativa
2141863,senado,NA,NA,NA,Inativa,Inativa
2143646,senado,NA,NA,NA,Inativa,Inativa
2142442,senado,NA,NA,NA,Inativa,Inativa
2140005,senado,NA,NA,NA,Inativa,Inativa
2143025,senado,NA,NA,NA,Inativa,Inativa
2140065,senado,NA,NA,NA,Inativa,Inativa
2141067,senado,NA,NA,NA,Inativa,Inativa
2142946,senado,NA,NA,NA,Inativa,Inativa
2142947,senado,NA,NA,NA,Inativa,Inativa
2142948,senado,NA,NA,NA,Inativa,Inativa
2142955,senado,NA,NA,NA,Inativa,Inativa
2143383,senado,NA,NA,NA,Inativa,Inativa
2144630,senado,NA,NA,NA,Inativa,Inativa
2142953,senado,NA,NA,NA,Inativa,Inativa
