id_proposicao,id_votacao,objeto_votacao,datetime,codigo_sessao
2192459,168611457,REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,2019-07-10T14:57:00Z,16861
2192459,168600029,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO,2019-07-09T00:29:00Z,16860
2192459,168611551,VOTAÇÃO DA ADMISSIBILIDADE EM GLOBO DOS DESTAQUES SIMPLES,2019-07-10T15:51:00Z,16861
2192459,168602248,RECURSO CONTRA O INDEFERIMENTO AO REQ.  DE DISCUSSÃO POR PARTES,2019-07-09T22:48:00Z,16860
2192459,168611251,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-10T12:51:00Z,16861
2192459,168621933,SUBSTITUTIVO DA COMISSÃO ESPECIAL,2019-07-10T19:33:00Z,16862
2192459,168621652,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-10T16:52:00Z,16862
2193540,167681805,DTQ 5 - NOVO - EMENDA  Nº 4,2019-04-02T18:05:00Z,16768
2193540,167881734,DTQ. 3 - PT - EMENDA Nº 1 DO SENADO FEDERAL,2019-04-24T17:34:00Z,16788
2193696,168521846,SUBSTITUTIVO,2019-07-03T18:46:00Z,16852
2197160,168281347,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,2019-06-05T13:47:00Z,16828
2197160,168281454,"DTQ 3 - PDT - EXP: ""...DE INICIATIVA DO PRESIDENTE...""",2019-06-05T14:54:00Z,16828
2197160,168281500,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,2019-06-05T15:00:00Z,16828
2197160,168281418,DTQ 1 - PSOL - § 1º DO ART 167,2019-06-05T14:18:00Z,16828
2197160,168281357,DTQ 2 - PRB - § 17 DO ART. 166,2019-06-05T13:57:00Z,16828
2201529,168431743,REQUERIMENTO DE RETIRADA DE PAUTA,2019-06-25T17:43:00Z,16843
2201532,168442013,SUBSTITUTIVO DA CCJ,2019-06-25T20:13:00Z,16844
2201532,168431941,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 2 SESSÕES,2019-06-25T19:41:00Z,16843
46249,99999,NA,NA,NA
