cnpj,id_atividade_economica,cnae_tipo
03083176000223,11,cnae_fiscal
03095350000177,8,cnae_fiscal
03123082000150,11,cnae_fiscal
03123082000230,11,cnae_fiscal
03123082000311,11,cnae_fiscal
03153143000121,6,cnae_fiscal
03165946000104,47,cnae_fiscal
03188076000180,11,cnae_fiscal
03195048000190,6,cnae_fiscal
03195048000190,6,cnae_secundario
03195048000190,10,cnae_secundario
03195048000190,39,cnae_secundario
03199269000137,39,cnae_fiscal
03199269000137,5,cnae_secundario
03199269000137,39,cnae_secundario
03220504000105,2,cnae_fiscal
03231018000192,10,cnae_fiscal
03231018000192,14,cnae_secundario
03275216000158,11,cnae_fiscal
03275216000239,11,cnae_fiscal
03275216000310,11,cnae_fiscal
03275216000310,11,cnae_secundario
03287602000160,43,cnae_fiscal
03287602000160,43,cnae_secundario
03287602000160,11,cnae_secundario
03299740000169,3,cnae_fiscal
03299740000169,7,cnae_secundario
03299740000169,18,cnae_secundario
03301505000184,45,cnae_fiscal
03301505000184,45,cnae_secundario
03305987000140,5,cnae_fiscal
03323188000105,2,cnae_fiscal
03323188000105,2,cnae_secundario
03358547000151,11,cnae_fiscal
03358547000151,11,cnae_secundario
03359641000125,4,cnae_fiscal
03359641000125,26,cnae_secundario
03359641000125,11,cnae_secundario
03359641000125,47,cnae_secundario
03359641000125,6,cnae_secundario
03359641000125,5,cnae_secundario
03359641000125,4,cnae_secundario
03429606000135,11,cnae_fiscal
03429606000216,11,cnae_fiscal
03429606000305,11,cnae_fiscal
03449628000167,43,cnae_fiscal
03449628000167,43,cnae_secundario
03460745000121,43,cnae_fiscal
03465317000191,4,cnae_fiscal
03465317000191,5,cnae_secundario
03465317000191,39,cnae_secundario
03465317000191,4,cnae_secundario
03465317000191,11,cnae_secundario
03465317000272,5,cnae_fiscal
03465317000272,11,cnae_secundario
03465317000272,4,cnae_secundario
03465317000353,4,cnae_fiscal
03466623000142,14,cnae_fiscal
03466623000142,14,cnae_secundario
03466623000142,10,cnae_secundario
03466623000223,14,cnae_fiscal
03466623000223,14,cnae_secundario
03466623000223,6,cnae_secundario
03466623000223,10,cnae_secundario
03479039000121,43,cnae_fiscal
03485228000107,14,cnae_fiscal
03485228000107,14,cnae_secundario
03485228000298,14,cnae_fiscal
03485228000298,14,cnae_secundario
03485228000379,14,cnae_fiscal
03485228000379,14,cnae_secundario
03485283000105,14,cnae_fiscal
03496110000184,5,cnae_fiscal
03503793000150,13,cnae_fiscal
03503793000150,10,cnae_secundario
03525153000140,11,cnae_fiscal
03525153000140,11,cnae_secundario
03525153000221,11,cnae_fiscal
03525153000221,11,cnae_secundario
03555476000187,13,cnae_fiscal
