id_parlamentar_voz,id_atividade_economica,total_por_atividade,proporcao_doacao,indice_ligacao_atividade_economica
1141391,18,240050,0.10446048671667743,0.6161973514500046
1141398,18,88400,0.06396018007048108,0.5988400771730633
1141405,8,366261.15,0.20964910136197704,0.6612781862979901
1141405,10,447019.89,0.2558756729438266,0.6810895741187828
1141405,18,376261.15,0.21537313464702454,0.6637313434201533
1141408,8,107000,0.09790465733369934,0.6133877102858711
1141408,9,103500,0.0947021685424101,0.6120152150896043
1141408,10,102500,0.0937871717448989,0.6116230736049566
1141408,12,97000,0.08875468935858724,0.6094662954393945
1141408,14,98500,0.09012718455485406,0.6100545076663659
1141408,18,48500,0.04437734467929362,0.590447433433983
1141408,19,47000,0.04300484948302681,0.5898592212070115
1141421,7,0,0,0.5714285714285714
1141421,9,4500,0.0022130061172652765,0.5723770026216851
1141421,10,0,0,0.5714285714285714
1141422,16,173500,0.13332276382223562,0.6285668987809582
1141428,4,39000,0.028007664045915332,0.5834318560196781
1141428,5,20720,0.014879969205932455,0.5778057010882567
1141428,6,145848,0.10474004578893999,0.6163171624809742
1141428,7,83720,0.060123118818564913,0.5971956223508136
1141428,8,121720,0.08741263763253371,0.6088911304139429
1141428,10,64000,0.04596129484457901,0.5911262692191054
1141428,11,83720,0.060123118818564913,0.5971956223508136
1141428,16,23848,0.017126327491461254,0.578768426067769
1141431,7,949675,0.4694150520265157,0.7726064508685067
1141431,8,499675,0.24698445902161184,0.6772790538664051
1141431,9,959803,0.47442122323974606,0.7747519528170341
1141431,18,333000,0.16459863882362885,0.6419708452101266
1141434,5,3400,0.0020068468893873217,0.5722886486668803
1141450,9,756497,0.39448969189914784,0.7404955822424919
1141450,15,185000,0.09647175468156828,0.6127736091492436
1141458,2,140150,0.061939173433552666,0.5979739314715226
1141458,8,202150,0.08934002076056134,0.6097171517545262
1141458,11,202150,0.08934002076056134,0.6097171517545262
1141458,15,140150,0.061939173433552666,0.5979739314715226
1141459,2,0,0,0.5714285714285714
1141459,7,200000,0.08117970345054329,0.6062198729073758
1141459,8,150000,0.060884777587907474,0.5975220475376747
1141459,9,150000,0.060884777587907474,0.5975220475376747
1141459,11,100000,0.040589851725271645,0.5888242221679736
1141459,12,150000,0.060884777587907474,0.5975220475376747
1141459,16,200000,0.08117970345054329,0.6062198729073758
1141459,18,50000,0.020294925862635822,0.5801263967982725
1141464,9,120115.72,0.11679570059823563,0.6214838716849582
1141464,18,120115.72,0.11679570059823563,0.6214838716849582
1141470,5,20000,0.016902415929918525,0.5786724639699651
1141508,19,623,0.0010546594618020288,0.5718805683407723
1141518,7,42000,0.04168361014442904,0.5892929757761839
1141523,6,127000,0.11852417726162374,0.6222246473978387
1141523,18,66000,0.06159524172651313,0.5978265321685056
1141531,7,247899.16,0.13954395226929941,0.6312331224011283
1141531,9,263699.16000000003,0.14843786883543436,0.6350448009294719
1141531,10,226399.16,0.12744147086601457,0.6260463446568634
1141531,11,258899.16,0.14573591949888703,0.6338868226423802
1141531,12,107099.16,0.06028677173057812,0.5972657593131049
1141531,16,148899.16,0.08381624720301101,0.6073498202298618
1141531,18,168099.16,0.09462404454920027,0.6119817333782287
1141553,10,625271,0.2819627465428312,0.6922697485183562
1141553,14,405636,0.1829194711679382,0.6498226305005449
1141555,5,20000,0.016086345065775054,0.5783227193139036
1141555,6,10000,0.008043172532887527,0.5748756453712376
1141555,9,10000,0.008043172532887527,0.5748756453712376
1141555,12,10000,0.008043172532887527,0.5748756453712376
1141555,18,0,0,0.5714285714285714
1143084,6,1170014.9,0.6007096888987757,0.8288755809566182
1143084,8,1167014.9,0.5991694272604869,0.828215468825923
1143084,10,1167014.9,0.5991694272604869,0.828215468825923
1143084,11,1083273.0399999998,0.5561746357681693,0.8097891296149297
1143084,14,1167014.9,0.5991694272604869,0.828215468825923
1143632,7,63000,0.05871279193304878,0.5965911965427352
1143632,8,18000,0.016775083409442507,0.5786178928897611
1146307,10,699001.25,0.2862629366402434,0.6941126871315328
1146307,18,218500,0.08948260343725163,0.6097782586159649
1146788,6,0,0,0.5714285714285714
1150418,5,0,0,0.5714285714285714
