id,resposta,id_parlamentar_voz,pergunta_id
2805,0,1198963,0
2838,0,1178904,0
2846,0,1204449,0
2862,0,1146307,0
2869,0,1204467,0
2873,0,1204472,0
2879,0,1198783,0
2887,0,1178908,0
2888,0,1204505,0
2890,0,174079,0
2891,0,174352,0
2896,0,1178907,0
2897,0,1141335,0
2907,0,1134812,0
2918,0,1204498,0
2922,0,1204496,0
2942,0,1204500,0
2945,0,174075,0
2948,0,174077,0
2953,0,167312,0
2955,0,1204497,0
2971,0,1204495,0
2984,0,1178909,0
2986,0,1204538,0
2999,0,1204499,0
3001,0,1160602,0
3002,0,1178906,0
3003,0,1178911,0
3017,0,1135054,0
3045,0,1160527,0
3052,0,1204420,0
3059,0,1141490,0
3065,0,174040,0
3066,0,1204394,0
3080,0,1160674,0
3084,0,1160635,0
3088,0,174044,0
3095,0,1204421,0
3097,0,1204393,0
3102,0,174043,0
3117,0,174467,0
3147,0,1195143,0
3149,0,1141422,0
3204,0,1178919,0
3213,0,1204426,0
3222,0,1178917,0
3223,0,172442,0
3230,0,1178915,0
3236,0,1204422,0
3237,0,192699,0
3257,0,1141523,0
3269,0,1204423,0
3272,0,174419,0
3287,0,1204427,0
3296,0,1204425,0
3297,0,174471,0
3301,0,1178923,0
3308,0,1204428,0
3312,0,174439,0
3315,0,174478,0
3321,0,1178916,0
3332,0,1160528,0
3356,0,1178914,0
3363,0,1178918,0
3381,0,174474,0
3386,0,1178921,0
3396,0,1141421,0
3417,0,173801,0
3429,0,1178922,0
3433,0,1160642,0
3451,0,1178920,0
3453,0,1204429,0
3464,0,1167614,0
3486,0,1141431,0
3503,0,174319,0
3513,0,174459,0
3519,0,1204430,0
3530,0,1187008,0
3542,0,167138,0
3549,0,1151965,0
3550,0,1159237,0
3553,0,1191923,0
3564,0,1188097,0
3568,0,1178925,0
3574,0,1204431,0
3576,0,1178924,0
3593,0,1204432,0
3611,0,174317,0
3621,0,1178926,0
3626,0,197707,0
3634,0,1204384,0
3641,0,173772,0
3644,0,1160578,0
3646,0,173460,0
3654,0,1205865,0
3668,0,173463,0
3684,0,174383,0
3703,0,1180545,0
3705,0,1204418,0
3720,0,1204411,0
3723,0,1204414,0
3727,0,1160592,0
3741,0,1204400,0
3751,0,1204387,0
3760,0,1204396,0
3777,0,1178933,0
3787,0,1162332,0
3791,0,174385,0
3792,0,1204399,0
3806,0,173778,0
3827,0,1178931,0
3829,0,1204395,0
3833,0,1178927,0
3837,0,1141454,0
3841,0,1107283,0
3844,0,174378,0
3846,0,1193726,0
3847,0,1178935,0
3870,0,1178832,0
3879,0,173788,0
3883,0,1178929,0
3905,0,1160663,0
3907,0,1132504,0
3917,0,1204398,0
3935,0,1160621,0
3966,0,1178930,0
3990,0,1204397,0
4001,0,1178928,0
4004,0,1178934,0
4032,0,1205548,0
4035,0,1178944,0
4040,0,1204478,0
4054,0,174856,0
4072,0,1204433,0
4098,0,1189593,0
4104,0,174848,0
4118,0,1191945,0
4127,0,1141430,0
4135,0,1204459,0
4144,0,1204456,0
4164,0,174172,0
4172,0,172912,0
4186,0,1122158,0
4202,0,1178936,0
4208,0,1193165,0
