id_parlamentar_voz,id_partido_atual,id_partido_eleicao,total_receita_partido,total_receita_candidato,indice_investimento_partido
1160600,36769,36769,940250,1451250,0.0175952475762009
1178847,36835,36852,NA,NA,NA
1159237,36844,36844,905000,969720,0.00717586462028929
174378,36786,36786,500000,614133.2,0.0306651650318716
1160581,36779,36779,417886.75,435901.75,0.0218153915609967
1193165,36899,36899,1507325.61,1508032.48,0.0211186422790809
174090,37903,37903,1897386,2029855.21,0.0139826378734999
174459,37903,36832,1300000,1390743.35,0.015167333842705
173655,37904,37904,567580,1375072.91,0.0201570037849139
1160665,37904,37904,905400,1111088.77,0.0346266945605121
1160512,37904,37904,1365372.24,1932932.48,0.0893352056441627
169871,36896,36896,840000,965750.47,0.038912146122859
1178975,36899,36899,1600000,1602000,0.0173982978152659
1178834,36832,36852,NA,NA,NA
173701,36844,36844,1000000,1049233.54,0.0181653288536745
174535,36845,36845,2446652.75,2457816.25,0.05987210830241
174040,36899,36899,1500000,1528700,0.0107137625808643
1178915,36835,36835,919250,984060,0.0113304274198423
1141335,36844,36844,900000,923100,0.00648165019466255
173437,36899,36899,1540000,2021551.21,0.0167458616471934
1178948,37903,37903,1287550,1335286,0.00978639569356462
1178906,37903,37903,1593372,1616602,0.0088558715168639
1141513,36769,36769,1142264,1493433,0.0232747432900975
1160538,36844,36844,900000,1132680.1,0.00915706983471061
174650,36769,36852,NA,NA,NA
174052,37906,37906,2100000,2130630,0.020118592440291
1160589,36835,36835,1807476.59,2507376.59,0.0295810935280358
1178999,37906,36852,NA,NA,NA
1141394,36835,36835,1800000,2866807.46,0.00386047543746464
1178976,36835,36852,NA,NA,NA
1178938,37907,36852,NA,NA,NA
1178865,36898,36898,630000,1203233,0.0461765691526973
1105112,36899,36899,1500000,1515000,0.0097513998579255
193083,37903,37903,1783274,2268584,0.0146121909765624
1178853,36844,36852,NA,NA,NA
1178891,36835,36835,1201126.03,1435741.47,0.0161195005538354
1194261,36896,36896,600000,943361.9,0.026634524604877
1178829,37906,37906,2167132.75,2192352.75,0.0240790239260139
1178924,37906,37906,1150000,1492954.78,0.00718630646890053
1205303,36899,36899,1070000,1217500,0.0096275698775915
1178958,36793,36793,287886.91,306989.91,0.0464566739226064
1141401,36899,36899,1591600,1883972.35,0.00965020953832466
174474,36786,36852,NA,NA,NA
1178962,36815,36815,890594.35,902764.35,0.0103543302022457
1178993,36769,36769,740000,1028888.15,0.011381793243766
174163,36837,36852,NA,NA,NA
1178900,36899,36852,NA,NA,NA
174651,36769,36769,1282200,1708409.6,0.0261260757990823
174262,36835,36835,0,1818666.48,0
173934,36835,36852,NA,NA,NA
1141398,36844,36844,902796.23,1382109.93,0.0127280204195462
1164360,37905,37905,1188128.11,1244707.48,0.0555920334027412
1178876,36835,36835,1000000,1266100,0.0112762578019863
173568,36899,36852,NA,NA,NA
1141405,36899,36899,1300000,1747019.89,0.0108256421149727
172912,36844,36844,900000,1128000,0.016348795968307
173441,36815,36815,2028000,2157533.84,0.0326713541559293
1160576,36815,36815,1767211.51,2259556.42,0.00471188683137166
1178838,36832,36832,1300000,1348100,0.0113586431444277
173720,36834,36852,NA,NA,NA
174171,36839,36839,246773.39,405379.9,0.00497225559083511
1141439,36786,36786,500000,609701.48,0.0474743350574333
1141440,36779,36779,1244438.96,1323603.96,0.0609148846260071
1178928,37906,37906,2418870,2499683.32,0.0223678604629793
1178841,36793,36852,NA,NA,NA
1178939,36763,36763,1087815,1983941.5,0.0699610864075865
174537,37903,37903,2052632,2235342,0.0168193170475222
1141408,36815,36815,945000,1092900,0.00939678919832369
174230,36899,36852,NA,NA,NA
1178848,36835,36835,2129609.6,2131609.6,0.0236065643308272
1205302,36815,36852,NA,NA,NA
1178963,37903,37903,1890692,2400907.95,0.0148458767153573
1194258,36832,36852,NA,NA,NA
193472,36845,36845,2347000,2361363.5,0.0982612658950383
1141411,36786,36786,580000,1840819,0.0353664009058207
174467,36786,36786,570000,582517.2,0.0275902467826733
1178892,36896,36896,960000,2499915.55,0.0484220867198577
174060,36779,36779,1361897.64,1681998.94,0.074192683167436893
1178916,37905,37905,1302797.57,1450662.89,0.0599478765386732
1144523,36899,36852,NA,NA,NA
1160528,36832,36832,1320973.91,1356223.91,0.0206384327217112
162881,36835,36835,1050000,1325362,0.0116283781981944
1160552,36834,36834,1050000,1051478.47,0.0160461996864803
173891,36899,36899,1500000,1540304.5,0.0117712051115445
1141412,37906,37906,1450000,1450000,0.00994420013440774
1101309,36779,36852,NA,NA,NA
1141413,36844,36852,NA,NA,NA
1196357,36815,36815,795000,805000,0.016502070999441
1178908,36834,36834,915358.8,941876.87,0.0099015530188845
1178893,37906,37906,1490000,1525805.5,0.0135756643138121
1160646,36837,36852,NA,NA,NA
1164359,36837,36837,420000,495539.25,0.0611885204161966
174172,36845,36845,1400000,1406628.25,0.0586134521742879
1185500,36786,36786,500000,538366,0.0227423450107558
1160588,36834,36834,1063168.97,1562760.96,0.0184613627125985
1178929,36896,36896,504760,508200,0.0258401061980308
173768,37903,36852,NA,NA,NA
1160599,37903,37903,2341369,2367961.4,0.0208897621926018
1143632,36834,36834,885000,1073020,0.012681527841151
1160758,36835,36835,1002000,1937791.19,0.0134471647033934
1178940,37906,36852,NA,NA,NA
1160643,37904,37904,1248000,1291267.32,0.0372842359271704
1178830,36896,36896,700000,905081.5,0.0430575038298921
1141385,36835,36852,NA,NA,NA
1178994,36899,36899,2360000,2468800,0.01588476530641
173447,36899,36852,NA,NA,NA
173793,36899,36899,1300000,1505321.73,0.0108256421149727
1141417,37906,37906,1800000,1851184,0.0183972555094154
1160578,36834,36834,1233350,1782681.35,0.0217362637345386
1134812,36839,36839,538946.99,740751.79,0.0473346550421881
174655,36835,36835,501126.03,1262786.03,0.00672527371513741
192346,36837,36837,65142.56,218330.58,0.0137740618936482
174173,36899,36852,NA,NA,NA
1178977,36835,36835,502250,842250,0.00821980450903431
1141421,37903,37903,2028933.15,2033433.15,0.0166257414328718
1141422,36769,36769,1090476.36,1301353.16,0.0177982452550724
174075,36899,36899,2000000,2074730,0.0111093519768293
1160532,36769,36769,664400,927877.84,0.0165092207443815
1181316,36832,36832,1300000,1310008,0.0223152028389573
1178883,37905,37905,1268879.16,1329479.16,0.00944010478494323
1178854,36769,36769,1100250,1344750,0.0205893870201703
1132504,36844,36844,894418,967474.39,0.0104947044100405
1160575,36844,36844,1009000,1094402.13,0.00994859500612782
199654,37907,37907,150710.11,150710.11,0.0170683053225991
1171782,36779,36852,NA,NA,NA
1160640,36763,36763,1067405.48,1135562.6,0.0436898195829622
1160649,37903,37903,2383962.2,2395758.4,0.00344154429133203
1202915,37903,36852,NA,NA,NA
1178871,37903,37903,1044203,1145012.38,0.00668402917339941
1178828,36851,36852,NA,NA,NA
1178930,36834,36834,1087715,1748172.46,0.0191696275250445
1178953,36834,36834,618973.05,791089.05,0.00714908164958888
1178904,37903,37903,1893379.83,2267673.28,0.0114867178658854
1178941,36896,36896,720000,879100,0.0570631107554612
1146829,36844,36852,NA,NA,NA
1141428,36834,36834,1035000,1392476,0.0153107635120696
1178905,36769,36852,NA,NA,NA
1178969,36834,36834,670000,764546.96,0.012233190561270601
1141427,36899,36899,1500956.69,2106256.69,0.0133837063135439
1171623,36899,36899,1500000,1505965.96,0.0140638094054547
1178877,36835,36835,502250,1364978.2,0.00566350048104761
1160587,36834,36834,550000,688674,0.00963715438682865
1190149,36832,36852,NA,NA,NA
174065,36899,36899,2000000,2001363.88,0.00415220368414101
166828,37903,37903,1890692,1929824.92,0.0205713578687551
1141430,36763,36763,1149426.25,1264673.78,0.0739235156670924
172442,36832,36832,1317279.12,1734819.32,0.0205807066195842
1141429,36769,36852,NA,NA,NA
1205234,36793,36852,NA,NA,NA
1160666,36786,36786,800000,1250355.13,0.044397838234299
1141431,36769,36769,940000,2023103,0.0175912181955809
1163831,36899,36852,NA,NA,NA
173481,36844,36852,NA,NA,NA
192699,37903,37903,2108488,2367589.15,0.0172776398780379
1160676,36834,36852,NA,NA,NA
1160598,36786,36786,753000,1647841.19,0.0382327183393803
1141434,36899,36899,1603200,1694200,0.00734253833495045
1178978,36833,36852,NA,NA,NA
1191923,36786,36786,416500,731120.2,0.01726180813144
1178979,36835,36835,1000000,1941235.4,0.0163659621882216
1178907,36896,36896,777400,862135,0.0244268405935745
1160677,36769,36769,700000,779465.6,0.0224113041033843
1186775,37903,36852,NA,NA,NA
174189,36899,36852,NA,NA,NA
1204651,36844,36852,NA,NA,NA
1129037,36844,36852,NA,NA,NA
1160669,37904,37904,690000,715250,0.0237102881076652
1141441,36833,36833,925000,969990,0.0492466744835898
1178966,36835,36835,2000000,2068810,0.0250665794335749
174374,36835,36835,1000000,1058617.88,0.0135421514749357
174383,37906,37906,2000000,2182716.81,0.0184944709413729
174270,36833,36833,1190000,1291060.71,0.0772610628570955
1160673,37906,37906,2200000,2314456.97,0.017640826720358
1178996,36899,36899,1500000,1861703.47,0.0117712051115445
174077,36786,36786,400000,660660.8,0.0150573551061744
1178878,36835,36835,1200000,1316800,0.0135315093623835
174558,36898,36898,319000,434609.75,0.015509255025145
1178872,36779,36779,1063606.81,1099844.73,0.0452640966807784
1152605,36839,36839,304932.53,380718.59,0.0675518282818437
174419,36832,36832,1300145.2,1484245.2,0.0203130122673322
1129618,37906,37906,2400000,2500000,0.0180448347956503
1178980,36834,36834,1050000,1229504.52,0.0222345990414044
1194259,36835,36852,NA,NA,NA
1160667,37903,37903,1767386,1773401,0.0192297475729667
1205298,36793,36852,NA,NA,NA
1178964,36832,36832,1300600,1344700,0.0194714369476389
1178873,36844,36844,900000,919049.77,0.00746491493725725
1178909,36769,36769,1044000,1052810,0.0132516330846034
173482,36844,36844,900000,1015344,0.00915706983471061
197707,36769,36769,732152.2,2105751.12,0.0102318191059553
1178981,36899,36899,1500000,1509416.66,0.0163109042018117
173772,36899,36899,1500000,1610965.2,0.0135748984877269
1160596,37903,36852,NA,NA,NA
1178884,36899,36899,1502500,1514823.86,0.0100843927068588
1178959,37903,37903,1726297.2,2090116.56,0.0172776595037304
1178849,36786,36786,506200,532561.4,0.0038822773434622
1141450,36834,36834,950000,1917659.74,0.0259200447099192
1160674,36815,36815,894538.16,1005708.16,0.00946590273488516
174662,37905,36852,NA,NA,NA
1194592,36832,36852,NA,NA,NA
1141389,36834,36852,NA,NA,NA
167138,37903,37903,2404000,2500500,0.0147106264382589
181232,36834,36834,733592.1,1112592.1,0.00257099826673576
1178855,36833,36833,1302405.35,1330915.55,0.0154260810557528
173531,36839,36839,303855.53,586837.81,0.0522430300035265
14931,36835,36835,1000000,2988000,0.00420399796303332
1196378,36835,36835,500000,598963.85,0.00818298109411081
174665,36763,36852,NA,NA,NA
174847,36837,36852,NA,NA,NA
174848,36779,36779,1319160,1591343.2,0.122950736051163
173926,36832,36852,NA,NA,NA
1131943,36899,36899,2143178.64,2336807.96,0.0030540201292194
1160672,36839,36839,304872.53,418735.23,0.0675385364572656
174273,36832,36832,1300000,1342596,0.0269683710569045
1160570,37903,37903,1492040,2336389,0.0117156268151458
1178839,36899,36899,2000000,2409200,0.00915985321226353
1178842,36832,36832,1308000,1395400,0.0121794185021173
1160531,36815,36815,925540,945545,0.0137158128178755
1141503,36779,36852,NA,NA,NA
1160573,36899,36852,NA,NA,NA
174366,36815,36815,1315830,1564314.78,0.0146057015257217
1141458,37906,37906,2000000,2262703.75,0.0167354905849724
174445,36835,36852,NA,NA,NA
1178970,36844,36844,903000,1075358.84,0.0109770037357782
1178965,36886,36886,725000,805878.21,0.186905089637191
1178917,36763,36763,1150000,1327366.38,0.0432313020031443
1178856,36835,36852,NA,NA,NA
1112437,36899,36899,1502500,1502500,0.0100843927068588
1178967,36769,36852,NA,NA,NA
1178988,36835,36835,500000,957300,0.00818298109411081
1160571,36834,36852,NA,NA,NA
1178910,36834,36834,5357.6,284946.5,5.79538432950834e-5
1194262,36899,36899,1500000,1579470.73,0.0117712051115445
1178971,36815,36815,679000,687292.39,0.00943178503969807
174388,37903,36852,NA,NA,NA
1160572,36845,36852,NA,NA,NA
1178857,36844,36844,793604,1193416.75,0.00842616703110965
173535,36769,36769,1140000,1265700,0.0283270795433397
1160509,37906,37906,3000000,3166450.09,0.00442268942565729
1141464,36844,36844,900000,1028425.87,0.00858621860995259
174553,36769,36769,790250,1189025.5,0.0147882418474797
174140,37906,37906,1380000,1475537.5,0.0115474885036309
1131966,36899,36899,2500000,2502526.8,0.0043673886476631
1141470,36844,36844,1129047.8,1183262.8,0.0107713902576511
174275,36844,36844,900000,954506.23,0.0126885979326604
1160619,36834,36834,940000,1244167.53,0.0149907356539496
174395,37903,37903,1591876,1621926,0.0124995477011254
174079,36899,36899,1500000,1532481,0.00833201398262201
173714,36835,36835,1500000,1613284,0.0029892593728453
174554,37906,37906,1400000,1432599.54,0.0117148434094806
1160607,36832,36832,1300600,1394000,0.0194714369476389
1114941,36763,36763,489474.85,1648294.63,0.0151231328617071
174141,36844,36844,900000,944360,0.00955583682541757
174351,36845,36852,NA,NA,NA
173666,36845,36845,1151170,1523884,0.0257727074087622
1178851,36896,36896,1050000,1350000,0.0386125991117156
167312,36833,36833,2300013.2,2311570.63,0.0762809333842486
1141474,36786,36786,502400,512400,0.0228515082668075
174317,36834,36834,750013.2,936780.5,0.00893230288242864
173586,36832,36832,1400000,1617570,0.0238155632699555
174253,37903,37903,2208653.54,2430885.54,0.0309629196996363
1160648,36899,36852,NA,NA,NA
1201357,36834,36852,NA,NA,NA
1178885,37907,36852,NA,NA,NA
1160544,36899,36899,1500000,1504846.66,0.0163109042018117
1178886,36769,36769,716000,899506.2,0.0109814190389567
174570,36835,36835,1945200,1990003.65,0.00580766456726997
1178918,37904,37904,900000,900125.9,0.0344201735193957
1160659,36832,36832,1300000,1474109.86,0.0269683710569045
1151208,37903,37903,1731095.16,1774533.58,0.0162400757309426
1141478,37906,37906,2244900,2257500,0.0174441503753759
1178894,36896,36896,700000,716372.69,0.0353077715665629
174856,36769,36769,1450000,2050196.98,0.0464234156427245
1141480,37903,37903,1733384.85,1759802.35,0.0116739866140893
1178832,36851,36851,1100000,1218867.24,0.0711559548167968
1141562,36899,36899,2387918.8,2389868.8,0.0152762782418624
1178825,36844,36844,900000,1206395,0.00534423290216906
174156,36844,36844,787048.31,860395.08,0.00909900652569812
174254,36899,36899,1668313.95,1701117.99,0.023374196846062
1141482,36899,36899,1500956.69,2338119.04,0.0133837063135439
174299,36786,36786,500000,619350,0.0249330299280425
1160663,36832,36832,1300000,1391569.77,0.0224446722847018
174585,37906,37906,1630000,1654850,0.0148512300882643
1141483,36815,36815,965994.69,1009994.69,0.00848813811569111
174277,36835,36835,1000000,1006000,0.0163659621882216
1196358,36837,36837,0,201791.49,0
181366,36833,36833,1400000,1650000,0.0561035372288138
1178879,37904,37904,650000,1780790.73,0.0227423974088903
1160628,36779,36852,NA,NA,NA
174478,36837,36837,1800000,1950000,0.286642659599128
1178931,36832,36832,1600000,2075722.77,0.0276242120427099
1178954,36899,36899,1500000,1864088.5,0.00889644607679422
1141484,37906,36852,NA,NA,NA
194931,36899,36899,1500000,2455100,0.0122838110132197
173483,37903,37903,2143395,2926797.21,0.00374661821652751
1160510,36898,36898,2265085.76,2280696.96,0.201186537479054
1160547,37904,36852,NA,NA,NA
1141485,36845,36852,NA,NA,NA
173778,36835,36835,564850,1971442,0.00769366425575843
1178802,37906,37906,1703387.5,1755866.2,0.0243859094482044
1178955,37906,37906,2200000,2484900,0.0133325910287484
174041,36844,36844,1100000,1477729.7,0.00171085589197873
1141487,37903,36852,NA,NA,NA
1178982,36835,36832,1340000,1670848.5,0.0277981670894247
1162332,37906,37906,2000000,2431125,0.0184944709413729
174688,36844,36844,900000,912652.81,0.016348795968307
174784,36839,36839,298597.53,326733.33,0.0513390021855746
1178866,36844,36844,1000000,1020720,0.00954024289994732
1198198,37905,36852,NA,NA,NA
1178867,37903,36852,NA,NA,NA
1166402,37906,37906,2000000,2371063.48,0.0153111147549277
1151965,37903,37903,2443280.5,2457715.5,0.0149509928117231
1178826,36837,36837,136500,380323.96,0.00366265600973385
1160633,36769,36852,NA,NA,NA
1141490,36899,36833,300000,367640.54,0.0127937821899857
1160565,36835,36835,3500000,5327773.62,0.00726901994219733
174124,36899,36852,NA,NA,NA
1160660,36769,36832,450000,706600,0.00933520536585157
1179000,36837,36837,156459.75,598069.75,0.0271282200601121
1146788,37903,36793,1865546.94,1876696.94,0.268365487154594
1178932,37903,36852,NA,NA,NA
174460,36899,36899,1570650,1638180.84,0.00507981406453247
1195826,37906,36852,NA,NA,NA
176287,36834,36852,NA,NA,NA
174278,36896,36896,234776.52,243476.52,0.014441272727241
1118594,36815,36815,1311330.2,1507320.55,0.0211257067946576
1178983,37906,37906,958855,958868.2,0.0106538431882302
1179001,36899,36899,1500000,1616478.47,0.0117712051115445
1150418,36815,36815,1649271.21,1659271.21,0.0200099660523018
1178899,36852,36852,NA,NA,NA
1178942,36899,36899,1600000,2048253.83,0.0224170726101638
1133373,36844,36844,719758,1001366.15,0.00732319363343516
1160536,36835,36835,900000,1136376.46,0.0112799607451087
1160535,36844,36844,900000,987733.85,0.00915706983471061
174470,36833,36852,NA,NA,NA
1178880,37905,37905,1168128.11,1908592.11,0.0491744692365015
174634,36896,37903,1232040,1232040,0.0100953660350366
1141500,36834,36852,NA,NA,NA
1178852,36834,36834,379000,381408.45,0.0047980872516193
1167722,36769,36769,1145130,2253910,0.00382357747204816
1178850,36899,36852,NA,NA,NA
1178943,36769,36769,1206000,1214985,0.0386114753552592
1159238,36835,36835,1271626.03,2165507.73,0.0170656333997329
174235,37903,37903,986881,1070682.11,0.00631710634299421
1205297,36834,36852,NA,NA,NA
1171619,36844,36844,1000000,1037963,0.0115609250538866
174398,36844,36844,967697.33,1024155.65,0.00984585781074778
164960,36899,36899,2462160,2486590,0.0246280610501003
1178956,36835,36835,2000000,2397398.92,0.017852952638419
1178919,37903,37903,1794080,1809880.35,0.0147012779548142
174177,36899,36899,2320000,2336983.26,0.0137598365987751
174158,36786,36786,520686.1,2265831.7,0.0314640187104673
1178858,37903,37903,1783274,1803584,0.0146121909765624
1181315,36899,36852,NA,NA,NA
1178843,36834,36834,1049800,1073621.94,0.00997824167822265
174050,37906,37906,2989988.52,2996680.12,0.00322906477757283
173588,36899,36852,NA,NA,NA
174749,36899,36899,1500956.69,1595296.69,0.0133837063135439
1141507,36899,36852,NA,NA,NA
1124411,36899,36899,1500000,1670750,0.0117712051115445
1178827,36835,36852,NA,NA,NA
174428,36769,36769,2334000,3172500,0.00760019171413844
174056,36769,36852,NA,NA,NA
1188097,36844,36844,403500,454412.12,0.003199404833466
1141509,36844,36844,900000,912324.99,0.0022871446417197
1178984,36835,36835,1000000,1068386.4,0.0163659621882216
1178985,37906,37906,1912383.75,1986673.75,0.0212485063833631
174787,37906,37906,1756765.71,2058565.71,0.0195194334834775
174862,36886,36886,725000,880588.96,0.0303509397463843
1178895,36834,36834,1056168.97,2012825.85,0.0183398114421657
1160561,36769,36769,700000,716300,0.0173938207722261
1178859,36844,36852,NA,NA,NA
1195278,36779,36852,NA,NA,NA
174457,36769,36852,NA,NA,NA
1178997,36899,36899,1512500,2058500,0.0111293670791856
1160567,36835,36852,NA,NA,NA
173553,36845,36845,1150000,1502563.34,0.0373675795433621
173781,37903,36852,NA,NA,NA
1193069,36834,36852,NA,NA,NA
1160566,36835,36852,NA,NA,NA
174571,36844,36844,913000,1017133.55,0.00969386557956249
1178896,36899,36899,1500956.69,2078878.19,0.0133837063135439
174751,36844,36844,471000,565981.94,0.0054451957003806
1166401,36835,36835,2165000,2960886,0.00619613070416439
174352,36835,36835,500000,1071285.2,0.00418006948309399
1178986,36844,36844,902796.23,1304856.12,0.0127280204195462
174359,36845,36852,NA,NA,NA
1194260,36845,36845,1150000,1282622.5,0.016772678199598
166179,36769,36769,1650000,1688948.86,0.0241208230254815
174159,36844,36844,930000,1627654.69,0.0107516603001146
174752,37903,36852,NA,NA,NA
1178868,36832,36832,1300000,1474335,0.0182491659581139
174399,36769,36769,1000000,1663630,0.0179324587711413
1178987,36779,36779,1048593.15,1412808.08,0.0758522621637065
1180545,36769,36769,940000,1533000,0.0194394224582797
173463,37903,37903,1835182,2128879,0.0166180425783594
173692,36899,36899,1500000,1682264.1,0.0117712051115445
1202063,37904,37904,907500,920675.09,0.0352914582508214
1141515,36835,36835,1001246.49,1173316.04,0.021113230447837
1160556,36844,36844,934300,1026981.97,0.0108013722778463
174319,36845,36845,1877821.74,1906141.95,0.0343167397366413
1160642,37907,37907,311500,475000,0.0352794730084776
1193982,36815,36829,0,81210,0
174160,36844,36844,900000,1103220.03,0.010404832548498
174095,36769,36769,993000,1550614.32,0.0167123470211762
1171617,36844,36844,900000,1032000,0.00569535871815391
1141516,36835,36835,561326.03,2047458.69,0.00753317722326544
1178860,36769,36769,840250,858625,0.0157239104237201
174017,37906,36852,NA,NA,NA
1160517,36832,36832,1300000,1368067.53,0.0158659449219361
1160558,37906,37906,2091765.71,2094265.71,0.0232416203293063
1141517,37903,36852,NA,NA,NA
174574,36834,36834,800000,975310,0.0127580728969784
1132056,37903,36852,NA,NA,NA
1193726,36833,36833,1014000,1159768,0.0547911259923842
1141518,37904,37904,961890.27,1007590.27,0.0488455457612346
174400,36844,36844,900000,1008481.79,0.00915706983471061
1141488,36844,36844,902796.23,1783998.52,0.0127280204195462
174812,36899,36852,NA,NA,NA
1178912,36835,36835,1020400,1268604.15,0.0109692257496854
174449,36845,36852,NA,NA,NA
1122158,36769,36769,940000,1637051.3,0.0300951797959731
1160604,36844,36844,900000,1201526.08,0.00971711117017701
1178844,36835,36835,1300000,1358975.09,0.00954975748318622
180920,36851,36851,1425013.2,1552776.03,0.110758967642295
1141445,36844,36852,NA,NA,NA
1162174,36844,36852,NA,NA,NA
1195997,37905,37905,1168128.11,1198461.31,0.0713700873359502
173486,36786,36786,550000,607780,0.0292497614229278
1160601,36896,36896,1289772.55,1289772.55,0.0793348378733067
1200153,36899,36899,1773090,1842092.05,0.0130589663885278
1204011,36896,36896,490000,1052310.97,0.0210788225504268
1170673,36834,36852,NA,NA,NA
1148134,36837,36837,33800,722277.64,0.00398501484697026
1160639,36769,36769,1966400,2182658,0.0302448084250559
1160641,36779,36779,896500,931000,0.038770441188711
1178951,36832,36832,1510000,1510000,0.0218828964647819
174216,36835,36835,1200000,1724288.99,0.0132895750836508
1178998,36834,36834,1324500,2263564.61,0.0229992368125988
174048,37905,36852,NA,NA,NA
174161,36844,36844,930000,1056430.62,0.0107516603001146
173786,36834,36852,NA,NA,NA
1178925,36844,36844,1005000,1149971.1,0.00796877783800081
1178960,37906,36852,NA,NA,NA
1178989,36896,36896,2030159.55,2030159.55,0.124876575142024
1171620,37903,37903,1834397,1944126.49,0.0163665432901957
1141527,37903,37903,1855182,2170296.1,0.0145670491315085
1160654,37903,36852,NA,NA,NA
173788,37903,37903,1709838.83,1994838.83,0.0154830281024292
1195581,36815,36815,550000,550000,0.0088605743519532
1160655,37903,37903,1960692,2288627,0.0213329811531467
1178920,36896,36896,1000000,1007770,0.0463256924929105
1141472,36835,36835,1740000,2378860.53,0.00361374134269239
1152610,36815,36815,1241710.86,1297210.86,0.0200041298157414
173674,37903,37903,1387550,2518002.86,0.0104019381581655
1141529,37903,36852,NA,NA,NA
1160653,36896,36896,981000,1244938,0.0603420160816059
173805,37905,37905,1368141.31,1448488.73,0.0835904589117553
1178995,36786,36852,NA,NA,NA
1178944,36769,36769,940000,999471.25,0.0300951797959731
1160652,37903,36852,NA,NA,NA
191208,36844,36852,NA,NA,NA
1178840,36835,36852,NA,NA,NA
1141532,36899,36852,NA,NA,NA
1141531,36835,36835,1296126.03,1776495.19,0.0173944313390873
188950,36769,36852,NA,NA,NA
174693,36769,36769,717600,1829816.95,0.0229747883208408
1178926,36832,36852,NA,NA,NA
1178897,36769,36769,1450250.44,3819830.85,0.00649561014483544
1141535,36835,36835,200100,1812309.6,0.00228773189827614
1160651,36899,36899,1300000,1368815.5,0.0108256421149727
1160426,36834,36852,NA,NA,NA
1198963,36899,36899,1500000,1635350,0.0090948192432062
1141536,36834,36852,NA,NA,NA
1160515,36899,36899,1300000,1456570,0.0108256421149727
1178861,37903,37903,1315252,1641584.8,0.010777207207813
1160637,36896,36852,NA,NA,NA
1178845,36786,36786,500000,647564.52,0.0165384269631883
1122466,36815,36815,919020,1141661.17,0.0100187249347362
1163321,36845,36845,660000,932945,0.0154768991666583
1178870,37903,36852,NA,NA,NA
1191684,36786,36852,NA,NA,NA
1178945,36815,36815,1431242.27,1444572.27,0.0297087566753976
